,State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,CO,94.54444933461599,82.22531076066791,69.0381274050024,110.37805378938192,94.12376340902284,71.6945884616473,111.91177801827804,71.9743398599362,85.00902341597795,114.3619882452847,113.98483044733048,96.09063402674023,83.38850185528759,76.53718030646604,98.19832239925024,67.98276103896103,85.62117586758677,112.05775271714106,84.5574044011544,70.08531521047651,111.44707974481659,94.95483819285288,78.75341343631116,93.46084930942074,95.34545733476143,82.65577134986226,64.89212636569779,67.28286448334275,93.07825445114815,68.51333982683983,81.28383870994041,61.97435422199917,39.99638296713768,38.374754043126686,79.48465625644198,52.57410773302479,61.29401694745851,51.0588963836617,64.09424229888515,53.92455049359812,81.33209336713138,83.05254508713917,94.04538705451988,86.91696189188755,49.95578648732221,75.7634708342505,81.30973699301063,90.9315607036894,62.12552043367261,49.80509510474858,74.4017371362247,83.18167801710484,100.41902491920037,85.85970937182476,63.34761262344596,67.62651113041241,74.23464658253874,72.62265381083564,93.17886450592478,72.92050578383366,93.50078439312708,28.42207198598503
1,SC,474.0828824833702,398.0654442148761,484.79262100168353,440.2640465883323,491.3334632034632,475.06383156966484,382.60061794414736,410.37227272727273,455.99626468769327,436.84553636363637,479.34818307661317,457.1470544349268,353.1159552976575,431.79366201699537,415.50755223037817,459.3779981710797,386.1301877470356,533.3156920133007,492.477390206412,395.5785403548471,478.80713131313126,535.5637910257591,468.05564049586775,471.02497734823316,449.8816150870407,489.0658051948052,571.2818181818183,454.45764646464653,356.4247348484848,419.35798432504316,492.5382807668522,486.88949724517914,382.7680323420541,481.23120490620494,369.0966302560489,414.3931796095062,453.5443506493507,312.43339923039923,280.5832332611833,289.6926050986051,340.1721804353055,250.56628321391256,414.5941294122544,336.4629527417028,373.8266781949935,343.9411367709352,374.9082264825122,444.4684655880842,403.92766942609046,390.57556302461234,501.9190762786596,481.4473053924767,491.5338252656435,326.70638109668107,442.7471428048602,430.01356131739936,510.76797527513946,511.92257767406204,514.6048699730221,533.9376149526149,467.5648474827642,188.27080612244896
2,IA,222.1555824639841,208.82163555194802,238.12333404300617,260.5022270698052,272.8672238568724,220.17314275568185,223.3497987689394,161.47140276390274,208.3668144560358,220.9593517138599,249.28116332819732,244.7271726190476,222.33407831340043,227.5705963480964,219.12304545454543,258.08647226986847,202.68392255892255,293.04839111781075,206.0611357270181,204.41788770053486,244.4984958071279,215.183143262987,183.16981628127968,313.3848013468013,219.6434843879524,210.2549781910009,243.6338784672118,276.11565539112047,346.2354767184036,234.10581313131308,199.6934165181224,318.0778324915825,135.32986091922265,189.88383838383842,209.04157196969697,205.2738203463204,170.76619707715452,191.33369755244755,244.35133547251968,206.95851239669426,208.05127788877786,217.94137741046836,266.35055642633233,188.52971801346808,142.3969848141277,232.0976701440636,216.62349427106886,266.4966244866245,157.69963505856887,135.11368364968365,243.88033668062354,241.515244610282,315.5163021519544,194.2143037518037,169.91011421911418,194.21172956270783,244.66563696668166,201.0070400979492,256.21232197256,199.98917077175705,229.6917545995671,131.73592705167172
3,NE,218.29275470756954,220.1303289313683,191.28976735796505,298.5844857888678,239.75982421964,193.5459705687831,236.08725520511243,181.34436166375,225.79169050051075,228.7531701422831,295.9916251993621,220.86311084446962,188.45797213710136,215.87945125411412,223.22955040526853,237.62490442054957,242.10331385281387,260.570947940948,238.87273618538327,193.22205361064061,248.0224289365253,206.05588820094638,175.3296921115921,265.46704046639235,196.2894936338172,183.51454639155938,191.89285306294238,231.70608395572685,274.84358057749813,229.941698692464,241.42106677033863,272.2346578450186,112.96176477588848,133.97171356421356,203.01252937538646,212.8521681790432,181.4132141354016,216.37517610507408,240.36993996319686,195.8681161169214,235.43228259871444,228.7985296278645,259.4615409615637,207.93736481524436,147.94505666268597,225.5413249201195,246.15223511512642,235.46490265512267,168.19961691448646,123.09600484006731,204.31815903078405,231.42723417207802,311.2036946312616,210.41218177348708,170.71418358913812,203.4828627545294,215.5632562849994,191.6083546314796,228.0037045570916,176.39485192837466,234.6990628460687,99.83260757314972
4,KY,318.62122826626927,253.73112914862915,353.92901331719133,298.04301693404636,311.3330876461847,342.5073863636364,302.15704545454554,258.3932309395324,297.21373015873013,318.1227079997628,336.96422955422963,295.612961282998,286.9335973370064,322.6295516705517,251.95521592738984,321.98238927738925,242.59703509751893,361.88552122608576,290.82056519527833,248.60585350863133,364.6482401782805,261.5006263091746,226.99335731262204,316.8851119894598,276.68087966971297,277.06873106060607,321.36182277318636,371.8419291325959,321.28839776502565,283.82972406278526,268.76015324675325,347.85058286951136,238.2657424242424,295.5734777938112,261.4989678030303,301.10224370326637,255.15488372093026,235.7166287878788,319.25278744895763,309.01645640074213,266.87958780350084,266.40092017738357,360.31410227272727,218.67406976744184,268.6701116071428,240.47309779614326,278.5180037811982,306.2591036882138,259.98582422285807,234.54672979797985,355.763075423747,265.32629193105225,327.8288333333333,270.510087594697,288.23678042328044,328.37084271284266,377.7044252044252,299.1778954081633,381.6885046620046,367.01272238514167,299.01549392227366,119.53314102564104
5,MO,307.2415818903319,277.53042654435507,390.954746919747,411.2830964749536,348.4108163265306,339.65018098716763,304.13247428833785,272.78153167185883,299.1031922870158,322.73779199764635,376.74519380311034,329.9136363636364,344.80514502858256,293.6197963650107,276.31064105711016,331.43996574622787,267.525823201621,359.5006400742115,320.15994224196857,292.12717737958235,445.5177667949335,288.42426897266705,264.9814658883921,349.6338682983682,281.2466851481852,284.26955391351953,383.46334686147196,316.3055936285936,310.71166061879296,269.3641972757882,315.8399804435332,410.581385937295,217.01925834235212,288.07136880386884,252.14310128596887,281.97492994123434,268.4866809839466,267.445538940715,393.30698332997764,309.01826579043444,311.56000207431464,355.276553255772,307.53396897546895,273.5112400793651,256.7642455266956,362.4968188346045,315.10797140120417,351.12546062476616,248.46912888808723,231.28870817454148,403.4958214375157,382.49404204381483,390.0085601987618,283.3971052057186,295.83580924895216,315.7782573542442,319.39469152375415,330.6227768065268,438.76212999264885,307.8658138969874,318.2998490738287,135.38987351190477
6,WI,102.9310419989367,128.24134945231538,99.78968031968031,129.37628280573594,156.23812487913003,92.16888833102749,125.99893353174605,82.92501605920961,103.3550045568467,108.9560863095238,156.0049551910078,107.87106750392464,108.94803962881092,127.70023331137465,88.07475655430711,137.8263290964355,128.86080049685162,134.9055771195097,113.26630751964085,89.97326730385721,117.98569187675068,85.32817632850242,84.20457569522385,165.97479098211025,106.803411642558,93.49244241869239,94.0030347506375,144.38686088686092,189.01174815043862,92.81156417112301,102.24911421911423,143.10590744698342,57.75345016429354,89.46525668449198,93.54622045747044,150.11128926628925,81.8347768732097,87.66409298464094,138.5521691919192,128.28286285811566,90.67839838353136,133.67437271652702,165.37415993265992,99.45954366797226,64.48572831489497,149.45183637896028,146.6895902503294,146.40599169994516,81.99872150072152,67.8536544011544,165.61242275988855,153.7581143063286,194.04481161367372,121.34792106172388,100.21713107436129,115.4119966186384,153.9651152655588,113.28947385947386,157.3681215639274,118.063252276239,154.1762689071841,83.38701379617268
7,GA,471.984479535616,439.58554112554117,519.713726264266,458.4466198571077,465.9425739297738,479.22205216724205,447.0599392068837,399.6677094155845,468.21619412878783,445.1694431628313,500.2646527247263,435.11386822773176,396.60864338364337,390.04047001399283,357.27414299242423,421.44598587061097,356.7877293341578,448.5223507562397,453.3354317197954,429.69833236703766,487.1778564331843,460.11520357516054,489.3697322180136,400.06002355087264,327.116734006734,433.4727182940517,517.4987250280584,463.74868998104284,366.43479987848417,443.2995623303251,482.19823436748436,490.47396736910895,364.9414806662265,475.71374076903487,410.53706664862915,441.0722364062705,478.90840103159246,364.2184595959597,473.8225858019976,345.21372359307367,381.0646121637925,421.10460991493886,454.46976108487473,414.0866394976552,481.35340330387197,428.52779913547613,533.2376652034362,511.58241977295074,488.42218982542516,462.5089184964185,569.932716545991,575.0501021014468,608.3930357630358,429.02297294372283,514.6181294309555,620.8947799422799,589.5454254551595,535.0581510594668,594.0362115265685,659.3448907681466,534.2684220108058,185.23445326278664
8,SD,165.07969403215833,188.3521574903969,118.887938994189,196.69679620121482,196.6794006333173,132.83288310849355,188.3648796296296,137.56686122865898,144.3274284984678,166.09200269742882,217.36985437710442,160.27270680224171,124.39022366522363,147.73312950937955,177.22635275835273,165.01556189306186,225.69248235782482,169.18911260421675,149.51460004456325,137.55201244042155,191.11851395730702,161.84991439821948,123.28712121212122,206.56844807348537,155.58870046620044,161.77493686868686,134.39867368490096,210.03296021438882,247.37614126338002,211.6258755465099,156.07502912528648,192.0374273063314,76.51509065609714,67.32630832130832,133.59066003616638,134.3485809037014,122.71502090375375,132.39854348183462,149.50474610638403,139.17680193019302,152.63254619608784,177.01569694761017,211.3370617576868,169.99136296692998,98.37740715424928,164.2924840845429,183.9233204688393,186.0243142102546,112.995544011544,80.82457060778161,147.51636731391585,152.52519305610215,216.20439282644062,158.9092815966301,121.01654704184703,142.19311961722488,181.7805414746544,164.7206616161616,191.90517681062323,107.31377839860396,168.94761872695204,92.01775674125072
9,WV,186.32130355276908,185.11930415263748,189.37674783549787,148.69836206896548,194.36844877344882,197.14901480240192,194.18145454545456,148.9800350858819,175.22319727891156,218.6980358270202,198.75660812672177,154.2014036195286,130.0448836136541,198.18346622064803,138.90623543123542,179.74680899908168,125.4790217223253,197.4409879703629,168.6731909090909,120.68708846708849,159.60173853923854,137.2113968387579,121.0507401541548,150.15200216450216,149.65131497344262,138.5286466942149,179.18919860810482,203.4118153759821,158.8112201805287,137.140939125474,140.77875140291806,234.43129045557615,116.01061462842712,175.57032776747062,151.39255636724388,161.9504122861266,150.93626487093158,114.3197673853924,152.67691172811863,168.33422124976474,141.37378589720137,139.33763199509778,196.3998141414141,131.043836351442,138.85675139425138,221.48253831753829,145.1521226746227,168.41464536671057,126.40910755910757,128.95528919256537,195.35516203703708,195.27471061971062,154.36863782755086,150.7424319465845,148.7416846361186,154.76460125060126,208.8863771134526,155.59591158336613,250.59340214816632,199.96886147186143,169.7062894906512,80.32342403628115
10,AL,498.7565324295588,382.56217218567866,554.6551045201046,552.114725963337,471.9610674691162,500.5375409312909,467.86751180637526,463.37050228310494,481.815645342312,449.2131839225589,496.7986363636364,454.2971322091888,437.33430493459184,409.0701059918917,350.0656530214425,408.12519569124834,349.9391822117276,467.8312279435965,435.3425712147934,407.0995451076702,467.5100595959596,439.2803875180375,458.50764003673095,351.8801697829358,446.44645775941217,462.6967374835309,528.3995959595959,512.1378852813854,462.41925479282617,445.5306946084218,557.8773390151515,502.0191341991342,354.7704905483406,498.66917340067323,441.86242870885735,420.8581346997674,486.63854507811027,404.9239545870796,532.8721880131363,465.7467824616185,474.9760367063492,391.721656336088,521.3032664141414,400.7250428319474,425.03914909463305,423.6387657395877,502.58718887858186,493.63348527014114,454.9078222222222,470.2719593898165,586.1298409561452,583.5763714188432,568.845632183908,418.20519027484136,470.18502881758764,516.3268430866323,537.0449132775119,469.5131321418822,594.4058731147088,535.3539088804713,453.44965850659514,218.82294372294368
