,State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,CO,5.600354960540147,6.879262287244215,5.12309486490521,5.281267436267437,6.046631994548662,7.056713524570668,5.2804059036201885,6.826434676434678,6.06977247558643,6.9801326878249945,6.102006933041418,6.235589109685495,6.6126888834436,6.558669090531835,5.275073833573833,5.914250390812891,5.616478161900697,5.713698605776073,6.208690148235602,6.146069065034581,5.444179084804086,7.7309157779889475,7.549478312949186,9.26140286358733,8.460726886085737,8.036665518824613,8.131205711451246,7.66011211011211,6.9816140226538455,6.143952960619629,7.947085588023088,8.132326943746696,8.073447126870365,8.475375061118863,7.727890753508038,8.876630621200293,7.913481197517343,8.894648316774754,8.256861863730874,7.911261533650568,7.298307157224006,7.4721191228835115,5.918151015651016,7.1624911490318475,8.12245881021566,6.926567648769141,7.151037990953957,7.62704967954968,6.911629790710948,8.232969899972588,7.1793009099214125,7.417478819945487,5.673909407335176,7.963569156871697,8.280331726354454,9.735476315559056,7.186774213285547,7.3201286093660975,6.633439496181041,7.764949099040009,6.146947213689952,7.8914060172773315
1,SC,7.815542535370121,9.226275744457565,8.203740703740701,7.88443631719494,9.070420110192838,9.21767068273092,8.669151884700666,8.485815471791081,7.910946817573322,8.195200716285054,8.073974195738902,9.936423913639103,9.259469696969695,9.117912814209113,8.932697343808455,9.903174603174604,8.288872491145218,8.039767807949625,7.353706235285183,9.005198653198653,7.7619257244257245,7.8296949760765555,9.65553587826315,8.15340909090909,7.872979797979799,8.27593984962406,7.712563482693353,7.5961850649350655,7.287832874196511,9.234771768316072,7.548593530239098,8.426193441261933,9.248185805422645,7.108077441077442,9.128363522442474,8.781471380471384,8.850100108225107,8.834076657224804,7.9836290595549855,7.637254568153446,7.547962580348942,7.7724567099567095,8.87820681302824,10.56241502807768,8.648763082383772,8.892278002761874,7.913127745270603,6.340672642574817,8.456648228314894,9.753946480107192,7.619070135680872,8.114718727101902,9.219742088613957,10.067165451036418,9.56730262051864,10.780244932238098,8.041182091182092,8.702654320987653,11.100751345932071,9.383007160554332,10.966798632331722,10.203504603504603
2,IA,7.329599844599844,8.019704923248229,7.658943768392588,6.712974415355368,7.388280519480518,8.750480030721967,6.052704740614578,7.139959522586643,7.263638213638212,7.47153839277733,7.469506419506419,6.98372168893908,8.668434343434344,8.967366648945598,7.49370557426113,7.7170153920153925,5.672417413935271,8.498910675381262,7.775505959959741,7.08321783258758,6.401369032461469,7.342542819499341,8.660772661681753,9.099875254548152,9.187996941896024,8.388967598058507,8.630940988835727,7.8052655265526525,5.733151075977162,6.163015399900647,8.206726950735215,8.262620299810383,8.332332173998841,9.782113507960963,7.0147620897620895,8.21564949212008,7.694466509757772,7.22915591034857,9.277866161616162,7.179015151515151,8.058377525252524,8.11788332635107,6.956359395481533,7.104822662717399,8.323769948956517,7.478085930185168,7.850555399835978,7.781645328073899,9.662524583953154,9.486462009046043,9.17117381012009,8.298378283733934,7.093262186119329,8.484994359176177,9.038387717419976,8.950214876033057,8.673469637742025,8.196762360446572,9.581623739642607,10.769866827703817,7.7915214561113615,8.384076325565687
3,NE,6.338962176462179,6.521306144835558,7.010794924030218,5.843875637563754,6.136764726789358,7.221516937047241,5.213922959756292,6.2700506538135405,6.1958261551373806,6.063254600496869,5.709034219748506,6.6699904551467055,6.840554932940719,7.1941938279239865,5.1181881406108225,5.897516616946668,4.819370603354979,6.873547694995064,6.659202498710271,6.029855737239156,5.315157813967337,6.391570907277713,7.099824561403509,6.8571196255751214,7.34777883547517,6.861935212338438,7.2580910325562735,6.527550524341969,4.909714247740563,5.336664957849169,6.39510613163463,6.111462842712842,6.811990193333478,8.433005842396089,5.754931457431457,6.835101520596802,6.471166552745499,6.073183054085832,7.244483418367348,5.940493908746121,6.1427533286703575,6.226333293799048,4.9863314967860415,5.988268333559812,6.3069027004741285,5.771678741913727,5.8450885766923495,6.644292855670407,7.142383024459473,7.919813153127824,6.8845616801499165,6.914063402414657,4.340374285082314,6.336808175343405,6.71602963219186,7.8974655696947895,6.923375152926785,6.3784879598965025,8.024719873380588,8.730153471407117,6.279064716701223,6.691031334813718
4,KY,8.610705577946957,10.61841274749438,9.697892575461069,7.403905314543612,8.811418765115947,8.381093544137023,8.901302883911578,9.577781385281384,9.172441344663566,8.731709956709958,9.637181848883976,9.080209024552092,10.516261495552538,10.481948586393033,10.41768050879162,10.045833201672616,8.184491978609627,9.29776759188524,8.899164301482182,9.94273896601483,8.195090494110104,8.927212458200481,10.135057535057532,9.54173376163822,10.450169908966208,9.453074826017863,9.466823398073398,8.507762714012713,7.980693318612782,9.758559039644569,9.555628661257801,9.085641147284985,9.930251062069244,9.674127435064936,8.330382201690927,8.389501433251434,9.787597012597011,9.603562839277126,9.508681977977279,7.066711259419592,8.784183158111729,8.797218872397442,9.456617346169587,10.710249571076345,10.099262024065174,8.364909921728103,9.814369440675412,8.668655692729766,9.401297873889616,10.969620632343846,8.903353289736268,11.495395717698619,9.434196325077474,10.812482760602233,10.301692425221836,11.011654876289024,10.152206912328863,9.90324759220108,12.785528876807945,10.615631019698004,11.743598130540096,10.725797741777123
5,MO,7.287569114054262,8.459217923280423,7.530749014945906,5.815323182564563,7.3103634383046145,7.657710186441529,6.803023980601301,7.937862181909798,7.4818380982443475,7.293920506485952,7.973370674833442,7.251231932585522,7.946159648432378,9.007135031341381,7.606325670764173,7.584576049330147,5.545029291360813,8.203704644207438,7.611036123676574,7.084806759505558,5.794237653663883,8.20583213083213,8.227915478830113,7.78883939569915,8.788126487808016,8.714873810008037,7.858125664540138,7.270329725829724,6.008281444582814,6.335556110556111,8.500199855699856,7.659758297258298,8.293528316676468,9.317273783127439,7.039234910388756,7.398463297164596,7.146790006758361,7.860176166426165,8.477419200611969,6.631702529496647,7.576797669384877,7.4796063576945935,6.923619676412972,7.713627793323925,8.234719758080415,6.7371242823370485,7.187594617857775,7.660996766130693,8.956092872377734,9.48743163815418,7.861249675186456,8.733517056386376,6.802071679880669,8.180526993331872,8.367557905057906,9.540162053199687,8.149287996180135,7.480165198326013,9.040040541469114,9.640269578905944,8.650709642392814,9.702672710221943
6,WI,8.753322729459093,8.872763347763348,9.094638447971782,7.966578831796224,9.089653891859776,10.60520727230286,8.281911397604826,8.96480614973262,10.422277783044203,9.0021065634702,9.553844882852516,9.879512133328928,10.429214626889046,10.418855866355868,9.671621251272414,9.39002159077347,7.077010708589655,10.67227551488915,9.279210234210234,9.0558871154291,9.162500406861307,9.366446447416598,10.055800428527704,10.333969408369413,9.500230303030305,10.46294980172933,9.199345534233595,9.279165235117617,7.896103896103897,8.540709745235606,9.510870714534509,9.817027417027417,9.170140588075373,9.674188695465293,8.710370370370372,8.778780386280388,9.021887036847666,8.130907287157287,8.504660988974715,8.231963425100679,10.084659424937202,10.04379241393527,9.566903446461456,8.83198061698062,10.264352710781283,9.096962240118664,9.32699938949939,9.604223958246946,10.413181715841286,9.837205058877414,9.663205289787566,9.811956738437,8.658675634897133,11.177517043142043,10.958272283272283,9.303462059874162,10.738233672380014,11.001551319528128,10.088333650660037,11.883737042012903,9.026274442748427,9.150410509031197
7,GA,7.86137481178242,8.910874104170194,8.603599531223841,7.557190650821222,8.896647565397565,8.935311838233918,8.549368686868688,8.209378094672212,8.068843115758702,8.050310537810539,7.938892371995821,9.461839878746352,8.373000447828035,8.369456553547463,8.321441019856513,9.668316624895573,8.261285004058442,7.9273240214646465,6.771846011131728,8.489087439278281,7.542856863205701,7.389956987456987,8.926709956709956,8.303153235653236,7.3571825396825385,7.8047860494710894,7.4721637750707535,7.181268398268398,7.094226276369135,8.861274880322501,6.775044312642738,8.24839196236834,8.905630905832519,6.879303030303029,8.683562193362192,7.518979904430723,7.481967984934088,8.04066348003848,7.229733560090704,7.132068734217171,7.118259434168526,7.756479463862014,8.840979579630895,10.228922922837397,8.760490371697268,8.975971086526643,7.147536157650661,6.3404153475049005,7.929330137576213,9.73267042256404,7.79516112368141,7.603361144241246,8.896036255411255,10.328989524626316,9.412329519186317,11.119444895382397,7.445013194194555,9.083537697958354,11.540626151330938,9.269846996037472,10.706569264069264,10.844292517006805
8,SD,5.819621410959994,5.410934930702371,7.232081744954879,6.634421768707483,5.862342593457703,7.119964349376112,5.794672480803867,6.388279061624651,6.602407066399604,5.974926258382141,6.238724576315818,6.2670574795574785,6.68295843045843,5.5124146036255395,4.978771207748482,5.969394912847292,4.850937334270667,7.229775432900432,6.363112138112139,5.960221493716638,5.2426519235481495,6.389725895918557,6.879434427492678,6.4541168402554545,6.788582808943634,6.382374274661507,7.093296602387513,5.59212220241632,4.6857854147948474,6.188822751322751,5.7031926406926425,6.036402311402313,6.3598191738816725,7.37846038019951,5.961617394950728,6.965452757119424,6.849552788808987,5.992028023330546,6.67259653462661,5.842052373045522,6.2986374736374735,5.794245910688863,5.614835471277188,6.085313229294711,6.3482792429111425,6.350854802379192,5.528134018759018,6.344972663374423,7.493774114774115,7.938751060677968,7.856875953228265,7.5138018466310275,5.735127434490493,7.9713139329806,7.772017350142349,7.495460618692943,7.355821164359899,6.9283648739377925,8.31939938185613,10.471769644496916,6.619525878533231,7.298499166203446
9,WV,10.508927108927107,12.492496392496392,11.316044372294373,9.223937368674212,10.459977141835552,10.029592120417806,10.571679410931745,11.478372528372526,11.05533033944249,10.744978082713931,11.388106701190813,10.988046255477448,13.480669621383909,12.172911255411256,11.856386784511786,12.631990113905008,10.591638916638916,11.528722363205118,11.007430655763988,12.594379185109522,11.154379910213244,11.878366866719134,11.5145709192768,11.771699134199133,12.164207551707554,11.414643458393455,12.105865549179509,10.020655055538777,9.802955146705148,13.317153239714214,11.70935606060606,10.940508745996556,13.033622813500859,11.928593760736616,10.637716232896958,10.967825311942963,13.203060365560365,11.263866145931365,11.216611678504881,9.850141525141526,11.51712801087801,10.385113821796065,11.804778554778553,14.130015830986707,12.330136314602331,11.235254066322026,11.833307161248335,10.472556184189845,12.07648709315376,12.158650623217552,10.655383197049863,13.322387995602286,11.264999761487365,12.662753813646672,12.601882248410027,12.477350503726651,12.488028063890132,12.124115539632776,15.121582909843779,12.199949741616411,13.475863072501724,12.709327217125384
