,State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,CO,1.9932564279155187,2.3309744462657087,1.9567246970472776,2.2088130338130343,3.1083333333333334,2.88474025974026,3.4386363636363635,2.50278293135436,3.1233766233766227,2.7094155844155843,3.5389610389610384,3.7000000000000006,3.4285714285714284,2.727272727272727,2.375,3.375,3.571428571428572,1.9,4.285714285714286,2.4,2.333333333333333,3.7000000000000006,2.218262729334158,2.477295918367347,2.550340814156604,2.957575219142384,2.1630535652087377,1.9662153750389049,1.75048139474369,2.415551776266062,2.396149705673515,2.8330940988835724,2.9012311762311764,2.562423687423688,2.286414973914974,2.407547132818872,2.9326610258428443,2.748293999906904,3.2561868686868687,2.6538322788322786,2.4861069163394744,2.999467291967292,2.6199158795749704,2.4495073753407084,2.41328838985089,2.51344000065591,3.132643498476832,3.2187135491823,2.8143116629958738,3.1027521972976517,3.2613197804374274,2.5827153005724437,2.282438763767878,2.615243145743146,2.7121056959766636,3.294947192287618,2.637497304738684,2.659119141727837,3.0183023512435283,3.38046645456284,2.7981430606430604,3.38498578535892
1,SC,5.91879942279942,7.175148165326737,6.514685921717173,5.767261904761902,14.393939393939393,15.272727272727273,16.378787878787882,15.257575757575758,13.303030303030305,16.05454545454545,16.6969696969697,18.318181818181817,16.454545454545453,15.81818181818182,15.424242424242426,16.09090909090909,14.87878787878788,15.454545454545453,15.471861471861471,17.5,10.909090909090908,11.090909090909092,3.7395085306850016,3.36037296037296,4.26489898989899,5.036249045072574,5.3671446608946605,4.57139577594123,3.8034435261708,4.6255050505050495,4.315860468034381,3.871094877344877,4.0413683538683545,3.650407804755631,4.138019652305367,3.818592759897108,5.0236363636363635,4.782034632034633,4.419693832737312,3.6386554621848735,3.160667903525046,4.482864357864357,3.6334221334221337,4.9808441558441565,4.245123503947033,4.023143196672609,9.04766258645569,8.00818530128875,7.730570409982174,7.1790103415103435,6.0165961945031725,6.865173350041772,6.502319902319902,6.080303030303031,5.226040764790764,4.39630431297098,3.302424242424243,3.9591889591889604,4.798057498057498,3.9986013986013984,4.838028906577296,4.219600340136053
2,IA,2.2963721463721467,3.0631108381108376,2.5934626184626186,2.2066378066378065,5.318181818181818,6.7727272727272725,7.011363636363638,4.392857142857142,9.428571428571429,8.318181818181818,11.181818181818182,12.272727272727273,6.393939393939394,4.716363636363637,4.471590909090909,7.745454545454546,5.03030303030303,6.909090909090909,12.909090909090908,7.0,16.0,9.203532007509283,2.864474038202852,3.451998050682261,3.0279049897470958,2.8135366987061903,3.9299963924963923,2.479025038747261,1.6381036811887877,2.4526001776001776,2.43125283446712,3.2525025900025897,3.2483109868526534,3.493087844939696,3.5320953899901277,2.442407844680572,3.425702299492622,2.588555848338457,3.2555204688766333,2.2812912497338727,3.2961509029690843,2.7220345193001445,2.55065094219506,2.6454232804232807,2.8339070427780104,2.468907527657528,4.482618657618658,4.714017206422271,5.076570610152699,5.184808696205755,5.074786054994386,3.5040722070327344,4.131372709781801,3.768240131253828,4.0899527860054175,3.771688078946143,3.985107339054707,4.167278554778554,4.203361420325706,4.120215381326492,4.932633149678604,5.9510251322751335
3,NE,2.6901803751803754,3.091300637032344,3.0011868281531204,2.71556785051683,5.261616161616162,5.593939393939395,7.249999999999999,7.752272727272728,6.159090909090907,9.863636363636363,7.113636363636362,7.0,11.329545454545455,10.812987012987012,8.090909090909092,12.0,5.5227272727272725,9.176190476190476,8.311688311688313,9.480519480519481,7.753246753246753,10.419480519480516,3.8289749969656506,4.390727287014416,3.367966667966668,3.1988019652305364,4.322460037265864,3.176599660627438,2.077503525514889,2.9667395382395383,2.7423800112930543,3.1193132334725258,3.369500561167228,3.641252587991718,3.364736030253272,3.0666348671904227,3.5683036034099866,3.0208887624946024,3.4981676209095562,2.8050076332685028,3.3740870928887463,3.39303244964402,3.1103960523603384,2.7588161590393727,2.9250403775633136,2.9967422827716943,3.609730918882705,3.9789500673798197,3.6561345016990177,4.174361680560029,4.036598273168521,3.800141367214538,2.8849547057880383,3.1043246315973594,3.4698940533151066,4.314151887538984,3.5660597339168763,3.857028318903319,4.830602764862023,5.291255106395952,4.46393004491596,5.137550443906376
4,KY,4.475782013685238,5.809321475625824,5.5717429396000835,5.222892992424242,11.272727272727273,12.363636363636365,14.045454545454547,14.40909090909091,11.509090909090908,13.745454545454544,16.409090909090907,9.9081618908939,10.46233036851716,10.239032715295721,9.501796223501866,10.888084411305481,8.705898505585768,9.065346320346322,9.687185362568064,1.0,8.653998276010062,13.090909090909092,5.6008482380192905,5.283730158730158,4.431110080395794,4.742782340208811,5.5844753152130195,5.550169980678454,3.8255609668109667,5.500304998032272,5.11540203623537,5.39998823640128,5.214580808080808,4.548621584508682,5.513640572390572,5.026430117501547,4.952913059163058,3.9678892721861474,4.675902477152476,3.761224995048525,4.825137674117267,4.45925468975469,5.078314608671751,5.8132685742441845,4.756993523272594,6.020474782669905,6.095693442360108,5.152257266542981,4.460409393473909,5.459609399315281,5.38059718059718,5.741602080714984,5.419881854256854,6.639393137726471,6.2281631647485325,5.403970658970659,5.107960557960559,5.579945054945055,6.849035250463822,6.448096768551313,6.9925548589341675,6.698238095238096
5,MO,3.357721956406168,3.6331963704845065,3.4980105285660845,3.496303948576676,7.588589981447124,6.772294372294373,8.25974025974026,9.377344877344877,7.2279720279720285,10.37150553150553,10.882828282828283,5.927048260381593,11.584090909090907,11.931818181818182,11.030303030303033,10.575757575757576,6.327272727272727,5.754734848484849,5.303030303030303,5.789562289562289,6.402597402597403,8.103896103896105,3.622131840680228,3.1896428048601964,3.398225957049487,3.480360195360196,4.600414862914863,2.9921060090702944,2.471127719240927,2.6529491341991345,3.0673404749675934,3.587030356474801,3.081394152295792,3.0800161210317456,3.459111132974768,2.6865053960124383,3.3032922632922634,2.7454155134483003,3.1630393799748635,2.428597377281588,2.8955981775426216,3.8236241971536096,3.263252708490804,3.7174351742533567,3.2401278086992367,3.4080058396464645,4.891222066222066,5.500482503607504,4.887378713240783,5.465447330447329,5.825634222408416,4.647532043120278,3.2977113572701806,5.0523986495684605,5.261173731928449,5.86769259006101,5.2601737716144505,5.171329699107479,4.46775928932179,4.153788275216846,4.204630170079609,4.949358974358975
6,WI,3.265128522271379,3.1910502540937324,3.687106471783892,4.015004239746508,8.563636363636366,10.618406285072954,10.440909090909091,10.7,9.022727272727273,11.731902356902358,8.959090909090909,11.34375,3.5,4.5555555555555545,3.1333333333333333,1.9222222222222225,1.6666666666666667,2.333333333333333,1.0,3.6666666666666665,2.0,9.203532007509283,3.293208790171407,2.9362514029180686,3.2290682802046438,2.240399623052684,3.420005989817311,2.838549861130507,2.107530454042082,2.885483222824995,2.886744892534366,2.676821413540164,2.9773146921106104,3.310152436216266,3.082864745767972,2.6681589056589057,3.05975585975586,2.8987784718797385,3.03706259018759,2.613903846830676,2.938649334435851,2.9812281269177823,2.2629641654641657,2.5341468456637,3.3324160546070667,2.629244829244829,5.102698279087168,4.920043034644803,5.384654720994925,6.437487512487513,5.485987012987014,5.372915457967005,4.802430697957014,6.7258323026180165,5.908927025355598,5.2041125541125535,6.235415040333072,6.378192936389658,6.8262055621146525,5.1308106575963714,6.305948136830487,6.6623188405797125
7,GA,5.781371041239463,5.841250341250341,5.324432866874727,5.622380315762669,15.036363636363635,15.254545454545456,15.49090909090909,16.40909090909091,16.05409090909091,14.16,18.1969696969697,21.409090909090907,20.181818181818187,22.227272727272727,18.633333333333333,10.888084411305481,8.705898505585768,9.065346320346322,9.687185362568064,9.84918992028748,8.653998276010062,9.203532007509283,2.5506157635467983,2.6413919413919413,4.0935211489899,3.824120838009727,3.3810966810966807,2.569852249200076,3.2101055194805186,3.3400876900876897,3.891597093382808,3.143768970493108,3.514125122189639,2.9072640692640688,4.173729048729048,2.647685647685648,2.7452357678164128,2.550335871025526,3.649494949494949,2.4470658970658974,2.5193207586064728,3.9372027149804927,3.103573614937252,3.412460317460317,4.122622053872053,2.871375126930681,8.863405329894691,8.20371212121212,7.412384887839434,8.410398793126065,7.021198092031425,7.668197691197691,8.832670730629914,10.300070472163496,9.912289562289565,9.922582972582973,7.145049130763415,8.048890116975222,9.372328548644338,9.569482705846344,10.580117349970287,11.138793103448277
8,SD,2.7293700438195847,2.435287397787397,3.1887575887575887,2.4458457444695973,3.8181818181818175,5.0,5.400000000000001,5.363636363636363,5.0,4.888888888888889,6.090909090909091,9.9081618908939,10.46233036851716,10.239032715295721,9.501796223501866,10.888084411305481,8.705898505585768,9.065346320346322,9.687185362568064,9.84918992028748,8.653998276010062,3.0,2.6621794871794866,3.5151834504293524,2.3056488925536542,2.2919874065328614,3.7563941694376473,2.9776769967246164,1.5842933947772655,2.2753584229390675,2.83758210180624,2.5755125885722903,3.3369432419432417,3.2245696763553906,2.5644777444777445,2.7839662862390133,3.1444949494949497,2.618724893724894,3.6836694248086648,2.2521232735518453,2.4139481232073825,3.023309857638216,2.0807468026646108,2.2704750881834213,2.60708800332088,2.038556067588326,2.9487206823027714,3.7165714285714286,2.994294708335804,3.668837004498768,4.9501402918069575,4.288030161559574,2.999207821656801,5.3129683936135566,4.496494902946517,5.1183634817563375,4.609097846597847,4.83539411976912,6.281621773288437,7.215703329592219,4.552396985730319,4.977292768959437
9,WV,7.541955266955267,6.9494283494283495,6.5255563572230235,9.143441558441557,15.96969696969697,15.666666666666664,17.39393939393939,17.333333333333332,17.484848484848488,18.484848484848488,18.21212121212121,18.72727272727273,20.33333333333333,18.60606060606061,17.393939393939394,19.60606060606061,14.969696969696967,15.272727272727273,19.515151515151512,17.848484848484855,17.124579124579125,17.03030303030303,8.968698662448663,8.53816232500443,8.375352879443787,8.343475665748393,8.00100164592352,9.130559563892897,7.427931096681098,8.605663044438554,7.934591103341104,8.179392986468459,8.160670615933777,7.065296998083882,8.615422679172678,7.835266099249147,8.470904051856433,8.814245566261697,8.204354256854257,6.7951759660093,8.630024509803924,8.742609272447982,7.549949609473419,9.308861195993547,8.854586602633479,8.621031746031745,8.604116994116996,8.146108477060858,7.891575190682333,8.109175084175082,7.396539519181029,7.053225436179982,6.899320270372901,8.857245777098717,7.684769570707071,7.722865560365562,7.625482093663912,8.93466810966811,9.627959540459539,7.289314058956918,7.500386136497247,8.516612554112552
