,State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,CO,3.835018616500098,4.910608465608465,4.803778467908902,4.9449052739375325,4.141265792031098,5.414148877941981,5.369806547619048,5.719406196213425,4.384626690182246,4.3139950166112975,4.131790744466802,3.4962676962676964,4.361820925553319,3.2778499278499282,3.5625,3.470833333333333,4.134618291761149,3.279613095238095,3.268462138953942,3.688503401360544,3.5371284271284282,4.032942708333334,3.9711734693877534,3.9718894009216585,4.3075,4.470622710622711,3.4629563492063493,4.024052028218695,5.0712072649572635,3.755022321428572,4.952872260015117,5.526696020874104,5.167416225749559,4.379295051353875,4.790543259557344,4.898741773132016,4.811441798941799,5.871996753246753,4.349310776942355,4.8809229864785415,4.324738177057765,4.86060606060606,4.111995177817962,4.442342578056864,4.562740929705216,4.008605851979346,5.322399068322982,5.0200565687267815,3.7414804016844823,4.868595238095239,3.5310355253212395,3.663633786848072,3.6429988662131527,3.685235640648012,3.8612929894179904,4.148136258248618,3.6602607709750563,4.2520576131687235,3.5874926513815404,3.8937464142283424,4.228028933092223,4.201634683724237
1,SC,4.053405017921147,4.906045751633988,3.791729323308272,3.9822362278244623,3.9228298611111114,5.800809523809526,3.927090964590964,3.8082251082251086,4.0018518518518515,3.4240055837881926,3.959022556390977,5.155582137161085,4.153267638793955,5.210688231521567,3.896742424242425,4.680362448009507,4.035430839002268,4.305228758169935,5.1466666666666665,4.584300595238095,3.4846872082166205,3.5017259056732737,3.768614718614719,2.6630634920634915,4.025362318840579,3.3268571428571434,4.817998866213151,4.031158142269254,3.926763668430335,4.290857142857143,4.58009768009768,4.408348030570253,3.584217171717172,3.1205988455988454,4.085467532467532,3.6087679516250937,2.9881772268135904,2.7788359788359784,3.738353174603175,2.626951487665773,2.777314814814815,4.0929181929181935,3.6940836940836936,3.8253472222222222,4.713458994708994,3.963117283950617,5.07632731253421,3.9101190476190473,3.2695624195624196,3.4629987129987128,3.6963124274099886,3.413471177944861,4.07560125060125,4.0077801827801816,2.743333333333333,2.8223155929038284,3.0682529932529934,3.9669631093544138,3.6237455197132618,3.688417508417509,3.095163758800122,3.0059964726631394
2,IA,2.744392230576441,3.1784611992945333,3.328353174603175,3.121437799926172,4.238639455782312,4.322730972730971,2.8117261904761905,3.8110877684407103,3.6787840136054415,4.01015625,3.831851851851852,3.3203514739229023,3.8193650793650793,3.009197845804988,3.9576923076923074,3.859481460568417,2.6813492063492066,3.860276760276761,4.106540532879818,3.3622004357298483,3.8989285714285713,3.1099206349206345,3.44504794973545,3.1017399267399264,2.7361180729601777,2.847786935286935,3.2513149704326163,3.4384839650145773,2.469460641399417,2.918629908103592,3.7374206349206345,3.074257369614512,2.9946492575524832,4.438043195420244,3.1515747039556565,3.016505246166264,2.9913832199546486,3.014484126984127,3.5176552492341964,3.2275573192239864,3.1495670995670997,3.2045791245791246,3.0859056122448973,3.3115231990231986,3.687272727272728,3.4253306878306877,3.4300022356360382,3.7792465471036905,3.9311346548188655,3.0447978670634925,4.3929579239103065,3.0122321293963084,2.776812206890332,3.326990740740741,2.9590277777777785,3.0704206349206347,3.2956654456654464,3.051729559748426,3.8212759462759465,3.7907076719576716,2.742977113325951,3.32843537414966
3,NE,4.46875,4.373456790123457,6.265542328042328,4.592592592592593,4.189730158730159,5.992724867724867,3.5455993840322204,4.640099206349206,3.7487103174603176,4.3758928571428575,3.918984630889393,4.125839947089947,3.6825793650793655,3.6710000000000003,3.7628815628815615,4.1391908212560375,3.368135616819828,4.02195165945166,4.6618295739348365,3.732458776390815,3.451731601731602,3.2176190476190474,3.8071466364323507,3.2775684632827486,3.576633249791145,3.878791407867495,4.4354542966611925,3.8767223910840936,3.6765824622531937,3.393217054263566,4.108942099567098,3.6452689594356262,3.7825206043956046,4.723556998556999,3.7965515873015874,3.1961860670194,3.9488452738452735,3.0588357361293137,3.722078831532613,3.78974688974689,3.351963601532568,4.087746031746032,3.654750673854448,3.6943613000755855,4.278771886761577,3.7521096533851637,4.007602545968882,4.082398989898991,4.090887445887447,3.696872294372296,4.464797410192146,3.68742265267689,2.6519463661987026,3.1366466327631377,3.689548778312824,3.6712024236217786,3.562062904795463,3.75269066976384,4.267985691929353,4.744121315192743,3.726334253508168,3.5347252747252744
4,KY,2.662055281882868,3.48198051948052,3.6459933435739886,3.048856209150326,3.3415021293070075,3.5128527336860667,3.159455782312925,3.255662020905924,3.7974149659863934,3.7098389355742296,3.709520109520109,3.2791847041847046,3.2665449134199136,3.8502728174603176,3.408955383955384,3.367189754689755,3.2614845938375354,3.638194267606033,3.430651927437641,3.1202176843624216,3.1414203257060405,2.9170732902214382,3.4629825592788555,3.5188430059523816,2.923848647440197,3.5154535147392285,2.8826438993105663,3.732237339380197,2.8586781160551653,3.2179764232183588,3.0724908424908426,2.966982634224013,3.0618312757201647,3.0981968300516685,3.2066091954022986,3.661295840175151,3.2110768398268394,2.6376088069636454,3.4880991032776736,2.6682681405895687,2.937830447330447,3.081120240303913,3.506640211640212,3.6521164021164014,3.3147212543554003,2.723390885600188,4.04984311554079,3.1124614653023737,3.015694444444444,3.439706835114998,3.593938657714167,3.5525432900432907,3.2346200096200093,2.8969704986371654,3.210991140642304,3.5649281934996218,3.557140795712224,3.3662518037518034,4.086485826001955,3.4127624167946737,3.902716727716728,3.421016483516484
5,MO,4.024722168378885,4.184306767913325,4.081981327130581,3.58502886002886,4.2433953033268095,4.719277662755924,3.6730266416833577,4.5511718568170165,4.027240860990861,4.6348168498168505,4.878359118113217,3.423090554669501,4.006374974232116,4.019055489964581,3.2108886483886483,3.3258347016967718,2.43542735042735,3.6511757182211726,3.635747702589808,3.1477818147461005,3.0920433659907345,3.9374902296777297,3.7134700176366846,2.9495590828924163,3.2807482490409314,3.4169538239538233,3.8656047395484014,3.051690015231681,2.766198263817312,3.172594627594627,3.456720413242152,3.5413303739574933,3.2193903318903314,4.031570466570466,3.1861626468769324,3.55272591991342,3.0005907940690557,2.8666341399947965,3.650935419356472,2.8811100422211533,3.0784626308435827,3.6597843514510173,3.387458898114636,3.1971157426802583,3.6211219336219336,3.435553952220619,3.5515110930735934,3.2997736160779643,3.8752899042055664,3.6050153550153543,3.8040749965407503,3.6204737245876486,2.6684443642776974,2.795503421309873,3.2601493139628737,3.5920675004008342,3.4764848950332823,3.395558416679106,3.2191082906992,3.2071005383505384,2.7476681394207167,2.9610660173160173
6,WI,3.250677191166321,3.3927192982456136,3.6580451127819535,2.8865153538050734,4.7227819548872185,4.6435630743525484,3.137340407177364,3.4953490356716164,4.571936507936508,3.4249309868875084,3.9971736313573047,3.4191468253968256,3.669814213564214,3.512775072150072,3.886278447121821,3.575889075082624,2.977787456445993,3.676579743008314,4.195745149911817,3.374472306653157,4.7214731130547465,3.233449575116241,3.227913832199546,3.0815063649222063,2.8846024258760106,3.1250793650793653,3.3331810165143496,3.3575689223057643,2.8723383662408053,2.7776486899980872,3.0183484504913074,2.895568783068783,2.6256216931216936,3.0107009095773143,2.8236499309868885,2.871637426900585,2.4441900691900686,2.966524520255864,2.8674509803921566,2.958564451421594,2.5981162746222983,2.8571825396825394,3.1961356764928195,2.4988630283574107,2.768027210884354,2.667278244631186,3.1335061763633196,3.0319426241444587,3.3035759897828867,2.3648532668881503,3.4814947089947093,2.81485060690943,2.741232804232804,3.1661040037905708,3.669563492063492,2.5046596921596924,3.197293244949495,3.2608622545063217,3.716736694677871,3.247184065934066,2.9091569332135374,3.2469461697722566
7,GA,4.594145119145121,5.2452485380116975,5.567944250871081,5.3186078936078935,4.824156746031746,5.076557907113462,4.18613898727535,4.075610500610501,4.423615921115921,3.654115226337449,4.252045454545455,3.982055949101404,2.651936026936028,3.8687931951089847,4.753194143819145,3.9131578947368415,3.6426237161531283,3.3676469124744988,3.5471139971139967,3.3618250962000964,3.0551360544217685,2.5864311315924216,3.059126984126984,1.972167487684729,2.8614414231601732,2.7103641456582634,3.070260376878024,3.9282936507936506,2.442603615520282,3.5459466459466458,3.3525226757369615,3.456722689075629,3.4189095928226365,2.809861845972957,2.741015512265512,2.688480963480963,2.277214541730671,2.491038961038961,2.9011544011544013,2.957543690877024,2.764107827038861,3.336584741423452,3.3968370681605973,3.936630036630037,3.009212495323607,3.6940355940355936,4.154325396825397,3.486516326051209,3.601475607725608,3.9657328554869538,4.053463814904493,3.486591443535888,3.8204022734634977,4.561224709097049,3.9179125752296486,4.660192017578381,4.875305688463584,4.314055023923443,5.769254048420716,5.03218954248366,5.675698653198652,5.9936371100164205
8,SD,3.685557401255076,3.3602355072463768,5.006283750613647,4.304379379379379,3.8266855256954266,4.607547387887194,3.861857142857143,4.338997493734334,4.241097883597884,3.861792717086834,3.513383458646617,3.2400341571227638,4.389807566862362,2.8924650984891938,3.5993589743589745,3.28205574912892,3.2441156462585035,4.50506105006105,3.869080687830688,4.943073593073593,3.5343137254901964,3.368954613095238,4.016666666666667,3.3232255166217435,3.956484295845998,3.1150952380952384,3.9376026272578,3.195144724556489,2.806569664902998,2.806349206349206,3.831570512820513,3.9809523809523815,4.038289601554908,4.741333333333333,3.164270451770452,2.922714285714286,3.1321645021645024,3.554336734693877,2.9395790200138032,3.3774999999999995,2.8132551528073915,4.000595238095238,3.905324675324676,3.1548412698412696,3.6436974789915966,4.248084886128364,3.5646604938271604,3.2864523809523813,3.695305480682839,3.304920634920636,3.5440476190476184,3.2148809523809527,2.800992063492063,4.3036564625850335,4.510204081632653,4.238,3.495545314900154,4.0291887125220445,4.063690476190476,4.442952380952381,5.370496894409939,4.6057971014492765
9,WV,3.1448578042328044,3.001556776556777,2.8368927368927364,3.0386584741423452,3.8603968253968253,4.082407407407406,3.0215136054421765,3.4349616858237546,3.4323288690476184,4.193371546149324,4.585859788359788,3.758182813355228,3.8676792556102897,3.369444444444444,3.1505291005291003,3.8829223356009073,3.1002539682539685,3.2012119262119265,3.416218734968735,3.3244973544973533,3.5878824690049176,3.4839091192032368,3.952842565597668,3.0998095238095242,2.6203757693553613,3.082961837217156,2.9850975413475416,2.8563330093942336,2.6088145896656534,3.2917312661498714,3.3938041125541134,3.120493197278912,2.7539021164021165,2.63377065111759,3.2152695105820097,3.2805317460317465,3.3449372140861504,2.261344537815126,3.5146660052910046,2.3823478835978835,3.216034999858529,4.088381321520856,4.049797178130511,3.923163118061078,3.664830195644149,3.2771224146224154,3.677470812016266,3.638967405143875,3.7136067019400354,2.9519332519332524,3.0398857917150597,3.436192511192511,2.840419501133787,3.5950680272108846,3.094727891156463,3.578798185941043,3.5287784679089023,3.091805813234384,3.0942460317460316,4.0422187715665965,3.9826190476190484,3.1210317460317456
