,State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,CO,12.701809318938947,13.964445943948956,11.233911301023367,12.389010501843831,11.205498556998556,16.818510537081963,11.96144226804941,13.026696039003733,11.131308139534884,15.862695595003286,13.726616866530659,13.204720157687024,13.429236116783288,15.239786756453428,11.87538475228475,13.463234577922075,11.564771660264617,12.372893014653581,13.449060234378415,15.093543314922625,12.762821813603065,15.178007531763628,15.747746903851276,15.962155430869027,15.785306879457593,16.311776679128954,17.17466226357967,14.669729388258801,14.513774821540313,13.347985332568664,15.975107999639249,15.416540121972215,15.09991690766587,14.78886945010912,13.558763665461194,16.450748483074307,15.774495760821063,17.630747389051987,15.500246693313787,15.263758350005087,14.911100967474056,13.623487177790231,11.352169136419134,15.62523405567301,16.801598454580052,14.402888742913618,13.831683740162733,15.463829787579787,14.303561171415653,15.949755533445046,14.483316304748408,15.903171540804873,11.123168764066806,16.417761117720698,15.009069331921994,17.917788202297658,13.649909170268113,14.25792801210791,12.414670654090946,14.31396092373365,12.088751546286812,18.024835524915954
1,SC,37.360660214625725,41.22181244260789,37.95721112221112,37.953331591779865,55.13341769972451,38.17477181453085,39.25573909830007,40.23472406996797,35.43917948851684,42.21491350684122,36.95203132161957,42.98014247356019,36.41909686147186,43.90893262430299,34.99167352537722,40.15820936639118,42.70252459661551,38.0410668372032,32.13979199893673,44.692036940836935,34.88554171054171,34.84002392344498,37.36469696969697,39.4705980861244,35.64835326953748,38.65042549555708,35.12192387698881,34.04870371952609,31.613973829201107,43.88587676037043,41.66552550824703,36.74812992943129,43.92672381711856,35.536457239057235,43.613516176805646,42.0464861952862,40.340831980519475,42.90486834838686,47.655291406124746,40.529853592100785,30.523669241112426,30.216232692571978,37.27061950285165,44.21315647872877,39.35269998838965,39.26902019426213,38.83166420880706,31.13778075788945,40.29030057720058,43.140218408575535,34.43480239838461,32.485024184884004,34.88618268840414,43.22909374675504,41.09118100211547,47.14483417809728,42.05740655428154,39.35537342472343,43.6638293940553,38.11944134063002,48.99794933977379,40.791878526878534
2,IA,27.16669735819736,32.94059512447308,26.924600419265776,24.29670697908793,25.815867965367964,30.12119516012661,25.10087916637097,24.248095971824785,25.56461492211492,26.25463219425609,28.482919919586585,26.10619028797289,28.883892154301638,33.57787518037518,27.904608819678263,24.30453463203463,24.660819515306123,29.325995246583485,31.841536766221644,28.804883316963164,25.00767052275456,28.0138906455863,34.45303027023481,29.143273860096286,29.344098322676306,26.608882439109717,31.631470494417854,26.231468432557545,22.86573241734112,22.700644678636483,30.34988253252716,30.782393623364698,29.44570022570022,33.0191021901827,24.971417656417657,24.78852545058427,28.000550897322746,27.12091683545812,28.911101430976434,25.947616161616157,24.682297558922556,28.041838663128985,24.51615101395636,26.76335307966887,29.179372348215622,26.74286479847549,27.8098075305989,34.136584794441944,36.026467223252936,32.484709611117175,34.06193761702027,27.59043637208909,24.969391125819694,29.5956370457825,36.71716509695004,35.964041545323354,34.03342085567832,26.74727846130477,37.54275460126875,32.94252154324254,27.562461808258337,30.769468929415737
3,NE,21.68546431171432,23.426985955221248,22.820631277763628,20.957978744303,20.168640735290985,25.540361697785944,20.815976266998998,19.45515142217462,23.84935952086462,21.31839187158775,21.15898757988044,22.473330890752763,22.424610847415416,28.204314898799023,18.07763472352389,19.966672049884483,18.793378558652,26.763749677223363,22.937856694255657,24.821978874608412,18.70047101781229,23.66874271888669,27.557200691121746,23.512061055582,24.88185890316781,23.284330400782014,26.48565374910295,25.245379443788533,20.261140749601275,18.992474861395927,21.41701106176495,22.49827178030303,24.010949114456572,25.435593513532528,21.75650384800385,22.157498281330827,24.17855040493796,22.92335035206564,25.42119147469594,21.588654289417565,22.151874846405416,23.675229825983248,16.38689761248852,20.247037204200886,20.28625747783962,24.600381481732654,22.39398048696005,29.28760639558854,27.320260254552608,22.220774627574734,25.75025070925806,23.884545463165537,18.16268322782921,24.404493500250613,26.24702352127291,28.5981939492078,26.24478134410879,26.90091836253052,28.040397643031568,29.511693786048745,20.166988038396,29.650658771280533
4,KY,31.34446265611783,33.87034759647005,36.276374211785175,26.427591799453502,35.9022236448997,31.422439613526567,31.06279772361295,37.20379383116885,32.275885842552505,32.23948809523809,37.294206502717145,30.730412335029122,36.497993635717506,34.63244313505424,31.54302656191545,39.81784976985706,30.423023247177657,36.007116357906796,34.80500580545283,42.89547825546102,28.219416079563125,34.196988576958624,34.262480852480856,33.911436774478176,37.99038598061746,29.759842662611646,33.09281750906751,30.13066504816505,33.12075532409425,41.26451939507861,38.17110650019591,34.90470645792564,30.546645349599896,34.47998346560846,33.2021643568959,36.02626857376857,37.8716231084981,33.235287618654965,32.56116599843109,28.7018962191358,34.82201190476191,33.022584673263246,39.65827410566217,37.73220838872414,39.588308563702256,28.505028368096557,38.406236969912335,32.50003382591345,35.68869999139494,34.18160688517832,35.25139266525437,43.93730071910569,29.64464458697041,39.18550157070069,36.00779578264872,40.01625831485588,34.782488403195714,38.050142672572896,41.27538205980067,37.00223290664678,37.7989606524428,41.21422803141875
5,MO,28.333733819810554,37.872611531986536,28.902388111312984,28.10808020386838,32.83886706702883,34.56711957887331,29.882042497880125,32.788176626430605,36.05317931923401,33.87426847004072,35.448693047496235,29.57533414253028,32.82431133334876,42.046558460645755,35.953652529882476,34.682055941933,28.71868990761653,35.563582533233365,33.216113887672876,34.65558289434795,27.705628060464125,33.99450920495276,37.98341133460037,34.20034462657939,37.60470967638165,41.38616694267701,35.633937898724085,34.32629451659452,31.554484571744837,28.17087370962371,35.37780865800865,30.287597022860183,32.91890993265993,39.91934869162003,35.68847716386178,32.29455035044321,35.79720667342503,33.75784763847265,40.861741142057404,32.420493527714115,32.347579553844085,35.04870448179271,31.21350431691214,34.688817257021675,35.104402810304464,29.21708064689448,35.35560363752093,34.139568975791065,45.508109064463646,41.794097248288004,35.786551357858826,34.47224362811011,31.156865653593183,36.74083838925303,36.19291057487486,44.10179738371942,35.401148050101426,36.820442015881035,34.567673881673876,38.66506102812428,32.692393289328926,39.33808273418777
6,WI,29.281114117364112,25.66085194045721,21.489554165998612,20.644241875274485,22.035161170528816,26.18730959808165,23.509467748391103,24.41036430481284,25.54647449468617,21.05904578796624,23.8881758699316,25.596818347047357,27.181511907558427,26.17083916083916,23.700781653746773,24.107405526804023,19.67121968883248,26.945125196772924,28.677197080697077,23.46896426092991,23.42209484750838,25.912997673967823,26.32075834098561,26.53227059163059,28.94463575757576,30.50002829191805,26.341041814735853,21.59202023065118,22.13844596761264,21.058256922675024,28.220637097576752,28.87659721533767,25.513919997072172,24.639354180098863,25.01110568649457,24.059805361305365,25.29087849814228,20.944001322751323,27.21712295692688,24.457889846174158,27.489285113035113,27.338316037930326,26.58169076319629,23.888492765492767,25.05517121767122,24.189474271848567,25.157247395461678,27.16559045573413,27.00727545208928,26.062068724790567,30.572448033682214,25.562729064612288,23.752747507649783,27.00956346893847,29.21012306069998,30.593438273222127,31.53009934810748,26.08922408919832,35.266889956108706,32.0185875835531,32.64419100862742,28.65829997947455
7,GA,34.52316646668549,41.51628378759664,39.74372230593225,40.18283627907832,54.60170292670293,35.691844090253184,43.77402008809904,37.33484980524196,34.12839871347988,39.75102901602902,40.36919714385232,41.52320416394157,39.04499666616908,44.164193054420316,35.25642201695019,41.68723817118554,39.78361818520022,39.233440656565655,32.399711779448616,41.74801700208188,36.222648690671946,37.78367393717394,39.57506504606505,41.58556751581751,36.855605616605615,37.3290845462499,34.27464386388805,30.32904135642136,34.376143607274564,44.91267210082687,39.37532339707537,38.48174370249174,41.85851463948239,34.37046998556999,45.658566147186136,42.960308559837245,41.589702228092044,46.905466690716715,41.246130379761325,34.198411655618685,33.079079239363324,31.69852925225409,40.82841471576669,43.850029334700395,40.52726859730308,41.58988811394367,34.628276356806886,32.63904304236394,42.17300034752914,48.31068200580612,37.44834507709209,34.374095584121086,33.3413400638033,45.70252502280214,41.55783995467854,38.95951668470417,35.392702765328714,39.17733067450322,45.56125746446225,37.00298268970888,49.99427126577128,45.802125170068024
8,SD,17.201998727431796,16.11327578106648,18.681729474919774,17.33040419501134,16.832803756994405,16.354929998514553,18.432719847062913,15.866160820388766,17.399366883116883,16.145898958068074,17.8606884012176,20.517608771699685,17.440452020202027,19.38902386025433,12.79663234072325,16.07679922810875,14.646568986568987,23.594311643217893,16.466222001222,16.78740907689937,15.814129094176266,15.228089744098911,21.424638128861424,17.13922627977084,17.61448557742373,18.063434074790454,20.820184820790878,16.434842047930278,17.010032161234992,17.106785313451983,17.08810905612245,19.67351055601056,17.761154852092353,20.359543164564904,18.7880135296802,21.608493050159716,18.36791027154664,19.25425876411171,21.777750002712406,17.55799674830497,19.356027282902282,18.1380711477188,14.426020547278215,16.388954736963996,19.012255176657018,19.7587780901348,15.694657351576991,20.591858710693018,22.836791464091462,19.807872471751207,22.277460420165053,19.231658450288347,13.86625970809092,23.493640990402888,18.98966952341952,22.385638819653973,21.875157459910984,19.849400878827964,22.992139599155173,27.82069332182968,16.80159325662083,20.467307763572354
9,WV,26.28825211575212,27.304506591892967,27.703516865079365,26.025239361028827,26.435238414486204,21.9936169029747,24.87198267723969,28.9067862992863,26.321065663308648,25.98163426720031,29.1180419684158,26.78364271813813,31.49378409949839,26.89680129870129,27.43333866943242,29.451562432839022,24.601459373959376,27.188042245111212,27.37379850088184,28.75883072295995,27.879412177328852,25.50448777548209,27.061630591630607,26.990824915824923,29.829484212877073,30.51388618326117,26.938087897244877,26.05849739085204,24.261171236171236,31.03016198571077,29.143992424242423,27.91682922429873,24.23267791151937,29.213053665910806,30.641444870390657,26.981010737628388,35.447491582491594,26.536176673567986,26.11844796788971,27.231796432733933,31.070099310411813,25.54440965057787,30.09356934731935,34.59739184494039,35.81702741702742,26.07428897154625,25.54371643606937,29.44788818167531,28.7940080093868,27.61554939155333,30.774803190636522,33.03892699672461,29.186612405042162,28.094134070294785,27.578338544171878,28.82588062803659,31.41258490073145,29.63318694954471,36.13786580086581,28.85636579469913,30.469964591897373,32.515091743119264
