,State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,CO,188.87613886113888,165.15289502164504,190.1296703296703,177.3961904761905,195.07757142857145,161.16415966386558,186.38316666666668,170.1310238095238,180.61119897959182,175.47468253968253,177.56778571428575,191.5275793650793,201.59374458874456,195.5455627705628,218.2457341269841,217.7317307692308,217.03912087912087,221.61206349206347,229.1411904761905,203.05386904761903,243.7175661375661,194.60714285714283,199.76205627705625,203.54892857142858,216.3238333333333,230.08541125541126,234.42197278911567,235.90173469387761,238.77714285714288,247.93095238095242,250.83607142857144,250.17255952380955,216.0721693121693,222.9831845238095,243.69312169312173,212.91818181818184,240.6331349206349,231.27694444444447,229.7277056277057,216.96992063492058,254.67709956709962,238.4607777777777,272.1234761904762,263.9780555555556,234.81640211640217,241.46417989417992,256.95952380952383,253.79780952380955,253.30290476190484,228.30744047619046,258.01430059523807,258.09030032467535,273.5288798701299,248.34708062770562,265.91334956709954,223.19749536178108,231.9551700680272,220.97871985157693,245.7583116883117,243.16012987012985,272.8857946815089,239.33571428571426
1,SC,140.46249999999998,128.62222222222223,123.34999999999998,139.47599999999997,128.30472222222218,118.14113095238096,128.02255892255891,128.77314814814815,136.23645622895623,133.9746560846561,129.71430976430977,119.3797113997114,125.32037037037036,124.15558201058201,128.93290043290042,116.23098484848484,130.18460317460318,141.40029761904762,138.0484126984127,130.29214285714284,153.48519892805606,142.41341991341992,120.89562358276643,133.10333333333332,134.20569160997735,138.01487064522775,134.54748917748918,126.20596784168212,135.54221088435378,121.57142857142858,130.27881261595547,115.18799474335188,115.86503111471859,143.64897727272728,121.81336038961037,154.61781565656568,127.00190476190477,133.19958152958154,148.84284271284272,145.27733333333333,151.31911111111108,145.29999999999995,133.96875,118.60428571428572,136.01083333333332,141.7936507936508,146.29000000000005,142.43574074074073,171.52043650793652,153.2025,153.82666666666663,159.46666666666667,143.52787878787882,138.27079365079365,144.76565079365074,159.9288888888889,164.5066666666667,148.57999999999996,144.98000000000005,155.88731818181816,117.91111111111113,164.42499999999995
2,IA,151.91833333333338,153.42642857142857,144.08678571428572,165.33809523809524,183.35071428571428,160.0687619047619,167.8897959183673,168.07285714285715,175.37,160.46466666666666,171.75833333333333,176.40555555555557,161.2450793650794,162.66071428571433,162.21230158730157,176.4411111111111,186.0976190476191,175.39206349206347,164.76190476190476,174.19866666666667,186.4937142857143,177.6977142857143,141.34066666666666,169.22833333333332,170.75277777777774,168.58571428571432,154.31428571428575,175.21190476190472,216.6455555555556,162.3898809523809,150.2657738095238,167.91857142857143,158.20583333333332,133.3345238095238,168.02499999999995,153.25654761904758,148.03928571428568,177.51458333333332,149.10464285714284,181.45892857142857,176.87202380952382,163.07222222222222,179.42000000000004,173.0125,164.10857142857142,199.16952380952384,169.57904761904763,165.02111111111114,180.73214285714286,157.7375,183.74285714285716,166.21714285714285,206.89857142857144,162.67000000000004,147.53285714285715,149.0,161.7,178.02,172.85833333333335,147.94642857142856,136.96,149.06666666666666
3,NE,189.3466865079365,184.70911111111118,180.62705357142858,201.279375,221.32039215686282,186.26574404761902,199.949880952381,187.09949206349208,217.4640476190476,199.89214285714283,226.59857142857143,202.20312925170072,184.7093197278912,197.69047619047615,201.64819047619045,206.42136507936507,220.6557777777778,184.5594920634921,193.35476190476192,189.149,204.36816017316016,192.08773809523808,183.28125,209.35100000000003,187.623,200.61426190476192,190.419696969697,200.31357142857144,219.39388888888888,201.90416666666667,218.72590909090906,202.27969696969697,187.01772727272729,175.04833333333335,234.67,205.15,163.34166666666667,178.29166666666663,170.916,190.791875,220.56833333333333,190.6983333333333,240.50277777777785,220.574,167.91571428571427,229.99375,208.99666666666664,206.78,195.255,172.69000000000003,192.5666666666667,199.52,250.70000000000005,243.20305956481084,215.4428825956004,228.45079107405095,174.29848959597513,168.5410023392023,167.75132129084906,170.68593875346386,188.58555048837425,191.8493511715798
4,KY,122.4452380952381,115.81380952380951,129.29000000000002,129.59821428571428,137.16066666666666,132.90666666666667,136.97733333333332,119.06,127.90866666666666,122.48505952380951,122.65345238095242,133.2875,117.85714285714286,115.75079365079365,122.36130952380951,126.15,120.95642857142856,128.52142857142857,122.87916666666666,113.135,131.40029761904762,114.51857142857142,120.5538095238095,131.72607142857143,122.79785714285713,117.50267857142856,120.775,136.10166666666666,134.0577380952381,114.67571428571428,125.20158730158728,120.5163492063492,105.10317460317462,128.35674603174604,126.78690476190478,133.16250000000002,118.10892857142859,124.07321428571429,136.18333333333334,148.44285714285712,139.5142857142857,154.04999999999995,144.86,134.58499999999998,149.50571428571433,146.18833333333333,135.01555555555558,169.61904761904756,162.36749999999995,140.52261904761906,141.24857142857144,134.75267857142856,157.12857142857143,129.89285714285714,143.77857142857144,144.3142857142857,137.8357142857143,146.24285714285716,138.79285714285714,148.29999999999995,140.2142857142857,167.04000000000005
5,MO,146.88214285714287,117.53526785714287,158.428125,164.625,176.721875,167.77428571428572,156.1773809523809,149.55238095238096,161.14285714285714,151.32539682539684,163.3083333333333,160.75028571428567,175.36833333333337,163.64085714285713,153.48285714285714,160.66285714285715,175.324,147.61466666666666,174.33114285714288,113.8625,164.91142857142856,601.1555555555557,567.1944444444445,670.1208333333334,671.7037037037038,449.8776190476191,159.459375,156.47333333333333,194.225,139.4042857142857,157.67166666666662,184.175,153.36809523809524,156.3020408163265,157.6178911564626,151.42209183673472,148.83249999999995,152.46448412698413,156.12660714285715,163.96428571428567,170.07029761904764,163.35583333333338,171.68874999999997,171.74104166666666,144.42479166666666,162.85785714285714,172.67023809523812,158.17916666666667,138.95000000000002,142.6625,176.24598243305903,176.23027777777781,175.03375,152.35111111111112,156.16214285714287,124.68888888888887,156.11111111111111,157.19115646258504,168.29198412698415,165.14948979591836,155.42428571428567,147.20833333333334
6,WI,111.725,111.49999999999996,99.02,102.62,116.0,128.75333333333333,131.35000000000002,125.25,117.38333333333333,121.70000000000002,125.98166666666668,120.0725,113.015,117.09,130.54999999999998,126.16,176.9325,130.53,124.39249999999998,109.48333333333336,123.8,124.25,109.34166666666668,135.29250000000002,107.57916666666668,132.08749999999998,122.23,130.41500000000002,182.1,133.4625,128.075,139.86,113.14333333333332,108.3175,101.675,124.90833333333332,114.55,131.325,156.03333333333333,171.34999999999997,162.36666666666662,167.0,187.8333333333333,182.80000000000004,143.05,187.36666666666665,168.05,191.80000000000004,164.8,154.58211160719915,176.24598243305903,169.51692024461298,181.42172734094447,243.20305956481084,215.4428825956004,228.45079107405095,174.29848959597513,168.5410023392023,167.75132129084906,170.68593875346386,188.58555048837425,191.8493511715798
7,GA,144.4287878787879,132.19404761904764,136.37291666666667,143.28923611111108,141.43492063492062,124.01047077922077,120.3186904761905,113.459375,121.82499999999996,122.84964285714287,138.14449404761908,133.74903628117914,135.68533333333335,132.55857142857144,120.36254208754208,120.28264550264551,129.56925925925927,146.8987896825397,148.67874149659863,133.09652777777777,147.82833333333332,150.51305555555555,129.74542857142856,143.76857142857142,146.66190476190476,143.83726851851853,159.23372113997115,160.33933982683982,149.71248299319728,132.09200680272107,143.3996031746032,119.19455782312923,126.43547619047621,139.23062925170072,113.89212962962965,135.75109126984128,149.4822916666666,142.92261904761904,155.8003968253969,152.22857142857143,172.14642857142857,146.05555555555554,148.7125,104.1525,129.91666666666666,121.22,148.0,177.055462916872,163.09161593283912,154.58211160719915,176.24598243305903,169.51692024461298,181.42172734094447,243.20305956481084,215.4428825956004,228.45079107405095,174.29848959597513,168.5410023392023,167.75132129084906,170.68593875346386,188.58555048837425,191.8493511715798
8,SD,189.12261904761903,185.94809523809525,159.77761904761903,191.7080158730159,194.1190476190476,179.05680272108845,186.6607823129252,187.53285714285718,184.00041666666667,213.59791666666663,222.11291666666668,199.14354166666664,187.4742592592593,218.3378042328043,198.99550264550263,209.081875,241.9707482993197,196.23541666666665,189.23044217687075,173.132,200.152,183.38333333333333,177.12733333333333,184.66666666666663,187.50266666666667,189.2161111111111,171.85904761904763,194.29587301587296,233.68704761904763,212.984,176.5736507936508,195.95,153.74222222222224,165.50555555555556,174.65222222222226,164.23666666666668,185.8555555555556,143.0361111111111,151.8125,165.91666666666663,183.19523809523807,179.975,212.575,178.8,173.28142857142856,183.20166666666665,194.4125,193.97,165.82,159.11,164.105,165.16666666666666,218.25333333333333,148.07333333333332,152.79166666666669,160.94,175.06,190.925,171.68,150.48000000000005,196.24,240.55
9,WV,157.86037355215552,155.64337520466387,151.56171605057875,153.2868375112472,163.3180573845022,139.70238095238096,134.92857142857142,114.47857142857143,116.17142857142856,139.2625,143.94,128.95535714285714,114.66428571428571,125.45000000000002,112.28,123.925,134.60285714285715,128.89523809523808,116.7777777777778,105.47916666666669,126.37482142857141,115.67071428571428,119.25964285714285,115.48095238095242,111.32111111111112,112.59047619047621,161.98571428571432,149.86031746031748,130.39746031746031,95.14380952380951,126.9,149.21666666666667,102.62,154.26,159.30259816703935,156.48326132109761,158.3862150263612,155.54620853027748,160.7317628210824,162.9794240795488,169.967241732886,166.59961735134044,171.97945061626143,163.07617075853022,155.63190029524466,165.55372478768567,176.7889742935086,177.055462916872,163.09161593283912,154.58211160719915,176.24598243305903,169.51692024461298,181.42172734094447,2486.0000000000005,1523.25,1849.5,174.29848959597513,168.5410023392023,167.75132129084906,170.68593875346386,188.58555048837425,191.8493511715798
