,State,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,CO,8.497222222222222,9.877376190476193,8.722147759103642,9.114464285714282,10.316571428571429,9.13325,9.984484126984123,10.886031746031748,9.016488095238095,9.69089393939394,9.546071428571429,10.629698412698412,9.29350992063492,9.749458874458874,9.036370370370367,9.489092261904762,8.62195767195767,9.985047619047617,9.360408163265307,9.273010204081633,10.903888888888893,10.356547619047618,8.152857142857142,8.864642857142854,10.215,8.651428571428571,8.055523809523809,8.353809523809522,8.696,8.10077380952381,7.920380952380952,8.621777777777778,8.298285714285715,11.164057142857144,10.6017,8.93525,10.483466666666667,9.14825,8.779126984126984,10.127619047619048,8.862857142857143,10.640833333333333,4.63,9.661666666666667,5.5325,7.673333333333333,10.972266666666664,9.150208333333332,8.444142857142857,7.360666666666666,8.311666666666666,7.113666666666667,5.49,6.414999999999999,14.849263523894404,15.016170877307152,14.668329359317381,13.513333333333335,12.597666666666665
1,SC,11.161072932135431,15.672857142857143,15.6671875,16.660000000000004,14.09222222222222,15.0375,16.5125,18.037142857142857,17.372857142857143,16.01571428571429,16.388571428571428,15.397142857142857,15.813333333333334,14.987142857142857,16.27857142857143,17.161666666666665,9.54,24.22,13.338733376226427,13.19,13.346390421847378,13.46755042800937,13.11031365757249,24.81,13.182758515376639,12.702260535853126,13.52045918073593,20.87,13.657289009244046,13.096318020168738,13.010795849708446,17.72,13.668219727662182,15.296666666666667,16.461666666666666,16.74,18.642000000000003,16.286666666666665,16.43,16.697499999999998,14.752,15.595,13.22289207031269,13.603321062130087,13.602683220806025,12.263414914562663,13.711632050665385,13.475466644460294,13.854451049670372,13.527975462662337,14.245698134199133,14.144785229437229,14.22656806220096,15.24300911778853,19.3025,20.43272727272728,16.6125,20.085999999999995,15.356107142857143
2,IA,13.253333333333332,15.79533333333333,14.462523809523807,13.853462585034013,12.858333333333334,13.357777777777779,14.338888888888887,14.156416666666667,13.896130952380952,13.845130952380952,13.999107142857142,11.974345238095234,13.36,10.942738095238091,12.603535714285714,13.421761904761903,12.268888888888887,15.42862857142857,15.489,15.0672,14.731333333333332,14.225999999999999,13.198857142857142,13.838761904761903,14.235,14.583111111111107,13.46125,14.056555555555557,13.344190476190475,12.690603174603176,13.026031746031745,13.645714285714286,13.76190476190476,13.683428571428573,14.97,15.809678571428574,14.77515873015873,15.098095238095238,14.739761904761902,13.191666666666668,12.748333333333333,13.813571428571427,13.75410714285714,14.6825,15.623166666666668,14.800714285714285,11.92625,13.475466644460294,13.854451049670372,13.527975462662337,14.245698134199133,14.144785229437229,14.22656806220096,15.24300911778853,14.849263523894404,15.016170877307152,14.668329359317381,14.283592349439777,15.356107142857143
3,NE,12.713333333333333,13.032383753501403,12.607231746031747,12.762093750000002,12.531061904761904,13.08748051948052,13.436637755102042,12.575940476190475,12.708442176870749,13.269149659863947,13.0528962585034,11.841577777777779,13.032692063492064,13.616688888888893,14.213011904761903,13.906829365079364,12.177333333333333,13.549095238095234,11.716129629629627,11.767481481481482,13.81059523809524,12.444520833333335,13.742619047619048,13.141984126984127,13.763444444444444,14.588,13.634777777777774,13.857000000000001,16.461416666666665,12.7915,13.795805555555555,13.446000000000002,15.2419,14.264666666666667,12.760416666666664,13.781299999999998,15.6522,14.588472222222226,13.732888888888883,15.47138888888889,14.265,10.780999999999999,14.812666666666667,14.189,16.945500000000006,14.842875,14.153333333333334,15.118,17.785333333333334,13.622,16.12,14.144785229437229,14.22656806220096,15.24300911778853,14.849263523894404,15.016170877307152,14.668329359317381,14.283592349439777,15.356107142857143
4,KY,13.298333333333336,16.313333333333333,16.191375,15.251166666666665,15.234583333333333,16.162291666666665,15.492071428571426,16.549166666666668,16.01142857142857,15.334968253968256,16.115238095238098,15.078571428571427,15.645873015873015,13.634047619047621,16.548809523809528,14.565476190476188,14.36,14.800253968253967,15.293928571428573,15.747333333333335,15.200079365079365,15.410198412698414,15.571428571428573,15.497428571428573,15.058,13.801714285714285,14.992023809523811,14.437857142857142,18.551666666666666,15.981428571428573,18.76119047619048,28.82,15.705,15.986666666666665,12.312857142857142,13.549889987362025,13.235745763688477,13.473763380736692,13.669140399855122,13.861868030924493,15.704999999999998,15.984285714285715,14.998333333333333,16.2695,17.445714285714285,17.3075,16.20714285714286,17.791428571428572,17.202857142857145,17.40142857142857,16.324285714285715,15.802857142857144,17.002857142857142,18.862857142857145,18.736666666666668,17.618333333333336,18.202857142857145,17.195714285714285,18.812
5,MO,10.956666666666667,13.382,15.292857142857141,13.299404761904762,14.177142857142858,14.763174603174605,14.504222222222225,15.394880952380953,15.067333333333336,16.5016,16.355666666666668,14.249590476190471,15.305,13.863388888888887,17.350444444444438,16.2534126984127,13.02979748183364,14.451666666666664,17.562857142857144,14.79,14.435,16.12,10.177222222222222,16.05,15.77,15.89,14.7,17.157500000000002,18.24125,17.112111111111115,16.035555555555558,15.066130952380956,15.793142857142856,15.387111111111116,14.48307142857143,18.319354166666667,16.40136011904762,16.999174603174602,16.330375000000004,18.1941875,16.031375,17.340875,18.648238095238096,15.390857142857143,17.536250000000006,12.263414914562663,13.92375,13.475466644460294,17.654508928571428,19.141111111111115,18.07,19.565,18.819555555555556,20.227333333333334,18.422222222222214,13.543888888888883,18.929,15.733333333333334,13.2375
6,WI,10.905,13.28725395447194,12.534999999999998,12.986,12.454,12.315833333333336,12.334,12.669999999999998,12.440416666666666,13.249,15.392,13.16,14.02,11.796833333333336,13.279833333333334,13.491499999999998,13.02,12.402166666666664,12.243,11.732500000000002,13.59,12.022916666666665,12.09966666666667,12.59175,13.20875,15.02,13.0595,16.2125,14.80525,12.14,14.041,12.975,15.47375,14.04625,13.45,16.5,14.405,13.9,15.836666666666668,15.815,11.463333333333333,10.645,11.773333333333332,12.273333333333332,12.19,12.263414914562663,13.711632050665385,13.475466644460294,13.854451049670372,13.527975462662337,14.245698134199133,14.144785229437229,14.22656806220096,15.24300911778853,14.849263523894404,15.016170877307152,14.668329359317381,14.283592349439777,15.356107142857143
7,GA,13.034444444444444,15.838995670995672,16.688080808080812,17.227999999999998,13.900505050505052,15.771388888888884,15.151444444444444,15.448772727272727,14.657314285714287,14.263191919191918,15.234878787878788,13.148681818181815,14.146874999999998,13.706426767676769,16.308833333333332,17.345439682539684,15.044833333333333,16.08456349206349,15.752063492063492,16.586111111111116,15.729035714285715,15.878015873015876,16.330714285714286,16.47650892857143,15.391883116883118,14.099589285714286,14.050089285714286,14.356071428571427,14.8325,12.714924242424242,13.437698412698412,16.0656,15.438333333333333,16.71,16.723,13.006666666666668,10.13,10.67,13.669140399855122,13.861868030924493,13.511504069493117,13.100319583894159,13.22289207031269,13.603321062130087,13.602683220806025,12.263414914562663,13.711632050665385,13.475466644460294,13.854451049670372,13.527975462662337,14.245698134199133,14.144785229437229,14.22656806220096,15.24300911778853,14.849263523894404,15.016170877307152,14.668329359317381,14.283592349439777,15.356107142857143
8,SD,11.419,11.945333333333332,12.063888888888883,13.017999999999999,11.626598639455786,11.052285714285713,13.402499999999998,13.404625,12.608708333333333,13.113814814814816,12.200333333333333,12.051970899470902,12.519648148148148,12.375714285714285,12.990148809523811,11.792083333333334,11.509125,12.9324,12.570619047619047,13.2933,11.853066666666667,11.9537,11.78586507936508,12.015539682539682,13.267222222222225,12.492,12.574976190476196,13.395444444444443,13.832111111111116,12.247333333333332,12.533055555555556,12.579055555555556,13.375888888888884,13.645,13.898333333333332,13.795,13.1875,14.079666666666665,14.271666666666668,12.911666666666667,13.595999999999998,7.409285714285714,8.561666666666667,11.800833333333333,15.02,8.832,12.582,11.265833333333333,13.905333333333333,15.453333333333333,15.66,15.8,14.22656806220096,15.24300911778853,14.849263523894404,15.016170877307152,14.668329359317381,14.283592349439777,15.356107142857143
9,WV,11.161072932135431,13.28725395447194,14.554880952380953,13.336428571428574,12.70440476190476,13.027142857142856,15.264464285714284,13.793333333333335,11.921428571428573,14.093333333333335,15.801999999999998,16.73,16.89166666666667,12.671052410094374,13.811645054959172,12.343333333333335,13.75888888888889,15.132625,13.618333333333334,13.815976190476196,13.169285714285715,13.8275,13.068968253968253,13.267142857142858,14.3459126984127,14.842857142857143,13.428095238095233,14.315,14.205,14.444,16.3175,15.26,13.668219727662182,13.649067709836464,12.85824021944022,13.549889987362025,13.235745763688477,13.473763380736692,13.669140399855122,13.861868030924493,13.511504069493117,13.100319583894159,13.22289207031269,13.603321062130087,13.602683220806025,12.263414914562663,13.711632050665385,13.475466644460294,13.854451049670372,13.527975462662337,14.245698134199133,14.144785229437229,14.22656806220096,15.24300911778853,14.849263523894404,15.016170877307152,14.668329359317381,14.283592349439777,15.356107142857143
