,State,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983
0,CO,61.81599119987757,61.24106978879707,60.87606060606061,62.13424242424243,61.58642880047641,61.63320175438596,61.363592503987235,59.63702976190477,60.76184090909091,64.00334928229665,61.32437200956937,66.31628123338648,63.738237639553425,64.74697588126159,62.99126984126985,64.58329889807163,62.83709595959596,60.87344877344877,60.93269444444444
1,SC,58.85454545454545,59.6,57.93636363636363,60.11818181818182,62.81818181818181,59.0,54.51818181818181,58.62727272727273,58.04545454545455,62.43636363636363,62.1,65.35454545454546,63.98181818181819,64.60000000000001,60.95454545454545,65.12727272727273,62.43636363636365,55.49090909090909,64.30000000000001
2,IA,61.81599119987757,61.24106978879707,60.87606060606061,62.13424242424243,61.58642880047641,61.63320175438596,61.363592503987235,59.63702976190477,60.76184090909091,64.00334928229665,61.32437200956937,66.31628123338648,63.738237639553425,64.74697588126159,62.99126984126985,64.58329889807163,62.83709595959596,60.87344877344877,60.93269444444444
3,NE,61.91447811447811,67.31212121212121,64.37878787878788,65.13636363636364,59.61818181818182,63.36969696969695,59.6151515151515,47.521428571428565,56.85227272727272,68.60227272727272,65.15681818181818,69.91590909090908,63.02121212121213,62.62121212121211,63.74848484848484,66.62121212121212,60.912323232323246,54.7969696969697,54.073737373737366
4,KY,61.81599119987757,61.24106978879707,60.87606060606061,62.13424242424243,61.58642880047641,61.63320175438596,61.363592503987235,59.63702976190477,60.76184090909091,64.00334928229665,61.32437200956937,66.31628123338648,63.738237639553425,64.74697588126159,62.99126984126985,64.58329889807163,62.83709595959596,60.87344877344877,60.93269444444444
5,MO,65.77272727272728,68.24545454545455,59.04090909090909,61.97272727272727,57.83316498316498,60.5,63.71818181818182,53.96401515151516,59.33636363636364,62.95454545454545,60.89090909090909,72.23181818181818,61.96363636363637,60.70454545454545,60.46818181818182,63.38636363636363,55.67272727272727,51.00909090909092,51.61818181818182
6,WI,61.81599119987757,61.24106978879707,60.87606060606061,62.13424242424243,61.58642880047641,61.63320175438596,61.363592503987235,59.63702976190477,60.76184090909091,64.00334928229665,61.32437200956937,66.31628123338648,63.738237639553425,64.74697588126159,62.99126984126985,64.58329889807163,62.83709595959596,60.87344877344877,60.93269444444444
7,GA,61.81599119987757,61.24106978879707,60.87606060606061,62.13424242424243,61.58642880047641,61.63320175438596,61.363592503987235,59.63702976190477,60.76184090909091,64.00334928229665,61.32437200956937,66.31628123338648,63.738237639553425,64.74697588126159,62.99126984126985,64.58329889807163,62.83709595959596,60.87344877344877,60.93269444444444
8,SD,61.81599119987757,61.24106978879707,60.87606060606061,62.13424242424243,61.58642880047641,61.63320175438596,61.363592503987235,59.63702976190477,60.76184090909091,64.00334928229665,61.32437200956937,66.31628123338648,63.738237639553425,64.74697588126159,62.99126984126985,64.58329889807163,62.83709595959596,60.87344877344877,60.93269444444444
9,WV,61.81599119987757,61.24106978879707,60.87606060606061,62.13424242424243,61.58642880047641,61.63320175438596,61.363592503987235,59.63702976190477,60.76184090909091,64.00334928229665,61.32437200956937,66.31628123338648,63.738237639553425,64.74697588126159,62.99126984126985,64.58329889807163,62.83709595959596,60.87344877344877,60.93269444444444
