,State,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,CO,241.0,246.3636363636364,200.9090909090909,222.83446712018142,224.54545454545453,238.44155844155847,238.28571428571428,225.77922077922082,236.35714285714286,237.4025974025974,240.25974025974025,236.63203463203462,231.5757575757576,226.8450216450216,234.45454545454547,221.2242424242424,229.81818181818184,220.9265993265993,225.0,247.9220779220779,227.05454545454543,230.969696969697,236.94545454545448,233.3333333333333,237.020202020202,257.0779220779221,242.58503401360542
1,SC,230.1287878787879,220.0,233.63636363636363,257.32323232323245,141.52479338842974,199.81185481185486,201.25874125874125,204.75524475524483,215.80419580419576,229.6083916083916,229.16083916083915,214.0909090909091,199.0909090909091,211.11111111111111,208.83116883116887,212.20779220779218,221.42857142857144,205.45454545454547,202.4675324675325,210.84415584415584,222.87662337662337,208.50649350649346,207.3506493506493,182.1298701298701,204.74025974025972,220.5194805194805,218.6734693877551
2,IA,230.1287878787879,223.9686608295631,225.53555967841683,245.9090909090909,243.80165289256198,260.6611570247934,263.55371900826447,249.17355371900825,262.5619834710744,271.1570247933885,260.6280991735537,244.38016528925618,230.80165289256198,255.7107438016529,257.93388429752065,248.1818181818182,255.22727272727275,244.74380165289256,246.19834710743805,267.83471074380157,266.4462809917355,254.87603305785117,229.9834710743802,207.0247933884297,236.3636363636364,256.3884297520661,259.978354978355
3,NE,277.8030303030303,246.3636363636364,267.0454545454545,256.06060606060606,256.2272727272727,253.4141414141414,246.46464646464645,243.83838383838383,261.1111111111111,246.50505050505046,248.939393939394,253.78787878787884,252.34848484848487,273.56060606060606,247.07070707070702,245.35353535353542,235.7070707070707,260.0505050505051,247.7272727272727,265.19480519480516,241.4191919191919,277.93939393939394,252.37373737373738,255.6969696969697,279.5050505050505,281.4040404040404,249.36507936507942
4,KY,240.0,228.1818181818182,244.54545454545453,225.15151515151518,257.27272727272725,258.40909090909093,244.84848484848484,249.3333333333333,269.6969696969697,268.1818181818182,255.7575757575757,268.1818181818182,262.12121212121207,250.0,258.1818181818182,253.3333333333333,254.84848484848487,233.939393939394,247.5757575757576,253.030303030303,261.5151515151515,266.06060606060606,261.2121212121212,250.0,250.60606060606065,244.24242424242425,228.09523809523807
5,MO,196.66666666666663,242.27272727272725,220.9090909090909,240.3402076318743,240.0,234.1875,254.9431818181818,258.21746880570413,238.0213903743316,225.29411764705884,260.0,239.84491978609626,225.45454545454547,254.35294117647058,232.51336898395718,227.7540106951872,225.9893048128342,232.0855614973262,241.2352941176471,248.3181818181818,239.62566844919783,238.3422459893048,252.97326203208561,233.4919786096256,235.06105169340458,255.50267379679147,231.66666666666669
6,WI,230.1287878787879,223.9686608295631,225.53555967841683,224.6097883597884,232.5019425019425,226.1722488038277,229.8086124401914,259.7607655502393,235.78947368421055,249.0909090909091,227.488038277512,213.03030303030303,242.32323232323242,249.49494949494945,234.22647527910684,202.44019138755985,206.55502392344496,243.8086124401914,233.30143540669857,227.00372142477403,241.26315789473682,251.29186602870809,236.12440191387563,204.5933014354067,222.66028708133967,221.48325358851682,226.07017543859646
7,GA,230.1287878787879,223.9686608295631,225.53555967841683,255.23148148148152,255.9090909090909,234.02597402597408,237.10454545454544,206.2181818181818,233.2272727272727,220.68636363636364,220.6136363636364,221.7272727272727,223.3181818181818,233.6818181818182,193.22727272727272,205.04545454545456,206.54545454545456,236.4090909090909,178.2272727272727,243.5363636363636,203.77272727272728,236.5,236.88636363636363,199.40454545454543,217.4227272727273,229.3181818181818,242.94047619047626
8,SD,230.1287878787879,223.9686608295631,225.53555967841683,253.17791005291005,282.3232323232324,269.030303030303,269.7575757575757,279.7575757575758,271.3939393939393,271.93939393939394,273.2242424242424,273.2272727272727,254.0404040404041,252.21060606060604,252.2242424242424,270.15151515151507,268.630303030303,267.1393939393939,254.24915824915828,279.03896103896113,277.6623376623377,277.5974025974026,260.7857142857143,254.98701298701297,272.4675324675324,271.6484848484848,247.3333333333333
9,WV,230.1287878787879,208.33333333333331,216.8636363636364,249.12698412698413,272.72727272727275,240.6818181818182,237.8409090909091,249.31818181818187,247.5,237.95454545454544,249.54545454545448,256.9318181818182,258.5227272727273,264.43181818181824,232.72727272727275,247.72727272727275,255.68181818181816,271.4204545454545,245.20202020202015,242.39772727272725,262.6136363636364,270.68181818181813,259.8863636363636,251.93181818181816,258.97727272727275,253.97727272727275,265.0
