,GeoName,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Alabama,6104.557608695652,6418.520652173915,6750.680434782607,6995.018478260868,7166.355434782608,7442.818478260871,7766.650000000003,8587.239130434782,9134.546739130436,9591.875000000002,9876.882608695649,10013.0,9717.35217391304,10134.76195652174,10575.326086956517,10870.86847826087,11241.679347826086,11389.026086956523,11685.451086956522,11925.48043478261,12309.246739130436,12928.300000000001,13319.036956521742
1,Alaska,1457.3228260869566,1352.1652173913049,1378.1913043478257,1500.733695652174,1594.7641304347824,1651.0663043478257,1776.1391304347828,1972.1989130434781,2265.1663043478256,2556.4500000000007,2840.9434782608696,3205.1347826086944,2851.917391304347,3052.1456521739133,3255.2010869565215,3331.5010869565226,3269.002173913043,3202.6369565217387,2872.7989130434785,2801.8652173913047,2927.659782608695,3073.5989130434773,3065.958695652173
2,Arizona,7808.595652173913,8438.085869565217,9163.694565217389,9672.509782608693,10038.663043478266,10493.154347826088,11297.435869565215,11937.956521739134,13216.341304347823,14341.42934782609,15172.991304347828,15009.448913043476,14140.863043478268,14422.35217391304,15030.153260869563,15658.807608695653,16027.363043478259,16646.643478260874,17499.902173913044,18357.998913043484,19346.031521739136,20592.996739130434,21747.552173913045
3,Arkansas,3595.9293478260875,3738.6250000000014,4009.3891304347817,4108.35,4202.505434782611,4404.1489130434775,4659.441304347824,5030.411956521736,5316.251086956521,5597.227173913043,5727.084782608695,5826.585869565219,5663.032608695654,5905.568478260871,6169.092391304348,6301.7641304347835,6627.150000000001,6841.941304347826,6922.413043478262,6997.005434782607,7226.776086956519,7523.672826086958,7706.035869565217
4,California,63693.25434782607,68138.69130434783,74265.21304347824,81414.4097826087,82113.16413043477,84813.5413043478,90350.11847826086,96296.69673913044,103669.94456521736,111037.21304347823,115877.28260869563,118403.99130434782,114003.7206521739,117282.7804347826,121883.69239130436,127875.82391304351,134894.71195652173,143158.36304347825,152739.99130434787,159473.8967391304,169544.95543478263,178374.34347826088,187804.5293478261
5,Colorado,8009.794565217392,8802.232608695653,9612.898913043475,10601.204347826086,10961.064130434785,11135.707608695655,11464.114130434782,11909.773913043478,12862.73369565218,13525.110869565216,14451.266304347826,15015.488043478257,14582.120652173926,15029.576086956527,15571.039130434783,16109.155434782622,16982.357608695653,17981.448913043478,18649.47608695653,19184.735869565222,20389.920652173925,21846.192391304354,23044.472826086956
6,Connecticut,8404.971739130438,8812.297826086951,9218.426086956524,10026.961956521742,10447.21847826087,10663.869565217394,10953.168478260872,12039.827173913041,12635.890217391301,13568.057608695648,14452.934782608692,14637.046739130437,14768.197767800883,14382.315217391299,14278.804347826086,14713.692391304345,14693.720652173912,14947.903260869562,15790.02391304348,16048.428260869565,16420.680434782607,16854.756521739127,17347.05652173913
7,Delaware,2032.1663043478259,2259.8021739130445,2468.208695652174,2654.983695652174,2846.510869565218,2771.4260869565223,2884.706521739131,3111.682608695651,3134.6021739130438,3314.1097826086966,3396.1532608695647,3281.314130434783,3446.0043478260873,3492.513043478262,3669.536956521739,3732.4065217391308,4213.2551309149885,4096.03804347826,4356.373913043478,4181.355434782607,4208.629347826086,4473.033695652175,4643.769565217389
10,Florida,23268.615217391314,24837.40108695653,26438.597826086963,28217.485869565226,29816.127173913035,31660.864130434784,33646.76304347827,36635.407608695634,40317.447826086966,43063.056521739134,44330.72391304348,43376.873913043484,41921.33478260868,42610.0260869565,43178.578260869566,44566.71630434782,46593.69239130433,48908.536956521755,52410.145652173895,55005.23043478262,57863.832608695666,61405.071739130464,64748.42282608697
11,Georgia,14408.855434782608,15776.080434782612,17246.197826086962,18176.547826086964,18806.652173913044,19318.829347826093,20070.08913043479,21466.688043478258,22767.239130434773,23623.83586956522,24334.71630434783,24156.078260869563,23805.45978260869,24300.897826086963,25137.128260869562,26128.71739130435,27149.54891304348,28696.24130434782,30495.027173913044,32100.857608695635,33720.623913043484,35766.17500000001,37078.24130434784
13,Hawaii,2360.7310422342243,2364.5289489537968,2472.681286668294,2624.0787865304806,2714.1614187539376,2853.6965590208333,3057.5892581846515,3353.1772426105863,3235.2054347826083,3436.96304347826,3590.725,4143.687418394586,4058.3662460617534,4229.2987199073905,3878.1499999999987,4057.697826086959,4188.802173913042,4290.2630434782595,4572.891304347827,5359.2939319470715,5617.946245757305,5191.365217391304,6013.865926412924
14,Idaho,1708.466304347826,1795.8760869565215,2000.8619565217402,2259.2826086956534,2183.4532608695654,2256.9804347826093,2348.838043478261,2553.0641304347837,2796.284782608697,2945.1847826086955,3108.6195652173915,3232.032608695653,3128.5217391304354,3231.421739130435,3317.9956521739123,3386.2695652173898,3579.9923913043476,3737.080434782607,3852.535869565218,4024.917391304345,4273.357608695653,4625.946739130435,4888.95108695652
15,Illinois,25094.384782608693,26340.495652173908,27697.791304347833,29281.226086956518,30026.088043478256,30644.747826086954,31633.505434782597,33497.336956521736,35163.27282608696,37242.21195652175,38762.45652173913,38674.29347826087,38539.79130434782,39516.64782608696,41275.15869565217,43441.5152173913,44083.0391304348,46034.202173913036,47807.125,48342.52282608696,49519.95,51999.814130434774,53298.049999999996
16,Indiana,10533.773913043471,11449.094565217394,11957.519565217392,12608.790217391304,12641.885869565222,13160.210869565217,13861.218478260866,14706.46195652174,15073.00108695652,15658.968478260877,16725.209782608697,16947.682608695653,16097.914130434774,17445.70326086957,17970.778260869567,18479.248913043473,19239.182608695643,20255.71630434783,20463.609782608688,20908.05326086957,21725.196739130442,22847.73260869566,23504.55217391304
17,Iowa,5016.047826086958,5110.067391304348,5294.782608695649,5632.688043478262,6071.2451144061115,5988.603260869562,6352.069565217393,7105.6,7415.6652173913035,7706.472826086955,8333.659782608693,8290.559782608701,8220.949999999997,8557.598913043481,8933.08152173913,9558.873913043477,9769.257608695652,10444.91956521739,10888.626086956521,10832.069565217394,10980.18260869565,11475.91630434783,11731.86195652174
18,Kansas,4404.966304347826,4621.914130434782,4815.248913043478,5068.608695652174,5241.489130434781,5373.811956521738,5575.57391304348,5748.651086956524,6116.929347826084,6660.631521739131,7263.227173913043,7561.111956521737,7330.771739130435,7531.86304347826,8029.21304347826,8350.929347826086,8436.682608695653,8812.642391304347,9131.773913043478,9469.29456521739,9762.806521739129,10246.56956521739,10505.911956521739
19,Kentucky,6333.144565217393,6625.87608695652,6965.06304347826,6814.483695652177,6996.063043478259,7283.714130434783,7568.590217391305,7983.120652173913,8468.379347826087,8988.607608695655,9132.379347826087,9302.636956521741,9137.33043478261,9692.666304347826,10028.861956521741,10447.450000000006,10842.348913043475,11069.146739130434,11455.376086956525,11646.275000000005,11923.698913043476,12371.846739130437,12821.107608695655
20,Louisiana,6932.646739130433,7132.394565217392,7483.0304347826095,7860.785869565219,8144.467391304346,8235.295652173914,9240.229347826087,10252.358695652176,12239.856521739133,12648.830434782605,12595.554347826086,13082.74891304348,12408.172826086953,13732.663043478258,13922.231521739133,14216.30434782609,13813.472826086962,14427.631521739135,13979.853260869566,13335.372826086952,14140.580434782616,15307.489130434773,15501.56304347826
21,Maine,1796.2663043478265,1880.8478260869558,2013.43152173913,2159.975000000001,2244.168478260868,2336.8576086956527,2426.3793478260877,2584.8195652173918,2661.629347826087,2781.21847826087,2855.5673913043465,2904.1793478260865,2942.219565217391,3014.0586956521747,3029.017391304348,3092.4163043478266,3137.7119565217386,3261.4815217391297,3362.3250000000003,3490.00652173913,4237.466897931217,3779.939130434784,4652.271361195536
22,Maryland,8925.05543478261,9520.157608695648,10099.601086956522,10749.959782608694,11552.65326086957,12247.898913043478,12801.605434782605,13833.858695652174,14940.826086956527,15682.226086956525,16119.585869565219,16603.156521739133,16956.92826086957,17747.530434782617,18366.883695652174,18741.821739130442,19088.795652173918,19786.891304347828,20808.443478260877,21834.488043478268,22514.53369565218,23161.323913043467,24002.222826086956
23,Massachusetts,14222.780434782606,14961.276086956519,15896.043478260877,17411.73804347826,17832.583695652167,18178.040217391306,18929.190217391304,19775.413043478267,20674.986956521745,21612.738043478264,22761.741304347826,23167.063043478258,23370.89456521739,24600.0652173913,25497.01956521739,26725.91521739131,27341.649999999998,28394.57608695652,30238.605434782607,31223.3206521739,32467.51847826088,34326.66086956523,35903.29565217392
24,Michigan,18311.791304347833,19115.416304347826,20742.3695652174,21478.10652173913,21160.042391304345,22049.992391304342,22688.017391304344,23092.766304347835,23805.663043478256,23851.680434782615,24396.782608695656,23096.184782608696,21665.406521739136,23101.932608695646,24106.451086956517,25251.00326086957,26232.75326086958,27135.2847826087,28665.11195652174,29652.104347826073,30384.311956521735,31599.352173913034,32501.28369565216
26,Minnesota,9351.122826086956,9984.901086956517,10460.927173913042,11416.5,11621.031521739129,12073.657608695657,12826.383695652172,13753.833695652173,14533.468478260873,14940.710869565213,15472.904347826088,15810.04673913043,15557.23913043478,16314.296739130436,17153.960869565206,17824.760869565216,18563.892391304355,19438.354347826087,20029.64673913043,20548.96521739131,21270.239130434784,22400.022826086955,23080.561956521742
27,Mississippi,3428.648913043479,3557.996739130435,3717.135869565218,3797.1880434782615,3880.0902173913055,3971.0108695652166,4251.934782608696,4457.590217391304,4681.297826086959,4976.0,5266.055434782609,5599.808695652176,5355.716304347829,5479.148913043476,5553.826086956522,5769.713043478259,5855.154347826089,5979.471739130434,6092.7413043478255,6146.883695652173,6335.973913043482,6599.783695652173,6721.408695652172
28,Missouri,9753.507608695654,10128.375000000002,10593.130434782606,11101.968478260871,11311.518478260869,11669.8347826087,12177.804347826084,12778.44891304348,13333.499999999998,13760.16847826087,14186.380434782608,14863.298913043478,14831.233695652185,15256.060869565215,15357.058695652175,15953.339130434788,16449.675,16861.64347826086,17469.40652173913,17652.680434782607,18096.567391304347,18846.607608695656,19468.57608695653
29,Montana,1094.011956521739,1159.1804347826087,1175.025,1232.8239130434783,1288.0847826086951,1345.8717391304351,1448.8369565217392,1582.6499999999999,1738.4010869565216,1880.178260869565,2069.1880434782615,2105.0380434782614,2045.0695652173908,2177.9,2342.031521739131,2425.2923913043464,2492.6586956521737,2580.0293478260865,2676.9989130434783,2616.7108695652178,2757.760869565217,2933.1347826086953,3062.4130434782614
30,Nebraska,2935.139130434783,3044.8945652173907,3151.3293478260866,3324.542391304349,3500.0293478260846,3597.65,3892.7934782608695,4119.248913043477,4362.16413043478,4606.998913043479,4914.145652173913,5048.961956521741,5128.043478260871,5391.217391304349,6425.818549936989,6610.801799127603,6342.965217391304,7187.522305930141,7456.862543592404,7524.754801512288,7175.472826086955,7401.773913043483,7721.846739130432
31,Nevada,3478.633695652175,3760.218478260871,4144.924999999998,4463.305434782608,4684.221739130435,4950.304347826089,5260.330434782609,6019.388043478261,6806.3326086956495,7395.551086956521,7663.572826086955,7546.755434782609,7043.70108695652,7223.257608695649,7433.8673913043485,7542.006521739124,7715.111956521739,7926.422826086957,8456.833695652176,8843.770652173915,9335.470652173914,9983.611956521738,10521.297826086957
33,New Hampshire,2303.1043478260876,2437.091304347826,2489.576086956522,2686.298913043478,2746.860869565217,2869.1760869565214,3028.6771739130427,3186.343478260868,3307.1760869565223,3490.4880434782594,3571.9826086956514,3571.973913043478,4100.853202583492,4254.919372081303,3866.4206521739143,4004.24456521739,4124.614130434783,4288.336956521738,4520.367391304347,4690.634782608694,4830.8771739130425,5060.98695652174,5244.2086956521725
34,New Jersey,18460.409782608695,19126.550000000003,20147.39673913043,21643.706521739132,22291.341304347825,23096.11195652173,24072.45869565217,25046.230434782618,26056.93260869564,27525.28260869565,28457.068478260888,29379.8152173913,28740.094565217394,29315.510869565212,29569.931521739134,30819.253260869562,31786.652173913055,32220.569565217407,33645.17391304348,34516.10869565218,35001.10978260869,36345.929347826095,37612.95652173914
35,New Mexico,3017.1586956521737,2846.5032608695633,2997.3956521739137,3095.1228260869557,3085.6,3174.9076086956516,3471.640217391305,3894.1380434782604,4099.515217391306,4297.695652173914,4464.634782608695,4629.392391304347,4532.484782608697,4647.700000000002,4804.864130434786,4849.076086956522,4891.392391304349,5142.082608695652,5048.544565217393,5022.235869565219,5216.902173913042,5554.31304347826,5847.736956521737
36,New York,42850.60869565218,44346.54456521741,47173.551086956526,49731.16630434783,52078.76086956523,52579.23586956523,53494.896739130454,56378.50869565217,60025.508695652185,63498.248913043484,65764.99130434782,64991.0836956522,68139.68260869567,71895.36847826088,73381.6934782609,78810.22065217388,80934.22826086955,84897.51195652176,88544.91086956524,92376.2543478261,96171.02826086954,101747.5347826087,105791.18260869564
37,North Carolina,14192.190217391297,14911.516304347815,16038.983695652174,16801.430434782607,17395.816304347823,17939.972826086952,18573.444565217385,19563.81739130435,20973.16521739131,22967.84239130436,23685.98478260869,24630.619565217392,24287.889130434785,24792.471739130422,25476.451086956517,26236.922826086964,27277.144565217382,28504.596739130433,30140.048913043483,31156.856521739133,32368.518478260867,33914.47934782609,35313.656521739125
38,North Dakota,894.490217391304,959.678260869565,966.8521739130432,1023.0641304347826,1083.0282608695647,1156.9967391304351,1267.5239130434786,1326.4565217391305,1408.545652173913,1512.6989130434781,1673.494565217391,1871.5586956521731,1866.3923913043473,2065.6869565217394,2417.510869565219,3052.5173913043486,3177.0402173913026,3472.2978260869563,3222.49347826087,2951.894565217392,3078.7445652173933,3315.0750000000016,3356.852173913044
39,Ohio,20873.12500000001,22007.096739130433,22832.409782608687,23710.106521739133,23873.674999999996,24817.781521739136,25579.55434782609,26862.808695652162,28129.570652173912,28806.003260869562,29593.820652173912,29524.875000000004,28546.752173913035,29712.432608695646,31503.120652173908,32496.749999999996,33724.8293478261,35797.37499999999,36731.82826086957,37415.90434782609,38642.46413043478,40705.01195652175,41878.43152173913
