,State,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,AK,42339.0,41238.0,40788.0,39567.0,41020.0,42916.0,42133.0,43752.0,45065.0,48538.0,51144.0,50891.0,55911.0,54219.0,54723.0,57718.0,54748.0,53481.0,54015.0,53289.0,52826.0,52929.0,53255.0
1,AL,144457.0,149613.0,155172.0,157698.0,157138.0,161258.0,165250.0,175917.0,181871.0,185337.0,186499.0,185281.0,178893.0,183014.0,185667.0,186554.0,188814.0,187568.0,189429.0,191523.0,193693.0,198054.0,200829.0
2,AR,82760.0,84791.0,89340.0,90224.0,90081.0,92989.0,96714.0,101194.0,104759.0,107084.0,106272.0,105923.0,102514.0,105224.0,107321.0,107719.0,110301.0,111730.0,112939.0,113490.0,114951.0,116699.0,117447.0
3,AZ,168372.0,182984.0,198002.0,207775.0,212648.0,219370.0,233339.0,243193.0,263047.0,277189.0,284812.0,277358.0,254907.0,257397.0,263144.0,268068.0,269967.0,274113.0,281936.0,291260.0,302118.0,314016.0,323598.0
4,CA,1379722.0,1470543.0,1583231.0,1709491.0,1707065.0,1747200.0,1829296.0,1902550.0,1988736.0,2072274.0,2103015.0,2110596.0,2025633.0,2056990.0,2090837.0,2144090.0,2219610.0,2316331.0,2437367.0,2519134.0,2628315.0,2708967.0,2800505.0
5,CO,184492.0,201035.0,216139.0,232832.0,236311.0,236869.0,238844.0,241225.0,251267.0,256152.0,264664.0,267965.0,262463.0,265319.0,268553.0,273594.0,282606.0,294812.0,308899.0,315793.0,328510.0,342866.0,356280.0
6,CT,190668.0,196175.0,202264.0,216293.0,219932.0,219957.0,222125.0,236699.0,242380.0,251630.0,260993.0,259385.0,248612.0,247877.0,242323.0,244114.0,238621.0,237700.0,245304.0,245966.0,248077.0,249043.0,251330.0
8,DE,45803.0,50115.0,53942.0,56266.0,59014.0,56897.0,57916.0,60546.0,59822.0,61365.0,61229.0,58638.0,60847.0,60577.0,62501.0,61867.0,59496.0,64124.0,66527.0,62889.0,61851.0,63163.0,64319.0
9,FL,560807.0,588868.0,614442.0,641249.0,658349.0,684995.0,714958.0,757581.0,806805.0,834434.0,835637.0,803607.0,759432.0,766654.0,763484.0,768723.0,784238.0,806029.0,842269.0,870963.0,901904.0,936580.0,963256.0
10,GA,329107.0,353293.0,378237.0,391210.0,395041.0,399790.0,410866.0,429302.0,445803.0,451010.0,452707.0,442300.0,425156.0,430702.0,438060.0,443566.0,449796.0,465138.0,484378.0,500909.0,519453.0,538731.0,547423.0
