,State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,AK,61433.0,72173.0,78812.0,80788.0,85067.0,87782.0,102696.0,115172.0,122533.0,156631.0,182039.0,200962.0,214377.0,196965.0,201488.0,232172.0,254649.0,293489.0,324010.0,299774.0,295745.0,279661.0,409057.0,437627.0,482889.0,474429.0,504252.0,499211.0,521398.0,576192.0,584082.0,602660.0,627237.0,623613.0,623042.0,704062.0,718749.0,708741.0,723206.0,725331.0,742061.0,735745.0,732909.0,733471.0,775019.0,797723.0,746457.0,723227.0,650500.0,639557.0,640590.0,640731.0,630464.0,597975.0,594764.0,611996.0,592550.0,600982.0,603064.0,615132.0
1,AL,866594.0,831311.0,881239.0,913155.0,979212.0,1044616.0,1088204.0,1138573.0,1246669.0,1343138.0,1393497.0,1384940.0,1478039.0,1527209.0,1547657.0,1515130.0,1551806.0,1623443.0,1638359.0,1648767.0,1644874.0,1604035.0,1499050.0,1445946.0,1544598.0,1519675.0,1504733.0,1582639.0,1651726.0,1683173.0,1659374.0,1675029.0,1742421.0,1789235.0,1879952.0,1955073.0,1984926.0,1956297.0,1997696.0,2040647.0,2093922.0,1898857.0,1960152.0,1952741.0,2065880.0,2065572.0,2083658.0,2086092.0,2002980.0,1800096.0,1939211.0,1913489.0,1887539.0,1928525.0,1964943.0,1914197.0,1920148.0,1901427.0,1953765.0,1922823.0
2,AR,425974.0,431586.0,456788.0,484672.0,527123.0,528740.0,566110.0,596737.0,635396.0,681052.0,708904.0,700736.0,744634.0,820083.0,798333.0,785659.0,840830.0,886292.0,887040.0,872687.0,859238.0,821800.0,792462.0,796587.0,799005.0,789513.0,759564.0,736170.0,817720.0,882855.0,849198.0,837103.0,865939.0,939962.0,971500.0,1023242.0,1042511.0,1061415.0,1081796.0,1100812.0,1141593.0,1096056.0,1118366.0,1100644.0,1091797.0,1116515.0,1113117.0,1128983.0,1110210.0,1041617.0,1126614.0,1128390.0,1072394.0,1103707.0,1119467.0,1060614.0,1052290.0,1056516.0,1115392.0,1094729.0
3,AZ,282993.0,304835.0,324913.0,348302.0,369663.0,375200.0,403460.0,414501.0,456156.0,498192.0,520401.0,554212.0,616452.0,670117.0,676309.0,660004.0,691884.0,738889.0,747985.0,786479.0,754491.0,787920.0,746494.0,758000.0,802626.0,843102.0,852973.0,865824.0,906415.0,943115.0,950195.0,955235.0,985332.0,1000843.0,1056612.0,1095057.0,1163696.0,1187416.0,1240977.0,1285004.0,1332442.0,1341725.0,1334303.0,1354531.0,1404379.0,1443202.0,1491843.0,1498161.0,1465556.0,1380048.0,1428842.0,1470742.0,1439496.0,1458318.0,1468498.0,1490141.0,1520608.0,1527349.0,1537185.0,1550215.0
4,CA,3449919.0,3609108.0,3724117.0,3923736.0,4219633.0,4385719.0,4645217.0,4841003.0,5115122.0,5356783.0,5499139.0,5747656.0,5872011.0,6047069.0,5816324.0,6032845.0,6186312.0,6361466.0,6472696.0,6727621.0,6540472.0,6332205.0,6076050.0,6092316.0,6533180.0,6601489.0,6501121.0,6938475.0,7143783.0,7420327.0,7439345.0,7326350.0,7307644.0,7138310.0,7273001.0,7295592.0,7405341.0,7528234.0,7806353.0,7801839.0,7893213.0,7918527.0,7963233.0,7848432.0,8216696.0,8151626.0,8246839.0,8260684.0,8075200.0,7774769.0,7656711.0,7659022.0,7453762.0,7538821.0,7457136.0,7535674.0,7662178.0,7782184.0,7880187.0,7802260.0
5,CO,424556.0,461749.0,468348.0,465929.0,498054.0,508687.0,531922.0,555487.0,622770.0,648877.0,677623.0,691909.0,756325.0,801930.0,787106.0,784438.0,818799.0,835096.0,850246.0,856031.0,838088.0,816311.0,833092.0,831430.0,867717.0,869749.0,859444.0,866162.0,899364.0,915127.0,944300.0,994850.0,995693.0,1062928.0,1065404.0,1091927.0,1142176.0,1138201.0,1184705.0,1206092.0,1268642.0,1369867.0,1370535.0,1372163.0,1399562.0,1435704.0,1451337.0,1483848.0,1487459.0,1465463.0,1520724.0,1482132.0,1449604.0,1481200.0,1497768.0,1504228.0,1473860.0,1480979.0,1530859.0,1576477.0
6,CT,507999.0,518130.0,536644.0,545224.0,563507.0,569505.0,609289.0,624114.0,648770.0,667657.0,693930.0,682588.0,717611.0,743064.0,714126.0,689513.0,742109.0,748110.0,768737.0,755692.0,728226.0,695795.0,696739.0,688418.0,715073.0,723070.0,739744.0,763522.0,795471.0,811311.0,775896.0,776710.0,810197.0,795996.0,800069.0,782296.0,820990.0,811129.0,791157.0,834267.0,844550.0,829136.0,815224.0,894334.0,907100.0,875720.0,819794.0,842121.0,774596.0,766459.0,770893.0,744433.0,729271.0,747660.0,752569.0,757383.0,725276.0,729157.0,756938.0,736036.0
8,DE,156406.0,150335.0,161918.0,172781.0,173156.0,184269.0,192519.0,187575.0,206901.0,219454.0,219722.0,222353.0,232526.0,246392.0,228887.0,218797.0,229178.0,227666.0,226261.0,244675.0,242340.0,195218.0,186552.0,197917.0,220487.0,214953.0,217072.0,227480.0,234133.0,241618.0,251796.0,255250.0,261314.0,266225.0,261444.0,262936.0,273242.0,274786.0,272892.0,286222.0,305695.0,292032.0,308594.0,303732.0,289192.0,299825.0,287816.0,293724.0,291505.0,259458.0,256515.0,277371.0,277310.0,276458.0,277183.0,281784.0,279071.0,277278.0,298329.0,296506.0
9,FL,809559.0,848703.0,949391.0,994376.0,1049548.0,1111530.0,1180231.0,1223737.0,1349462.0,1453793.0,1577450.0,1674133.0,1804005.0,1995319.0,1929045.0,1939837.0,2062020.0,2217477.0,2327321.0,2422499.0,2511917.0,2482043.0,2402137.0,2457345.0,2551259.0,2698976.0,2781956.0,2870556.0,3042056.0,3248530.0,3289151.0,3249677.0,3316472.0,3346956.0,3467465.0,3615069.0,3700617.0,3726429.0,3859240.0,3922071.0,4076022.0,4060590.0,4177962.0,4195567.0,4347431.0,4419873.0,4472498.0,4417304.0,4264866.0,4115274.0,4323763.0,4175877.0,4074454.0,4133132.0,4178123.0,4329841.0,4369245.0,4349501.0,4445760.0,4376356.0
10,GA,701005.0,705734.0,764902.0,802968.0,857040.0,917174.0,997589.0,1062811.0,1154038.0,1228189.0,1280820.0,1348865.0,1435584.0,1555110.0,1495568.0,1489772.0,1552529.0,1628701.0,1683045.0,1729590.0,1717236.0,1694324.0,1679709.0,1749228.0,1875179.0,1931023.0,1953662.0,2049053.0,2138263.0,2219567.0,2216211.0,2205008.0,2250675.0,2403877.0,2423951.0,2607462.0,2767321.0,2744916.0,2783049.0,2803980.0,2920928.0,2818753.0,2936048.0,2956845.0,3097207.0,3110770.0,3087831.0,3078378.0,2946558.0,2913908.0,3157029.0,3042171.0,2854691.0,2914969.0,2985778.0,2985813.0,2959871.0,2933159.0,3010509.0,2963080.0
