,State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,AK,229.0,238.0,246.0,256.0,263.0,271.0,271.0,278.0,285.0,296.0,304.0,316.0,324.0,331.0,341.0,376.0,401.0,403.0,405.0,403.0,405.0,418.0,450.0,488.0,514.0,532.0,544.0,539.0,542.0,547.0,553.0,570.0,589.0,599.0,603.0,604.0,609.0,613.0,620.0,625.0,628.0,634.0,642.0,648.0,659.0,667.0,675.0,680.0,687.0,699.0,714.0,722.0,731.0,738.0,737.0,738.0,743.0,741.0,737.0,734.0
1,AL,3274.0,3316.0,3323.0,3358.0,3395.0,3443.0,3464.0,3458.0,3446.0,3440.0,3451.0,3497.0,3539.0,3580.0,3626.0,3679.0,3735.0,3780.0,3832.0,3866.0,3900.0,3919.0,3925.0,3934.0,3952.0,3973.0,3992.0,4015.0,4024.0,4030.0,4050.0,4099.0,4154.0,4214.0,4260.0,4297.0,4331.0,4368.0,4405.0,4430.0,4452.0,4468.0,4480.0,4503.0,4531.0,4570.0,4629.0,4673.0,4718.0,4758.0,4786.0,4800.0,4817.0,4832.0,4844.0,4855.0,4867.0,4878.0,4892.0,4908.0
2,AR,1789.0,1806.0,1853.0,1875.0,1897.0,1894.0,1899.0,1901.0,1902.0,1913.0,1932.0,1972.0,2019.0,2059.0,2101.0,2160.0,2170.0,2209.0,2243.0,2271.0,2289.0,2293.0,2294.0,2306.0,2320.0,2327.0,2332.0,2342.0,2343.0,2346.0,2357.0,2383.0,2416.0,2456.0,2494.0,2535.0,2572.0,2601.0,2626.0,2652.0,2679.0,2692.0,2706.0,2725.0,2750.0,2781.0,2822.0,2849.0,2875.0,2897.0,2922.0,2941.0,2953.0,2960.0,2969.0,2980.0,2992.0,3004.0,3012.0,3021.0
3,AZ,1321.0,1407.0,1471.0,1521.0,1556.0,1584.0,1614.0,1646.0,1682.0,1737.0,1792.0,1896.0,2008.0,2124.0,2223.0,2285.0,2346.0,2425.0,2515.0,2636.0,2738.0,2810.0,2890.0,2969.0,3067.0,3184.0,3308.0,3437.0,3535.0,3622.0,3684.0,3789.0,3916.0,4065.0,4245.0,4432.0,4587.0,4737.0,4883.0,5024.0,5161.0,5273.0,5396.0,5510.0,5652.0,5839.0,6029.0,6168.0,6280.0,6343.0,6407.0,6473.0,6556.0,6635.0,6733.0,6833.0,6945.0,7048.0,7164.0,7292.0
4,CA,15870.0,16497.0,17072.0,17668.0,18151.0,18585.0,18858.0,19176.0,19394.0,19711.0,20007.0,20346.0,20585.0,20869.0,21174.0,21538.0,21936.0,22352.0,22836.0,23257.0,23801.0,24286.0,24820.0,25360.0,25844.0,26441.0,27102.0,27777.0,28464.0,29218.0,29960.0,30471.0,30975.0,31275.0,31484.0,31697.0,32019.0,32486.0,32988.0,33499.0,33988.0,34479.0,34872.0,35253.0,35575.0,35828.0,36021.0,36250.0,36604.0,36961.0,37320.0,37636.0,37945.0,38254.0,38587.0,38904.0,39149.0,39338.0,39437.0,39438.0
5,CO,1769.0,1844.0,1899.0,1936.0,1970.0,1985.0,2007.0,2053.0,2120.0,2166.0,2223.0,2304.0,2405.0,2496.0,2541.0,2586.0,2632.0,2696.0,2767.0,2849.0,2909.0,2978.0,3062.0,3134.0,3170.0,3209.0,3237.0,3260.0,3262.0,3276.0,3308.0,3387.0,3496.0,3614.0,3724.0,3827.0,3920.0,4018.0,4117.0,4226.0,4327.0,4426.0,4490.0,4529.0,4575.0,4632.0,4720.0,4804.0,4890.0,4972.0,5048.0,5122.0,5194.0,5271.0,5353.0,5454.0,5544.0,5617.0,5697.0,5758.0
6,CT,2544.0,2586.0,2647.0,2727.0,2798.0,2857.0,2903.0,2935.0,2964.0,3000.0,3041.0,3061.0,3069.0,3068.0,3074.0,3082.0,3083.0,3086.0,3092.0,3096.0,3113.0,3129.0,3139.0,3162.0,3180.0,3201.0,3224.0,3247.0,3272.0,3283.0,3292.0,3303.0,3301.0,3309.0,3316.0,3324.0,3337.0,3349.0,3365.0,3386.0,3412.0,3433.0,3459.0,3484.0,3496.0,3507.0,3517.0,3527.0,3546.0,3562.0,3579.0,3589.0,3595.0,3596.0,3596.0,3589.0,3580.0,3575.0,3575.0,3566.0
8,DE,449.0,461.0,469.0,483.0,497.0,507.0,516.0,525.0,534.0,540.0,551.0,565.0,573.0,578.0,581.0,587.0,590.0,592.0,595.0,595.0,595.0,596.0,599.0,605.0,612.0,618.0,628.0,637.0,648.0,658.0,670.0,683.0,695.0,706.0,718.0,730.0,741.0,751.0,763.0,775.0,786.0,796.0,806.0,818.0,831.0,845.0,859.0,872.0,884.0,892.0,900.0,908.0,916.0,924.0,933.0,942.0,950.0,958.0,967.0,977.0
9,FL,5004.0,5243.0,5458.0,5628.0,5781.0,5954.0,6104.0,6242.0,6433.0,6641.0,6848.0,7158.0,7511.0,7914.0,8299.0,8518.0,8667.0,8856.0,9102.0,9426.0,9840.0,10193.0,10471.0,10750.0,11040.0,11351.0,11668.0,11997.0,12306.0,12638.0,13033.0,13370.0,13651.0,13927.0,14239.0,14538.0,14853.0,15186.0,15487.0,15759.0,16048.0,16357.0,16689.0,17004.0,17415.0,17842.0,18167.0,18368.0,18527.0,18653.0,18846.0,19056.0,19302.0,19552.0,19854.0,20219.0,20627.0,20977.0,21255.0,21492.0
10,GA,3956.0,4015.0,4086.0,4172.0,4258.0,4332.0,4379.0,4408.0,4482.0,4551.0,4607.0,4712.0,4809.0,4910.0,4999.0,5064.0,5133.0,5220.0,5296.0,5401.0,5486.0,5568.0,5650.0,5728.0,5835.0,5963.0,6085.0,6208.0,6316.0,6411.0,6513.0,6653.0,6817.0,6978.0,7157.0,7328.0,7501.0,7685.0,7864.0,8046.0,8227.0,8377.0,8508.0,8623.0,8769.0,8926.0,9156.0,9350.0,9505.0,9621.0,9712.0,9804.0,9904.0,9976.0,10071.0,10183.0,10308.0,10417.0,10519.0,10628.0
