,Unnamed: 0,STATION,LATITUDE,LONGITUDE,ELEVATION,NAME,DP01,DP10,DP1X,DSND,DSNW,EMSD,EMSN,EMXP,PRCP,SNOW,CDSD,CLDD,DT00,DT32,DX32,DX70,DX90,DYFG,DYTS,EMNT,EMXT,HDSD,HN01,HN02,HN03,HTDD,HX01,HX02,HX03,LN01,LN02,LN03,LX01,LX02,LX03,MN01,MN02,MN03,MX01,MX02,MX03,TAVG,TMAX,TMIN,WDFG,WSFG,EVAP,MNPN,MXPN,WDMV,AWND,DYHF,TSUN,WDF2,WDF5,WSF2,WSF5
0,1960,US1DEKN0001,,,,"FELTON 3.6 NE, DE US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1961,US1DEKN0001,,,,"FELTON 3.6 NE, DE US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1962,US1DEKN0001,,,,"FELTON 3.6 NE, DE US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1963,US1DEKN0001,,,,"FELTON 3.6 NE, DE US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1964,US1DEKN0001,,,,"FELTON 3.6 NE, DE US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1965,US1DEKN0001,,,,"FELTON 3.6 NE, DE US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1966,US1DEKN0001,,,,"FELTON 3.6 NE, DE US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1967,US1DEKN0001,,,,"FELTON 3.6 NE, DE US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1968,US1DEKN0001,,,,"FELTON 3.6 NE, DE US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1969,US1DEKN0001,,,,"FELTON 3.6 NE, DE US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1970,US1DEKN0001,,,,"FELTON 3.6 NE, DE US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1971,US1DEKN0001,,,,"FELTON 3.6 NE, DE US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1972,US1DEKN0001,,,,"FELTON 3.6 NE, DE US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1973,US1DEKN0001,,,,"FELTON 3.6 NE, DE US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1974,US1DEKN0001,,,,"FELTON 3.6 NE, DE US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1975,US1DEKN0001,,,,"FELTON 3.6 NE, DE US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1976,US1DEKN0001,,,,"FELTON 3.6 NE, DE US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1977,US1DEKN0001,,,,"FELTON 3.6 NE, DE US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1978,US1DEKN0001,,,,"FELTON 3.6 NE, DE US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1979,US1DEKN0001,,,,"FELTON 3.6 NE, DE US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1980,US1DEKN0001,,,,"FELTON 3.6 NE, DE US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1981,US1DEKN0001,,,,"FELTON 3.6 NE, DE US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1982,US1DEKN0001,,,,"FELTON 3.6 NE, DE US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1983,US1DEKN0001,,,,"FELTON 3.6 NE, DE US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1984,US1DEKN0001,,,,"FELTON 3.6 NE, DE US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1985,US1DEKN0001,,,,"FELTON 3.6 NE, DE US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1986,US1DEKN0001,,,,"FELTON 3.6 NE, DE US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
