"Real Gross Domestic Product (GDP), million chained (2012) dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,42339,41238,40788,39567,41020,42916,42133,43752,45065,48538,51144,50891,55911,54219,54723,57718,54748,53481,54015,53289,52826,52929,53255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,144457,149613,155172,157698,157138,161258,165250,175917,181871,185337,186499,185281,178893,183014,185667,186554,188814,187568,189429,191523,193693,198054,200829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,82760,84791,89340,90224,90081,92989,96714,101194,104759,107084,106272,105923,102514,105224,107321,107719,110301,111730,112939,113490,114951,116699,117447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,168372,182984,198002,207775,212648,219370,233339,243193,263047,277189,284812,277358,254907,257397,263144,268068,269967,274113,281936,291260,302118,314016,323598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,1379722,1470543,1583231,1709491,1707065,1747200,1829296,1902550,1988736,2072274,2103015,2110596,2025633,2056990,2090837,2144090,2219610,2316331,2437367,2519134,2628315,2708967,2800505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,184492,201035,216139,232832,236311,236869,238844,241225,251267,256152,264664,267965,262463,265319,268553,273594,282606,294812,308899,315793,328510,342866,356280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,190668,196175,202264,216293,219932,219957,222125,236699,242380,251630,260993,259385,248612,247877,242323,244114,238621,237700,245304,245966,248077,249043,251330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,79690,81056,84548,85186,88444,91221,93138,97904,100009,100316,103031,106806,106376,109941,111930,112610,112811,114815,117011,119420,120211,122662,123929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,45803,50115,53942,56266,59014,56897,57916,60546,59822,61365,61229,58638,60847,60577,62501,61867,59496,64124,66527,62889,61851,63163,64319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,560807,588868,614442,641249,658349,684995,714958,757581,806805,834434,835637,803607,759432,766654,763484,768723,784238,806029,842269,870963,901904,936580,963256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,329107,353293,378237,391210,395041,399790,410866,429302,445803,451010,452707,442300,425156,430702,438060,443566,449796,465138,484378,500909,519453,538731,547423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
