"Years","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Vehicle registrations (Items)","155796219",,,,,,,,,,"188797914",,,,,,,,"211616553",,"221475173",,,,,"241193974",,"247264605","248164738","246282886","242060545","253215681","253639386","255876822","260350938","263610219","268799083","272480899","273602100","276491174"
"    By ownership",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"        Private and Commercial  (Items)","153265069",,,,,,,,,,"185540912",,,,,,,,"207840942",,"217566789",,,,,"237139650",,"243094356","243952583","242058344","237783720","249478143","249886790","251862675","256234375","259538340","264621135","268309274","109813571","272402478"
"        Publicly Owned (Items)","2531150",,,,,,,,,,"3257002",,,,,,,,"3775611",,"3908384",,,,,"4054324",,"4170249","4212155","4224542","4276825","3737538","3752596","4014147","4116563","4071879","4177948","4171625","1428561","4088695.997"
"    By vehicle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"        Automobiles (Items)","121600843",,,,,,,,,,"133700497",,,,,,,,,,"133621420",,,,,"136568083",,"135932930","137079843","134879600","130892240","125656528","111289906","113676345","113898845","112864228","112961266",,"111242132","108547710"
"        Buses (Items)","528789",,,,,,,,,,"626987",,,,,,,,,,"746125",,,,,"807053",,"834436","843308","841993","846051","666064","764509","864549","872027","888907","976161",,"992152.1373367312","995032.957"
"        Trucks (Items)","33666587",,,,,,,,,,"54470430",,,,,,,,,,"87107628",,,,,"103818838",,"110497239","110241587","110561293","110322254","118455587","133130032","132931241","137162349","141256148","146182276",,"152701630.85966885","158352117.2"
"        Motorcycles (Items)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"7138476","7752926","7883446","7962781","8437502","8454939","8404687","8417718","8600936","8679380","8715204","8666185.126723733","8596313.885"
"    By State",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"        Alabama (Items)",,,,,,,,,,,,,,,,,,,"3858928",,,,,,,,,"4677771","4729791","4610845","4653838","4811943","4844632","4787219","5366844","5400419","5468301","5056073","5300199.15406757","5288208.452"
"        Alaska (Items)",,,,,,,,,,,,,,,,,,,"545865",,,,,,,,,"680141","690756","695282","710444","757954","775245","785825","800433","815122","794614","804505","803683.5591515782","795274.6908"
"        Arizona (Items)",,,,,,,,,,,,,,,,,,,"2944016",,,,,,,,,"4372035","4373232","4357634","4320010","5109254","5163015","5381050","5588014","5630647","5786891","5964434","5806312.674649289","5982559.286"
"        Arkansas (Items)",,,,,,,,,,,,,,,,,,,"1754215",,,,,,,,,"2010301","2040988","2037401","2073411","2448310","2479915","2417959","2778660","2772214","2808138","2833697","2817145.2962227967","2902110.817"
"        California (Items)",,,,,,,,,,,,,,,,,,,"25600250",,,,,,,,,"33935386","33483061","34433206","31014128","29176697","27702150","28074977","28686646","29424012","30221033","30795141","31022327.877328876","31247270.05"
"        Colorado (Items)",,,,,,,,,,,,,,,,,,,"3466094",,,,,,,,,"1707139","1618219","1429474","4180298","4332251","4561896","4683410","4820622","5005172","5116341","5259960","5356017.861837947","5412403.746"
"        Connecticut (Items)",,,,,,,,,,,,,,,,,,,"2700633",,,,,,,,,"3047330","3093744","3071575","3082011","2828794","2706459","2855538","2866460","2841764","2841842","2826350","2879801.5495853187","2878547.943"
"        Delaware (Items)",,,,,,,,,,,,,,,,,,,"616492",,,,,,,,,"851223","867744","843357","799012","929415","943642","947442","957669","964316","1003840","970733","1008467.635354389","1016927.475"
"        Florida (Items)",,,,,,,,,,,,,,,,,,,"11276389",,,,,,,,,"16473908","16461925","15314757","14372807","15469189","15665986","15131735","15504814","16105008","16600317","16959269","351932.60752548","350463.2003"
"        Georgia (Items)",,,,,,,,,,,,,,,,,,,"6893319",,,,,,,,,"8512511","8569625","8507293","7701942","7533735","7646995","7780346","8155107","8137621","8239779","8442325","17496001.923401296","17833719.6"
"        Hawaii (Items)",,,,,,,,,,,,,,,,,,,"703836",,,,,,,,,"993117","945491","895336","904467","1148041","1231742","1334692","1393259","1242319","1231728","1259541","8512550.238483356","8594566.607"
"        Idaho (Items)",,,,,,,,,,,,,,,,,,,"1118893",,,,,,,,,"1281899","1318233","1374967","1324985","1625204","1644228","1692457","1762687","1854019","1842245","1835903","1267385.3250985383","1272360.871"
"        Illinois (Items)",,,,,,,,,,,,,,,,,,,"9306710",,,,,,,,,"9757004","9793821","9890872","10078618","10445208","10131883","10193438","10393503","10595254","10277182","10890760","1879670.042126943","1954527.866"
"        Indiana (Items)",,,,,,,,,,,,,,,,,,,"5371653",,,,,,,,,"4955539","5847546","5847588","5698013","6132772","6004366","5574026","6012595","6045114","6140530","6170034","10588909.73052929","10691946.84"
"        Iowa (Items)",,,,,,,,,,,,,,,,,,,"3053135",,,,,,,,,"3360196","3430867","3363108","3312705","3496576","3511050","3540763","3596530","3636898","3676290","3750077","6190735.937255236","6223459.576"
"        Kansas (Items)",,,,,,,,,,,,,,,,,,,"2121410",,,,,,,,,"2429064","2448768","2425263","2436246","2445966","2449230","2627845","2542678","2634856","2649736","2717873","3691891.775681787","3786327.973"
"        Kentucky (Items)",,,,,,,,,,,,,,,,,,,"2844612",,,,,,,,,"3546620","3604048","3584501","3589118","3763027","3670566","4031748","4148721","4151982","4224788","4293205","2684009.9163345397","2682337.267"
"        Louisiana (Items)",,,,,,,,,,,,,,,,,,,"3430717",,,,,,,,,"3926741","3979188","4033411","4086128","4052596","3889416","3957174","3886934","3901432","3904962","3906812","4368285.034628895","4383222.93"
"        Maine (Items)",,,,,,,,,,,,,,,,,,,"929605",,,,,,,,,"1079843","1074465","1055920","1053842","1171280","1180092","1199134","1194661","1104001","1107674","1094388","3885118.8194888923","3802745.712"
"        Maryland (Items)",,,,,,,,,,,,,,,,,,,"3750275",,,,,,,,,"4510464","4525233","4483598","4557006","3905629","3982734","3833526","4052090","4135158","4178873","4357598","1125588.425657927","1130055.585"
