"Coal production, thousand short tons",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,722,737,871,853,745,893,927,925,750,667,549,698,668,694,700,766,706,705,731,789,791,808,833,786,859,1433,1570,1492,1745,1582,1706,1436,1534,1601,1567,1698,1481,1450,1344,1565,1641,1514,1146,1081,1512,1454,1425,1324,1477,1860,2151,2149,2052,1632,1502,1177,932,959,902,975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,13011,12915,12880,12359,14435,14832,14219,15486,16440,17456,20560,17945,20814,19230,19824,22644,21537,21545,20553,24176,26403,24467,26556,23812,27088,27797,25826,25540,26518,27992,29030,27269,25796,24768,23266,24640,24637,24468,23013,19504,19324,19513,19061,20207,22329,21453,19022,19522,21157,19171,20396,19381,19455,18628,16377,13193,9643,12861,14783,14124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,409,395,256,221,212,226,236,189,211,228,268,276,428,434,455,488,534,563,519,251,319,229,161,88,82,80,167,84,276,70,59,52,58,44,51,29,21,18,24,22,12,17,14,8,7,3,23,83,69,5,32,133,98,59,94,91,49,43,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,6,0,0,0,0,0,0,1,0,0,132,1146,2954,3247,6448,6986,10420,11059,9054,11389,10905,11609,12364,11404,11522,9625,11556,11379,12398,11935,11304,13203,12512,12173,13056,11947,10442,11723,11315,11787,13111,13418,12804,12059,12731,12072,8216,7983,8025,7474,7753,8111,7493,7603,8051,6805,5423,6221,6550,3843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,46,54,41,61,57,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,3607,3678,3379,3691,4355,4790,5222,5439,5558,5530,6025,5337,5522,6233,6896,8219,9437,11989,13814,18491,18846,19897,18318,16732,17967,17243,15237,14420,15912,17123,18910,17834,19226,21886,25304,25710,24886,27449,29631,29989,29137,33372,35103,35831,39870,38510,36322,36384,32028,28267,25163,26890,28566,24236,24007,18879,12634,15047,14026,12868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,74,186,226,113,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,1068,927,1130,1213,973,1043,1025,883,876,903,987,939,851,601,590,622,616,513,450,637,559,717,566,385,527,591,484,468,341,430,381,344,289,175,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,45977,45246,48487,51736,55023,58483,63571,65133,62441,64722,65119,58402,65523,61572,58215,59537,58239,53493,48600,59579,62543,51865,60275,56846,63769,59201,61866,59155,58594,59267,60393,60258,59857,41098,52797,48180,46656,41159,39732,40417,33444,33783,33358,31760,31912,32014,32729,32857,33074,34021,33465,37938,48763,52256,58025,56227,43575,48303,49482,45895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,15538,15106,15709,15100,15075,15565,17326,18772,18486,20086,22263,21396,25949,25253,23726,25124,25369,27797,24182,27490,30873,29313,31763,31835,37555,33316,32852,34208,31271,33641,35907,31468,30466,29295,30927,26007,29670,35497,36803,34044,27965,36738,35513,35512,35206,34457,35119,35003,36040,35850,35317,37544,36720,39102,39267,34295,28767,31472,34598,31559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,888,664,915,1169,1263,1310,1122,1136,1268,1313,1627,1151,1227,1086,718,479,590,897,1226,806,842,1361,1412,1271,1328,994,1486,2021,737,856,721,416,363,341,284,285,232,360,341,409,201,176,205,154,71,171,426,420,229,185,133,37,16,22,66,199,27,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,66846,63032,69212,77350,82747,85766,93156,100294,101156,109049,125305,119389,121187,127645,137197,143613,143972,146262,135689,147782,150144,157559,150215,131217,159541,152272,153933,165192,157852,167389,173322,158980,161068,156299,161642,153739,152425,155853,150295,139626,130688,134297,124388,113126,114743,120029,121127,115530,120778,107802,105267,108971,90942,80546,77468,61434,42881,41807,39740,36111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,2254,2751,2889,2983,3186,3151,3240,3134,3463,3719,3221,3545,3216,2953,3699,3715,3803,4028,3805,4161,4114,3127,3843,3657,3945,3865,3971,2810,2605,3439,2798,2079,1483,1538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,748,757,821,1162,1136,1210,1222,1305,1447,1368,1615,1644,1640,1789,2337,2606,2830,3036,2998,2616,3760,4452,3817,3184,4103,2985,3906,3962,3242,3376,3487,3773,3341,3355,3632,3667,4093,4160,4060,3837,4546,4644,5147,5056,5225,5183,5054,2301,2860,2305,2585,2937,2283,1925,1978,1922,1616,1808,1298,1471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO,2890,2938,2896,3175,3253,3564,3582,3696,3205,3301,4447,4036,4551,4658,4623,5638,6075,6366,5665,6450,5503,4888,5341,4982,6733,5571,4687,4292,4169,3378,2647,2304,2886,653,838,548,710,401,372,392,436,366,248,533,578,598,394,236,247,452,458,465,422,414,363,138,234,244,259,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,902,604,2305,3695,3586,3555,3797,3545,2842,3440,4004,2747,2953,3575,3737,3143,2870,2604,2940,2697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
