"Crude oil production (including lease condensate), thousand barrels",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,559,6327,10259,10740,11059,11128,14358,29126,66204,73953,83616,79494,72893,72323,70603,69834,63398,169201,448620,511335,591646,587337,618910,625527,630401,666233,681310,715955,738143,683979,647309,656349,627322,577495,568951,541654,509999,472949,428850,383199,355199,351411,359382,355603,332441,315387,270481,263595,249893,235510,218904,204829,192401,187923,181130,176229,179378,180547,174801,169947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,7329,6931,7473,9175,8498,8064,8030,7348,7635,7701,7263,7832,9934,11677,13323,13477,14706,18252,19829,19161,22153,20680,20014,18746,19804,21581,21122,20607,20797,19813,18538,18637,19025,18677,18345,18731,16868,14832,12398,11123,10457,9334,8636,7894,7443,7861,7539,7171,7696,7189,7155,8373,9525,10408,9825,9694,8107,6827,5884,4857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,30117,29246,27649,27406,26737,25930,23824,21075,19464,18049,18035,18263,18519,18016,16527,16133,18097,20202,20329,18869,18210,18352,18849,18849,18730,19044,15778,14230,13606,11261,10386,10305,10260,9975,9568,8910,8814,8429,7998,7150,7154,7592,7252,7209,6747,6175,5948,6031,6079,5755,5733,5877,6536,6640,6775,6229,5519,5288,5005,4610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,73,73,39,68,64,97,132,2924,3370,2433,1784,1236,993,804,740,635,519,427,418,472,406,357,335,237,215,175,161,131,113,137,121,111,94,73,65,71,84,82,78,66,59,59,63,47,54,50,55,43,54,46,37,37,52,60,56,37,8,13,11,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,305352,299609,296590,300908,300009,316428,345295,359219,373422,365348,347157,327380,324459,317257,306219,306764,312044,337351,335201,341297,346804,365370,373176,374161,381621,394002,378059,364608,354730,331174,320868,319497,305488,293090,286060,278977,282409,285172,283627,273017,271132,260663,257898,248093,240138,230230,223015,218518,214533,207262,200370,196172,197211,198928,204699,201284,186079,173403,169166,161485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,47469,46759,42477,38283,34755,33511,33492,33905,31937,28294,24723,27391,32015,36590,37508,38089,38992,39460,36797,32324,29802,30303,30545,29050,28845,30246,29309,28802,32352,30655,30453,31382,29787,29398,28613,27977,24953,25617,22364,18469,18481,16520,20522,21508,22532,23227,24501,26183,29946,30394,33068,39497,49657,66303,95639,123417,119095,136447,171357,189707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,369,374,419,464,620,1464,1799,1568,1474,1731,2999,5347,16897,32695,36351,41877,44460,46641,47536,47168,42886,34773,25626,19476,14462,11458,9383,8270,7746,7289,5675,4725,5425,5604,6093,5693,6292,6381,5971,4895,4626,4426,3634,3263,2904,2585,2360,2078,1953,696,1777,2023,2135,2174,2227,2208,1934,1923,1839,1705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
