,State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,CO,3.1538644825681863,3.988684173925138,2.811977326632499,3.021225348725349,3.2973865640532307,4.226115749330035,2.9232729572015286,3.901333709026017,3.428980418806,4.186043870659256,3.5935881806571466,3.4973917314278764,3.6243753800357568,3.910428750624829,2.9242061087061084,3.4029661696328364,3.159670650163608,3.139434841371461,3.8311985657440197,4.047300592128178,3.838542186979687,5.456330024988562,5.249738193306153,6.595367510051974,6.1057638932040845,5.866607470812017,5.994891034065139,5.673424124894714,5.0479189812154415,4.4023425648425665,5.887112193362192,6.002777332406963,5.862605306173772,6.238777980513518,5.777009661577562,6.737831328507558,5.915524725163278,6.5239796708187505,5.77962866916541,5.333499108956028,4.7589107707269624,4.538300852824236,3.478312909312909,3.985073408503641,4.644700954011743,3.9391147916023534,4.0224996968484374,4.268542146042146,3.852374760397149,4.563323519371907,4.054806155075939,4.280273593073593,3.09095695497146,4.512812747512516,4.468673637404045,5.624810698451362,3.8733478784486337,4.0025349661370315,3.597617711506601,4.308765229219774,3.22609713016352,4.570690242137964
1,SC,5.818012224046707,6.9637691853600945,6.041933066933066,5.865537559503077,6.817398415977961,6.803778751369113,6.244635378171964,6.297985957132299,5.806581303569256,6.1290369269284914,5.722800271623801,7.286897912214369,6.600102813852813,6.7493502039798345,6.5921311884274845,7.64963924963925,6.161688311688312,5.8366161616161625,5.377236177565124,6.629098605098605,5.8995251745251736,5.642357313738892,6.773320871048144,6.352571770334929,5.7917597022860186,6.047231715652767,5.5810104758156704,5.7299897470950105,5.31093401547947,7.004443622481596,5.588291139240507,6.311533139615332,7.015171451355663,5.2688451178451166,6.885546726665147,6.511771043771043,6.197528860028861,6.554567723086241,5.702630805408582,5.494844512541142,5.167256985438804,5.2138571084999645,6.189619408369409,7.412758827517862,6.010307923238957,6.167497168303621,5.381853463996321,4.218334352845223,5.4448969055635725,6.558259894867039,5.091135952041993,5.517971773812896,6.039399767672747,6.842073965461062,6.104847364070665,7.172530380275256,5.201935783185784,5.842079685746353,7.395741552066853,6.083164052928205,7.138286223580343,6.901584001584
2,IA,5.101188811188812,5.867798059333492,5.226848916612696,4.556928697404888,4.998447619047619,6.213559849648559,3.998356515979467,4.8667962922200205,4.9760273676940345,5.151504297079518,5.146045929379263,4.74590689503733,5.898092998955067,6.360279486595278,5.287203049008603,5.336863876863878,3.7746460137085136,5.927797583679936,5.243462536529764,4.986005614366959,4.335146179683994,4.970944224857268,5.918400564082383,6.192153173928875,6.298565934575108,5.421706604282361,6.383934077618287,5.2503600360036,3.7508667419536983,3.837536370733092,5.883012235698186,5.784192873242461,5.619363044363045,7.039850686037128,4.894699744699746,5.506906601024249,5.092321270962048,4.7910937686167046,6.141755050505051,4.734191919191918,5.20974957912458,5.398373714099522,4.533688025291079,4.708817498291182,5.368833322564666,4.850279788066048,5.397179918402942,5.309484948770663,6.499346331489189,6.078349521626833,6.219649565310722,5.1423892239791815,4.435978093120951,5.307016004197823,5.6797135461113974,6.143067165158074,5.611315715793327,4.918890914154073,6.338327570403043,6.863938647559338,4.695734838242725,5.137791286727456
3,NE,4.296214883714884,4.280426273073332,4.6563042893925255,3.764378044947352,3.9393914514604167,5.004151362105908,3.3970999679333014,4.135521637583493,4.055307999823306,3.9872805745228415,3.8215445269016697,4.398368168290044,4.4399295712747495,5.012858555318873,3.166668898112197,3.802263007573889,3.151923626142376,4.743884142173616,4.396613806458366,4.207951461319337,3.398573795399192,4.2203899503637725,4.856501860712387,4.424881009043313,4.998130519858268,4.283885902031064,5.0176389564090105,4.573578990824981,3.2665470494417863,3.1015451507556766,4.066875827108988,4.149032362313612,4.565194230865872,5.8323044029141595,3.9035293410293415,4.4976115603474085,4.156118084467367,3.943338477366255,4.659963957173779,3.948560510286174,3.898383239758785,4.0569850494508035,3.0599563820018365,3.7681349044577743,3.9528641001855287,3.5529649346881724,3.7129039723379353,4.521444878817329,4.878117509212551,4.9648873553968755,4.564440094219505,4.417692801026134,2.702628123431043,4.0230937754732565,4.291129995912078,5.239561274857245,4.38943060260995,4.060668818646121,5.177135067313639,5.675803642421719,3.76048185217452,4.375413274117937
4,KY,6.199919888540577,7.89564056502832,6.9293549487042645,5.342289920481409,6.446060961729978,5.837022397891962,6.531992021665935,7.079301948051947,6.6934407567740895,6.159200937950938,7.076552249956506,6.857743493327434,7.829526070943982,7.910661642883864,7.642675431564322,7.67782622892112,6.303932709447415,6.898015607758255,6.796854543543287,7.587991491267352,5.9433544124720585,6.5447148992059185,7.456462287712287,6.876129125651419,7.817120722213316,6.819661579629935,6.742600717600718,5.98618447993448,6.067035164686171,7.197732968785602,7.150830203644773,6.644870179287987,6.9245670995671,7.074490189594357,6.33090129482747,6.096165564915565,7.3038081100581085,7.110574402921343,6.884914097833562,5.032796717171717,6.212736291486293,6.5256313131313135,6.890765059981478,7.863226471691038,7.184717251252684,5.880850168350168,7.028763918502724,6.101573495092013,6.422614083164543,7.711237051638838,5.737031254797213,8.268795393172988,6.332624251886545,6.933127577928463,6.7244278597219775,7.861226199274981,6.999588392637173,6.717206953253465,8.866405584080002,7.425351084322378,7.660278969542363,7.1936180657830135
5,MO,5.386722422242224,6.526754148629148,5.3350496078475365,4.218398623817344,5.388608600005659,5.550556560631188,5.013677273471088,6.030487986440368,5.624820940055315,5.502376230517592,5.896980442725122,5.179633350075339,5.661958199257665,7.008983638348718,5.651941299935952,5.684127575521018,4.084648307610265,6.158986714712973,5.801176086709794,5.123245145082494,4.25228297810265,6.218316808639388,6.342174796747968,5.7608513268574235,6.46255709965901,6.609532767754242,5.867289198374724,5.547417267917268,4.450232758109472,4.547073528323528,6.508359788359788,5.548248462064252,6.046422558922559,7.001181237461727,5.275625656394888,5.4894813159423546,5.262094726651688,5.740479890479891,6.132499478433213,4.742078983108395,5.144588115372999,5.559307995925644,4.9755495900747295,5.423877687689843,5.928109155568173,4.790419007706242,4.992185098388107,5.414732464955679,6.379515775282707,6.626152385400942,5.657645557932915,6.170504353600945,4.490715880041724,5.785230623035501,5.327941040441041,6.775902781010307,5.307554323596372,4.958551650649618,5.97311001168144,6.5851160532484645,6.025798651293701,6.525763259351879
6,WI,5.46130870392234,5.815292017923597,5.477739297739299,4.618203776899429,5.386779560308971,6.761998928359223,4.958075015009322,5.156316844919786,6.599907837499079,5.133474900520357,5.759164160690879,6.0122803828910705,6.3602274125529945,6.287533022533022,5.570231383603477,5.775159760874048,3.9907862187937377,6.9633739997376365,5.736803751803754,5.569344205412909,5.501445171369983,5.880485559216902,6.258413682277318,6.388559884559886,6.1000121212121226,6.663198918317027,6.056234520040491,5.8763682745825605,4.733617925284592,4.740655010698114,6.224615925262477,6.50674190101671,5.88992460840287,6.234300451321727,5.594407033295922,5.598792873792874,5.597669325425231,4.892618555686737,5.27636259891162,5.140739090248894,5.936902089679867,6.2732906617192326,5.843918865051463,5.306480051480052,6.3971698935984636,5.175970398316767,5.687776112776112,5.85263057504437,6.302379033496057,5.6400126324187765,5.763244903830347,5.604231459330144,5.117413784189028,6.48088289025789,6.18649747688209,5.865732354421115,6.568456731464861,6.458417756355902,6.448960922051199,7.700892504685607,5.682975919392103,5.292072044334975
7,GA,5.909932398519355,6.815633993566954,6.484725710140075,5.800040440804772,6.994684019684019,6.682259983883362,6.501249572795625,6.31713705684294,6.148518815239594,6.062772025272025,5.996816440264715,7.2719253168893445,6.288313927451859,6.500245966155058,6.482597605837044,7.623832308042835,6.502874729437228,6.037277067550505,5.136821219715957,6.411327010563652,5.643880387485039,5.409781884781885,6.615662115662116,6.40586691086691,5.544277944277943,5.852843394575678,5.636549324921418,5.339257142857143,5.237229437229439,6.857551707551707,5.049313722148368,6.252137800956699,6.918465181771633,5.198697546897547,6.796158441558442,5.601105906843613,5.655631068554799,6.262708934583935,5.3211190705238325,5.188651019119769,5.111228628274082,5.3057502154817575,6.0746776980329615,7.1885212557909925,5.898861272826791,6.488285233285233,4.994348336142228,4.3586055114040185,5.146706689180512,6.864191305148752,5.2309652956431005,5.14132469004918,5.759247057408823,7.183394422663291,6.149467718096359,7.742075396825397,4.7671595407111775,6.1588756401728695,7.849251826778422,6.138835635264207,7.072311392311393,7.441836734693878
8,SD,3.3553726238765607,3.0078067496672145,4.3973778294673815,3.851704803133375,3.3347163827379656,4.186848262032085,3.448188611874744,3.5427666900093366,3.7527901617453847,3.384729649435532,3.715750834728937,3.8719000065590974,3.9370007770007773,3.535433576839827,2.644489811535266,3.4825207860922145,2.6391386391386398,4.5619340728715745,3.8332416832416834,3.446071673741576,2.919674507882056,3.6541982736936864,4.494158646100393,3.746736102181647,4.108468707695511,3.7647888459058665,4.470165945165945,3.620677361853832,2.9906824307767703,3.5838844797178133,3.5039869356833635,4.01072891072891,3.8615237193362186,4.869462011418532,3.6205078871745537,4.6334082584082585,4.388315266001217,3.69406095771642,4.287100597814884,3.6317887781928877,3.793750462500463,3.6019570101784866,3.0468933418319915,3.5740355494985123,3.728407209695553,3.963077860486397,3.210230923177352,3.7550537845992387,4.429723498723499,4.7944711711323,4.734718178223516,4.22672043259232,3.1279380474444167,4.489252387823816,4.464813799188799,4.366955509884804,4.20893060382497,3.6783265442119606,4.840568188059537,6.1991149002512635,3.5924422799422797,3.996349823976283
9,WV,6.96068796068796,8.784425095106911,7.745468073593074,6.272496898812688,7.20652670829662,6.514829818499543,6.991430661757764,7.804613704613705,7.300283205890683,6.997112635791883,7.672144677752154,7.502233011636683,9.128393801965231,8.442252525252526,7.9963165885040866,8.690301955727486,7.3560051060051075,7.703152626428487,7.4321420554753885,8.585770627624559,7.592718855218855,8.191710940574577,7.99266615737204,8.094288119288116,8.232020889163746,7.70424482924483,8.321243162522233,6.717412077586497,6.500724506974508,9.21179477703868,8.396767676767679,7.2202094991729115,8.125776933094008,8.095026369133514,7.4011283228150715,7.159164332399626,9.15387506012506,7.401561813790074,7.4708352596702134,6.21528991841492,6.927437839937839,6.6400510444902965,7.8388694638694645,9.684506297370373,8.206196500371258,7.261362235391362,7.4253862150920975,7.003763947823355,7.994681665136211,7.818053425140039,6.856370679584965,9.092260759522665,7.492289780926144,7.990233328179755,7.954028045000267,8.111901783232057,8.037408568443054,7.538927762850176,10.203610013175233,8.1665914332581,8.695379970169888,8.087745740498034
