,State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,CO,,,,,,1.0,1.0,1.0,1.25,1.0,1.0,,1.5,1.0,1.5,1.0,1.0,,1.75,1.5,1.0,1.5,1.0,1.0,1.0,2.0,,,,,,,,,,2.5714285714285716,3.5,2.1111111111111107,3.3,1.8888888888888888,2.25,3.4444444444444446,3.0,3.5,2.5714285714285716,2.375,2.7636054421768708,2.6543290043290044,2.8719387755102037,2.6242174492174493,3.1024840239125955,2.6501443001442997,1.838095238095238,2.545909090909091,1.9987179487179487,2.517300556586271,2.1635864135864136,1.8978965478965482,2.6173659673659677,2.503785103785104,1.9688644688644688,2.3141025641025643
1,SC,,,,,,2.8833333333333333,3.205555555555556,3.055555555555556,2.3666666666666663,2.1111111111111107,2.6444444444444444,3.75,3.314285714285714,2.9916666666666667,2.966666666666667,3.0269360269360264,2.4713804713804715,3.035714285714286,2.9370370370370367,2.9220779220779223,2.375,2.25,4.363636363636363,2.0,2.95,2.5625,3.4107142857142856,2.25,2.2777777777777777,2.3357142857142863,2.75,2.333333333333333,2.6363636363636367,2.3166666666666664,2.160714285714286,2.0,2.6,2.055555555555556,1.55,2.125,2.5,2.0,2.625,1.8181818181818181,2.6666666666666665,2.3125,2.6131519274376416,2.49301948051948,2.9006416202844783,3.2518140589569158,2.5036332714904144,2.43051948051948,2.6290300968872398,2.5075174825174824,1.8027777777777776,2.276068376068376,1.7615079365079367,2.2341269841269837,3.31517094017094,1.7722277722277722,2.253968253968254,1.6483516483516485
2,IA,,,,,,1.8888888888888888,2.142857142857143,2.2,2.0,2.0,1.8571428571428568,3.125,2.8,2.625,2.1666666666666665,2.125,1.6666666666666667,1.375,2.4285714285714284,2.625,4.0,,,,,,,,,,,,,,,2.0,2.0,,,2.25,2.7,2.1111111111111107,2.0,2.4,2.7,1.7142857142857142,2.8569624819624817,3.683333333333333,3.7724517906336086,3.0007346189164372,4.100734618916437,3.082305194805195,3.09469696969697,3.1549242424242423,3.373701298701299,3.019834710743801,2.6242424242424245,2.4107142857142856,2.954132231404959,2.8095959595959594,2.1989898989898986,2.9807359307359307
3,NE,,,,,,1.9047619047619049,2.1875,2.8928571428571432,2.0625,3.6875,2.3472222222222223,2.1,1.609375,2.864285714285714,2.25,2.6,1.6666666666666667,1.809523809523809,1.6750000000000005,2.102040816326531,2.2857142857142856,1.8979591836734693,2.2142857142857144,3.724489795918368,1.6666666666666667,1.6305555555555555,2.3633156966490296,1.8888888888888888,1.0555555555555556,1.0666666666666669,1.468253968253968,2.1388888888888893,1.7043650793650793,2.671296296296296,1.714285714285714,1.71875,2.5422077922077926,2.107142857142857,2.071428571428571,1.8273809523809519,1.8125,2.2901785714285707,1.5138888888888888,2.017857142857143,1.7125,2.15,2.117724867724868,2.553218694885361,1.986574074074074,2.5360610068943403,2.1414582331249,3.1307980599647265,2.5582010582010586,2.1844494047619047,1.6851473922902496,1.86178050344717,2.108112874779541,1.8391293891293892,2.3161355619688955,2.752314814814815,2.0980599647266307,2.3374338624338624
4,KY,,,,,,,,,,,,,,,,,,,,,,4.636363636363637,9.090909090909092,4.181818181818182,5.636363636363638,5.2727272727272725,5.7,5.3,3.4545454545454546,7.2727272727272725,7.3,8.2,8.181818181818182,6.4444444444444455,4.818181818181818,3.0,6.454545454545454,4.833333333333333,6.7,3.272727272727273,3.9090909090909087,4.3,6.8181818181818175,7.454545454545454,6.2727272727272725,5.7272727272727275,3.377104377104377,2.534920634920635,2.7174242424242423,4.145021645021645,3.4898989898989896,3.6238095238095247,2.891666666666667,2.9940476190476186,3.0416666666666665,3.3073593073593077,3.161471861471861,3.0298821548821557,3.5454545454545454,3.276190476190476,4.0108225108225115,3.4178571428571427
5,MO,,,,,,1.4691964285714283,2.0198412698412698,2.2015873015873018,1.8663194444444444,2.0629629629629633,2.833333333333333,2.219444444444445,2.6960317460317462,3.2809523809523813,2.32037037037037,3.0185185185185186,1.8702380952380957,2.8194444444444438,2.2777777777777777,2.344444444444445,1.7881944444444444,1.8214285714285716,2.1319444444444446,2.3492063492063493,2.851851851851852,2.2607142857142857,3.5416666666666665,1.4166666666666663,1.8333333333333333,1.6111111111111112,2.0899470899470898,2.386904761904762,2.304232804232804,2.9047619047619047,2.2380952380952377,2.2,2.1166666666666667,2.142857142857143,2.888888888888889,1.8621031746031744,2.139384920634921,2.665719696969697,2.171717171717172,2.5848484848484845,3.50036075036075,2.8090548340548342,2.57198547979798,3.10345193001443,3.4826231060606063,3.302290764790765,2.7578350468975468,2.3763415404040407,2.4546875000000004,2.5727610930735936,3.248148148148148,2.751440746753247,2.6982796717171715,2.866256313131313,2.3877254689754692,2.6354031385281385,3.1059411075036074,2.527752976190476
6,WI,,,,,,3.7000000000000006,3.4444444444444446,3.875,2.7000000000000006,5.0,3.0,6.2857142857142865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.747009780343114,4.554882154882153,4.427777777777777,4.786682615629983,5.136682615629984,4.643221690590112,4.0185007974481675,4.703216374269005,4.184568372803668,3.746078431372549,4.144979203802733,3.90331088664422,4.601667468334135,2.9696769280102613,3.682603815937149,4.9179894179894195
7,GA,,,,,,2.1111111111111107,3.2222222222222223,2.4,2.0795454545454546,1.5375,2.555555555555556,4.061111111111111,3.303571428571429,2.761111111111111,3.5,,,,,,,,,3.0,6.0,4.5,3.7,3.8,3.5,4.6,3.727272727272727,3.5,3.5,3.125,3.0,,,,,,,,,,,,2.338055555555556,2.3872655122655124,2.499289321789322,2.2839249639249637,1.8763888888888889,2.3888492063492066,2.9646428571428567,2.145555555555556,2.867460317460317,3.139583333333333,2.37625,2.7825,2.3012734487734487,2.537202380952381,2.880016233766234,2.725714285714285
8,SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4579509379509383,2.6549783549783545,1.9598124098124097,2.8904171585989773,2.8696969696969696,2.1121212121212123,1.9497835497835496,2.5162534435261708,1.9353896103896104,2.106060606060606,1.7637249114521842,2.2352092352092354,2.676322751322751,3.019693690148236,1.830555555555556,2.1555555555555554
9,WV,,,,,,4.7444444444444445,4.754545454545455,4.269360269360269,5.008658008658008,6.454545454545454,4.8181818181818175,5.7666666666666675,6.124242424242424,5.736363636363635,6.375757575757576,6.6060606060606055,6.112121212121212,4.666666666666667,6.587121212121213,6.568350168350168,6.090909090909091,4.333333333333333,7.249831649831651,4.591582491582492,4.970454545454545,4.6000000000000005,5.072727272727271,4.6909090909090905,4.25925925925926,5.466666666666666,4.633333333333334,4.669696969696969,5.15530303030303,4.012962962962964,5.232323232323232,4.818518518518519,5.7318181818181815,6.62962962962963,6.05,3.35,4.65,5.782407407407407,4.392592592592593,6.224242424242424,6.934848484848485,5.037878787878788,5.508964646464647,4.282954545454547,5.027777777777779,4.313257575757575,4.246338383838384,5.396338383838383,4.237531565656567,4.115584415584416,4.212121212121212,4.152272727272727,3.3931818181818185,4.956277056277054,4.214772727272727,4.363636363636363,4.09469696969697,4.816326530612245
