,State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,CO,25.107034850671216,24.540313245610275,26.22486125477276,25.68016835016835,24.82189021164021,24.45458703102453,24.7846957573392,24.71574977988113,23.90866388203165,24.694802988563318,24.20345434868162,24.46764835858586,23.87553094307127,23.547662458922964,24.45726548116634,24.62953153988868,24.69575191627944,25.058562823516954,24.45008081452277,23.9990429948839,25.683014649601606,25.616793114293124,23.85835603938545,23.189339419541035,23.090736310473147,22.287016149145774,20.908083131237586,22.599583122743017,22.396643113830613,23.29514298688641,22.77720287010541,21.561104197926912,21.343546825396825,21.11764895865289,22.268452042748923,22.127256924992214,23.00533236146109,21.99443245781012,22.89159603423397,22.30724240676663,22.937388374575878,22.552728506873244,22.917044290834607,23.072415212391768,22.405712669295763,22.669362912728296,22.93103270444315,22.81160344041923,21.94741014132926,21.875736801512666,22.22106005644094,22.02722258197327,23.287951275843838,22.028631325223504,21.77338598861904,22.47222106652496,22.183463170865284,22.634389071437262,21.59748728466321,21.70884855655041,23.220878246753244,21.249851665905982
1,SC,30.032137654012647,30.534724226390896,30.53838924963925,30.402738095238096,29.15080131673881,29.801019404572028,29.847210743801647,29.877515807424906,30.07826426603699,29.113254031543512,31.341255601124026,30.130493411200966,30.311228221367113,30.024938004382445,30.699911105665816,30.817462337662334,29.46132727272727,31.16188333333333,30.890707142857146,29.868583797155228,31.258126202501195,31.06254689754689,30.902375757575754,30.7911551948052,30.986985722610733,31.345689588189586,32.157691061558985,30.21198905261405,30.22397560510768,31.15816466552315,31.932255710746283,31.01668307727131,29.72748383303939,30.541795356158996,30.315821854912762,30.810182212965234,30.30660401002507,30.09028673835125,31.26549663299663,30.930763215657578,30.71715877259995,30.450811263899503,31.09552434518344,29.30714211442153,29.624886553504982,30.27498065476191,30.962472738232236,31.495032239209447,30.72776734644205,30.32681104787846,30.017585858585857,31.543325216450228,31.465782408805666,29.26072399479807,30.521309974747478,30.75470093795094,30.96352212602213,30.93230629075566,30.84127478011406,31.524744369554487,30.271665890368425,30.837522603978304
2,IA,25.594633838383842,25.934734172077928,26.39462937062937,27.28270590520591,26.66846611100343,26.00081066528828,26.33484848484848,26.83728846910665,26.492828282828285,24.65219256052589,26.545189393939395,26.445205627705633,26.035994869328213,25.393885345804986,25.28363095238095,25.818956514295497,27.35367845117845,26.169142242093066,26.388432396527637,24.189413383226942,26.167319973932877,25.640960076960077,25.968745225362873,26.339705710955702,25.93122427983539,25.985341240392266,25.28037878787879,26.316905203639887,27.746869503661962,27.25710998877665,27.492936775159002,26.753339050886222,25.105681205586862,23.79329431884987,26.970320182961693,25.699933954933964,24.541426560688855,25.138653781114716,27.22165404040404,26.932019314019318,27.462134421134426,25.865645087236,26.960079416615127,26.92766858728126,25.978498339559984,27.07254241254241,28.03290269360269,26.366274350649352,24.21767335004177,25.24219573425053,25.772426630490013,27.438867336367334,28.953930754917604,25.555243674843673,24.901756756756765,26.577019032019034,26.722846270928468,27.260945867404203,25.677853535353538,25.32225370589007,25.763610269360274,27.65501400560225
3,NE,27.96541390920702,28.497580257257678,29.1303547901374,29.405070797258297,29.54019243359521,28.07905151515151,27.913029066171926,29.301515151515154,28.888567855100874,27.127184466019425,29.293916718202443,28.46624473905724,28.569183329897612,27.15359063322299,28.85566520937808,27.689271844660198,29.314366235167203,28.225467153858247,27.868222026086112,26.454291056166056,29.72922936507936,28.35061124420348,27.70554049974968,27.552095340125646,26.974836565939512,27.23601232381536,27.434549769402707,29.02933845255274,29.73677499291985,29.873736497147714,29.78999206999207,28.70421831955923,27.277499577499576,26.088431060931057,28.40070790075215,28.69804885134531,27.469293055872,28.4811021810612,29.03577368169888,28.72478919874269,29.056219554855925,27.84950604950605,29.512452875407423,28.736208489167677,28.755804037498674,29.598841582491588,30.65601104642484,28.56326646749182,26.945765877957662,27.427992562992568,27.57424136015863,28.87822472170687,30.572732961482963,28.00585781704634,27.431109110310796,29.35288879188039,28.828780358060023,29.183791138199034,27.22273310839487,27.296440671596926,29.240769523188877,29.240286796536797
4,KY,28.809474834929386,28.60313935271078,28.98925436800437,28.46596723817118,28.579352293276344,28.61118484848485,28.374863437001597,28.146673553719005,27.99899528619529,27.328740364167995,28.031409090909094,28.757995959595966,28.356850348725352,28.08827260702261,27.897832491582488,29.02771895542729,27.714197152612645,28.82382451273296,27.771319244027577,27.342393048128343,29.236065605029893,28.53677696078432,29.338304746600198,29.269843893480264,29.046560994560995,29.03895015731081,29.583055998582317,28.882748917748923,29.445344205602822,28.59005423280423,29.176307290593005,28.47035726113595,27.823183870726968,27.779326536037058,28.549875416728863,28.930384294068514,28.2271013392066,27.771095437129922,29.54801214111559,29.387176046176048,28.562483019853712,28.032410581222056,29.171293891293892,27.945459016726627,28.11547638547638,28.98562756132757,29.089153670403675,29.29351423008049,28.72808935442864,27.40076817279943,28.53621153499279,28.961812194106013,30.094112206401363,27.769028877626443,27.980569423361636,28.22847205824479,29.62471308321309,29.187386217386216,28.64071428571429,28.988478992826813,28.377614163614158,28.051705698672908
5,MO,28.90928196102439,28.63351975859789,29.889947861362963,29.88880315249267,28.419144162715593,28.66787373737374,29.10565575707817,28.548708917997715,27.945658785658782,27.72509845996915,29.233118147284817,29.696655167748922,29.38979402722881,27.74694517871509,28.508491998491998,29.339104015250808,29.304645284008924,29.032177567177573,29.27672391908503,27.924829292929303,30.308734500504407,29.30301622418879,29.57546620971621,28.781013480671376,29.30778510915608,28.297600970017644,28.783900805810923,29.705294011544012,30.3334544887073,29.154262562833985,29.805151214526216,29.66243506493506,27.69400202971631,27.31730571588905,28.82205396354853,28.969733126721767,28.09864828738513,27.999195016543503,29.230920017482518,29.024119769119768,29.86380980955239,28.476727647352643,29.17895340522573,28.405485090956397,28.13587785384297,29.50016825071336,30.40515973813768,29.091230648319936,28.214805861946274,27.61558727753728,28.29481101656964,30.40246524121525,31.34832024978152,28.60957124550408,28.395121608671232,28.3906902830328,29.55939533126541,29.74367389956233,28.91251721900882,28.22676647426648,29.05000338203463,29.067768959435625
6,WI,23.321617351720448,24.098306387490066,23.847508036517933,24.24763533392174,24.37082847707848,22.97668696771638,23.71341131609823,23.19548543689321,24.12518915570802,22.58165345105939,23.43924078122098,22.57926465229496,21.22533024418947,22.61565478050014,22.63260205144225,23.038651603498543,24.61844615984922,23.654541589363017,23.34106286075037,21.495016140789343,23.18442189754689,23.05280674937892,22.824718234981393,22.530121671258033,22.85435437710437,23.498453186884035,23.840407276000057,25.43325625688529,25.272279865524546,23.69366189674523,24.994769635126783,24.81853843494468,22.274401632947544,22.051953978561126,24.07120895462562,21.917893391748816,21.543547098895942,22.198122433122435,24.660003573470554,24.816881755561,24.106786663628768,24.250480894660893,24.416012497038626,23.946893191170965,22.951391821607647,24.146931064375096,24.56742906120644,24.90156253006253,22.255029278964766,22.845227135733467,23.45078464382385,23.763063168937407,25.635418169793173,22.121289112933844,21.373084047471803,23.599252671643967,24.56512601478251,24.52452473958333,23.72931107954545,22.03339735894357,23.712274022274023,25.542654867256648
7,GA,30.73456991792929,31.001209376372422,31.01947641306684,30.45804763563385,30.555477600305185,30.329277777777772,30.183253713606657,30.61820295983087,30.618073873657213,29.49464570070452,31.00452052577053,30.79203976578977,31.056740752472464,30.30856881313132,30.906030219780217,31.288081478045765,30.093778275714897,31.384843556287215,31.51499148629149,30.676204398105806,31.860906668728088,31.412064355831962,31.50763922872618,30.630911616161622,31.425642397055448,31.885891053391052,32.95587688478992,30.906473743647666,30.44892231134877,31.19829190009337,32.112770562770564,30.87858884766027,29.637532781228433,30.517773961143533,29.910750462370185,30.969861641626352,30.459990484555703,29.38520874103066,31.746399077649073,30.909837879657154,30.81848168189835,30.084135234330894,31.0769850579528,29.70131449967657,30.413815239924393,30.363517899584075,31.445243601427816,31.418903537539897,30.602851277221504,30.149068162541447,30.31640773115773,31.867413084331695,31.95557802852885,29.59759340751076,30.16079678362573,31.13533021315916,31.72994362455726,31.014912718454386,30.72466750841751,31.821053429431085,30.594893481667675,30.65653409090909
8,SD,26.912438672438675,28.49535777417028,27.560205463728188,28.52802939166097,27.599043013723865,27.03696887025012,26.913663996370182,27.403680754917602,27.065100668337518,26.799983089826842,27.300128715728718,25.996747685185184,25.913704161176987,26.747315215648552,27.32633156095112,26.480075593598322,28.7026176948052,27.3496047008547,26.239608172951545,26.698205723905726,29.09129616629617,27.25925837320574,26.342073881673883,26.390662220662218,26.07693537414966,26.45040177898387,26.210799297321035,28.863299549549552,29.434293641300222,28.004917166167175,28.800095774821386,27.651407982261638,26.028640463072282,24.80625521083855,26.47906785243742,26.28663125823452,25.65800999121652,26.418914513321727,27.145011285011286,27.799057444362322,27.2197339675828,26.663651223115505,27.849122804003763,27.79074805431363,27.322472809559578,28.380903665450912,28.073692713402014,27.410702497415095,24.672911195783094,25.46496645916068,25.891534753348914,25.767341115674448,29.54008993879684,25.024984709480123,25.5909402056277,27.46828707870787,27.469720327371842,27.27814803882985,24.97673792416061,23.945721353476447,27.164931379007463,28.02621635610766
9,WV,26.92632417929293,27.81546448087432,27.463709246482683,26.104920634920635,27.42682816780643,27.152318367659284,27.670216942148762,26.693252818035425,26.796928968776804,25.952100628130044,26.8237879833532,27.455517498932988,26.28771483491633,26.74111514302691,26.92862577386771,26.77121693121693,26.465357675111772,27.68178708264915,25.71629893785631,26.026099791013586,26.08896115533212,24.789955018939395,26.92887906155148,26.947700714036927,27.152417913470543,26.99032989998508,26.783492063492066,26.509867424242426,27.938822547508988,26.394059297576238,27.738479188436084,27.350808936825885,25.85456439393939,26.493572816072806,26.65031321277289,26.050147506814174,26.109190809190807,25.935108123488412,27.724858438081327,27.478275995246577,26.57907332769401,27.121760789715328,27.480288519221105,25.787369087702427,26.61817975096065,26.60830566214089,27.342811655139236,27.42976618342897,26.92155879785509,26.12134876097839,25.58620819805195,27.249411289768428,27.545204029444534,26.478219296135965,26.20284605893301,26.70010047958577,27.832964409722226,27.38866492796821,28.051394984326024,27.933712059013786,26.94533201917131,27.69276895943563
