,State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,CO,1649.9121773636994,1753.0187074351763,1762.5760469115564,1366.5543381645587,1457.4116967717632,1690.4564019700106,1644.9243674742625,1665.678136229552,1861.4228238283454,1781.683327721661,1789.523534620303,1807.8081668424945,1867.4195315611846,1956.9388892357638,1773.7546835203632,1890.7746662890588,1784.7687941035,1911.555851984127,1570.2867936720145,1792.9164566216098,1732.0508066017317,1570.1380008245724,1615.47971287707,1501.4948334535834,1471.3569820919822,1443.5417887434871,1337.451031771617,1194.6980542577342,1298.633763334064,1185.091414340824,1419.21885105367,1552.337707714691,1843.617121321915,1725.0761009281125,1609.6110287475872,1773.7375898207254,1893.8076681607981,2004.006968294808,1989.8782276189415,1763.5384974414678,1844.969516264252,1883.0081740264652,1888.9312498574352,1836.8948977833359,1852.036683775869,1835.2771558017146,1950.3827091340647,1815.2381851388504,1953.5411941940156,1964.2398649999334,1992.5058401961285,1900.4959591857773,1938.6432867590015,2031.946059141838,2137.678358702572,1960.4804103066488,1988.9574130992464,1849.8684588970057,2001.493131324584,2084.9775292265053,2093.5425916607505,2759.515487228004
1,SC,617.0061616161616,548.1770828282828,621.2412148660517,712.558530594701,698.8243835678211,570.0484008264463,776.2114453357101,659.4958466533468,747.6259324009324,803.2826060606061,612.020816960817,611.7845516388372,613.1842877757164,530.2509047926069,452.5610334436805,521.9665794725369,646.0989490651192,798.6746947738252,707.0746008719412,583.6933024440838,571.8755286195285,678.1163573232324,624.5351757575758,556.574938157081,633.4260981665394,649.578316781258,494.1090283299467,584.7909121434121,650.1381046037295,664.721281866282,460.1980669439493,477.9771304885591,570.7432432844932,534.9531670875422,584.2670880952381,533.8009415584414,626.562867965368,460.91332067303773,574.299789912108,254.80910061203164,424.6927380952381,434.65555623973734,388.806136301438,515.9618762687409,418.0501898374849,443.13206438086866,450.9972353495271,546.9609859194625,412.2315326867226,621.6685185185186,631.8035500683527,632.4451746298969,463.5610728363777,657.4717571428573,573.368468145249,649.695642336059,541.9887916478217,479.61738476030143,603.3548014923673,616.060283982684,560.6661772174434,971.1914530812326
2,IA,1843.3032768157766,1546.9281101190475,1702.2065915854978,1686.7659300699302,1524.4230935730936,1590.4039290560183,1569.4233428030304,1678.2721289190606,1590.16800999001,1575.2402453102454,1703.2342194049336,1599.0504346459995,1649.8790562024185,1534.3533525514886,1578.1642191142193,1741.9801169590646,1407.225451887294,1836.4969052594915,1851.023699962589,1827.2260491709549,1627.0709620716973,1407.2795121702195,1379.7173449509671,1571.0406407828282,1547.2611089619602,1624.0110542929294,1680.8908399470902,1520.8645084175084,1417.3458624708624,1668.0901223776223,1871.0214714370602,1602.2736301793445,1635.058198051948,1849.5539333062768,1714.5128865182435,1858.1683227410888,1421.1448389316447,1426.3404992548435,1300.6232404692082,1457.0303899901267,1319.814164777022,1644.9281834473773,1362.221877104377,1562.222198912199,1541.1265257553894,1355.6105346947736,1289.9224600168352,1444.7264855218855,1783.7557580205182,1685.3220721500722,1707.2849134199137,1537.3624487734487,1323.831271620313,1937.25024282056,1706.3201726827094,1473.9197890097892,1323.7270931537594,1440.3715694702123,1767.980320037106,1681.9122210197213,1592.8025600835945,2366.3441107871718
3,NE,1603.4806951871656,1515.8152494446874,1570.8935885338128,1390.0426600212656,1296.5916207750583,1518.8324859708193,1685.540532106782,1622.3567145845175,1447.1858356907119,1761.397552099947,1621.0642260800423,1736.102734107997,1524.291273524721,1559.1576177565125,1414.8350034947694,1656.3700053922685,1470.590311802233,1474.9693954854665,1702.7354537308565,1877.4036052836047,1389.3177575835998,1267.434193347162,1354.881846605775,1232.7837411347514,1553.5278983154526,1290.0155677830942,1364.7375921215098,1180.85837286711,1309.1015252666725,1532.011287128713,1467.7119093851131,1417.1306356749312,1423.238265993266,1702.3213942826321,1354.1913232323234,1342.9724983164986,1579.3457933705993,1437.666675136458,1209.130268998455,1231.0761230759979,1317.2362378979044,1369.6089425770308,1256.2805543136285,1284.920912243924,1214.9742417760192,1293.3486088778945,1239.2681112341575,1444.630146357549,1446.3445881706675,1785.558236338035,1362.603843566046,1358.9419490708615,1300.4920131587987,1632.2986333835247,1685.3489385155908,1387.722300194932,1466.8028068260242,1326.0210437937324,1607.7290306561054,1883.8101419753086,1380.585691911085,2300.567625152625
4,KY,1127.6065013415405,1115.3662875457878,981.1381214744853,1120.1420145903478,1129.7514684042808,1054.868993993994,1221.4077663780665,1119.9207921318448,1291.6711878924375,1219.7847581997582,1223.9420095693781,1058.4226346462615,935.9314503732982,1061.5447247156437,927.9588897254117,1042.1413885119857,894.3274202105085,1277.972935064935,1155.697281295094,958.4618324954615,969.9066503267971,985.6677319734137,926.0260855094723,771.9875869291997,1005.2858224496783,782.9762880755611,819.8093654729107,874.349771570149,897.8024281778827,926.7932368326117,876.7918533549782,800.516412042503,810.931289308176,990.7114880284323,771.0380846277907,931.4909953823953,1046.155949157226,878.4411041003023,965.5422911405724,821.982528466483,855.3873645021645,974.6262289562288,650.7014025974026,768.7348508158507,769.9121556974098,734.6969153069152,782.6593403187721,854.9776336521902,780.4526001463325,943.3039217629007,1056.8988623514992,900.4108639971141,911.0862602375104,1065.8469974391805,1092.9674340628508,1122.5009887652031,826.5300043290043,816.8646159069689,1010.7483787878788,1000.5654726368158,966.7189260284343,1577.3040247252743
5,MO,1238.3291336618465,1114.2323386426374,1103.3006577564834,1046.9151967038808,1156.9310058674107,1247.0559924085578,1026.261436408419,1159.4230441755215,1243.787533647557,1193.6230339761248,1185.7746675943104,1161.6062490551774,1116.9694798307753,1152.1068665490886,997.6706995054567,1244.071048417602,1008.9501135302608,1202.3033468122785,1375.014650477074,1184.3671212121212,1133.9900863224075,1126.717247577819,1067.8510024587986,839.1850652393123,1026.949628742785,847.6111842231842,892.6344015292067,962.8937306610408,942.1522171884964,978.7382119514473,1000.1893066655568,884.8008096205963,950.700662080576,1093.4328794437888,929.1980974025972,979.9487544862544,878.0200601105721,888.2126800580371,887.4105256648113,908.7148180732053,882.9163105759981,1026.434736348447,954.3513481453188,927.3705254820936,860.7917981601732,952.7940081580213,908.857667290822,839.0302565801985,972.9983382235048,1063.2188383012235,1085.7658150204334,1091.887409838551,917.0860640251123,1077.3399234532828,1226.8649103277676,1155.3423311748938,845.049888999889,910.4774030865557,1239.425983667267,1235.388823986324,996.6313108028336,1638.8020028011206
6,WI,1858.8785681664672,1895.2025759928479,1987.117860866732,2013.8388849500839,1851.4398999185632,2119.487813709942,1942.136156132756,1885.1210032467527,2000.666883225108,1977.7379071325504,2075.9793207586067,2039.270620567376,1998.5339108409325,1892.0065672514615,1922.2778280170126,2092.886115667958,1958.0964373267184,2116.7061639118456,2075.543691756272,2209.425703222703,1928.520871447393,1830.4024558182143,2074.2262675045913,1702.9284506833035,1928.419217085824,1800.2648199085556,1896.9852222465427,1330.9949262559144,1619.684972625414,1591.49942125335,1641.5444848484851,1690.0672618642282,1667.9140449709867,1981.551345295056,1940.0009455524635,1895.687688729399,2196.0536553850197,1702.685574904893,1522.7697872340427,1510.783245161701,1674.6508859307362,1457.6130413154099,1481.6038505747129,1629.428802337662,1700.457502568054,1576.2746756766269,1570.5208070740632,1637.2612301335027,1870.2181766718127,1875.946893096765,1647.9198113129364,1890.0815773991114,1665.7183622417856,2110.5417198649907,2216.3423548110504,1962.607171340269,1652.459343930031,1621.3404823619903,1951.746313699424,1834.516951188908,1794.5435287294122,2499.1014880952384
7,GA,600.3556655236149,564.2566816578484,590.9540741686527,685.1294354908813,608.4346898952418,554.081961998029,521.0042798353909,584.1467150854502,639.7961666498876,749.5870978073418,588.7280168119553,489.24936103311114,468.69581047019346,507.3634825752634,394.4017493209405,475.1105896082032,433.05405262647804,670.8177458175505,480.1666725223247,465.68372851895583,571.3438873584328,553.2403290480563,455.66114109848496,446.82044332211,361.28954895104897,347.6160701688084,399.698651936027,422.73055758477636,570.478300189394,478.7960279667423,450.826539614899,479.3425024437928,502.70093844009085,542.4803098784455,508.4335071049478,460.9636285266457,456.2874543049544,517.7574256453423,522.6085194560618,346.8461962365592,404.3852658970659,387.4865445091307,373.89639270253565,391.7957482290437,453.5450394552954,442.34682914748396,478.5449561087061,478.42533469285536,515.6087362020695,528.0060115501782,657.4675976579957,603.6108432692544,453.72573574730364,597.9430556513299,623.8753500781626,514.7085602351957,433.0099761979143,417.63838758875886,564.9650647023228,543.9208677037249,546.4082146425004,860.9486537330984
8,SD,1765.3999777699778,1522.2068947193948,1670.9614216500556,1595.3495858666922,1497.1198266829792,1843.0085035842292,1725.765803475484,1624.7598822572227,1835.5070584881066,1883.5660672061526,1669.8473500967118,1932.7053354548889,1773.9915868771752,1446.1410553335556,1424.753121838001,1625.7278491683753,1572.3322428229667,1930.3369064485294,1812.0254240546365,1632.0286641414139,1582.7126620799836,1541.3074814240485,1839.0609941724938,1423.859428210678,1639.5172654558985,1570.8567534999115,1712.3167399804495,1321.9018957431458,1723.7717197270322,1735.16787773569,1426.8977176831604,1509.335629130814,1574.247331048581,1841.0121663681145,1823.9962626682104,1711.9227715355805,1798.044648268398,1758.6595485810485,1506.7180820221447,1314.8165899680032,1390.609921492442,1515.4115355403526,1502.1961669795294,1557.9398040654999,1500.3528982028076,1456.030041289243,1427.92881176295,1655.3160148280836,1675.622876004947,1712.8454089568252,1762.5474015807424,1653.4748958544053,1560.960654919514,1795.4396739858082,1816.2153828857224,1762.4420047781016,1620.6961802925086,1804.4074750105215,1858.9707637368872,1948.2961676940206,1777.7056537459985,2497.151835915089
9,WV,1383.8549169030202,1264.7927529761905,1156.832404692082,1447.273576238576,1305.678124426079,1354.0310899733945,1400.9993473193476,1301.7575589584544,1394.780980710466,1360.6350768882858,1517.3192290552586,1188.639794034091,1230.1455180840665,1204.280641389262,1069.456306289496,1301.4470693779906,1302.018850108225,1482.5815744820654,1415.9015085694034,1399.3709090909092,1166.9833613916944,1319.1585908189031,1092.808253367003,952.2349516049987,1118.3951735537191,1204.6234086825125,1006.7928852247968,936.1380677071468,1437.563208976558,1133.4218950373295,995.5828425767104,1006.5376381461674,1254.9399254911755,1167.0292271925605,1437.05961406518,1102.2696666666668,1161.2133820968304,1186.2107227446882,916.9550815514453,1013.833484192575,1071.5924058852538,1115.1314065101567,1015.8962220893144,1106.1306715969217,1240.8892809629394,1031.250221655981,1155.6068008658008,1132.2443114889495,969.4370337662339,1185.9119099445156,1215.4127922077926,1070.4259125631313,1201.0767240902167,1102.4661352329263,1198.6900687199868,1356.230253441444,973.1323934257832,1161.1596298701295,1306.4536582090745,1084.3658429096154,894.3587902837901,1495.8649007936508
