,State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.72,16.827272727272728,17.009090909090908,16.92727272727273,14.936363636363636,15.563636363636364,14.9,14.081818181818182,18.37777777777778,
1,SC,,,,,,,,,,,,,,,,,,,,,,,26.27909090909091,28.127272727272725,28.463636363636365,29.32727272727273,29.26060606060606,27.26060606060607,26.4939393939394,26.924242424242426,28.58363636363636,27.827272727272724,25.327777777777783,27.30909090909091,26.921212121212122,27.1939393939394,26.676136363636363,26.895454545454548,26.63909090909091,25.73465909090909,22.978863636363634,22.551136363636363,20.93838383838384,20.81893939393939,21.5991341991342,23.155,23.26287878787879,23.063585858585853,23.41809764309764,23.788227513227515,24.31784090909091,23.94090909090909,24.503818181818186,22.685428892095555,23.03244949494949,23.53224907808241,24.318760622093958,24.25295173961841,23.583796296296303,25.60892857142857,25.661676767676767,21.777500000000003
2,IA,,,,,,,,,,,,,,,,,,,,,,,24.15454545454545,25.91818181818181,22.27272727272728,25.80909090909091,24.33636363636364,27.72727272727273,29.16,28.42727272727273,26.872727272727275,26.1,26.61818181818182,21.71818181818182,24.65454545454545,26.22727272727273,22.5,24.54545454545455,27.781818181818185,24.509090909090904,24.5,24.09090909090909,24.3,24.5,23.681818181818183,22.618181818181814,22.79090909090909,23.59090909090909,18.58181818181818,19.94545454545455,20.70909090909091,22.12727272727272,23.22,22.42727272727273,20.80909090909091,23.17,26.88181818181819,29.500000000000004,25.563636363636366,13.9,,
3,NE,,,,,,,,,,,,,,,,,,,,,,,17.923939393939396,19.639696969696967,17.305625,17.04840909090909,12.766262626262625,25.31818181818182,22.4875,29.32,27.933333333333334,28.875,20.0,28.475,28.45,30.825,31.3,27.766666666666666,,,,,,,,,,28.73333333333333,24.3,22.1,25.660000000000004,24.8,27.46,2.2,17.527272727272727,18.03636363636364,,,,,,
4,KY,,,,,,,,,,,,,,,,,,,,,,,21.734065934065928,21.390512820512825,21.20709984459985,21.40840909090909,22.674641873278237,21.8507782369146,20.16781144781145,21.302895021645018,22.857466329966325,21.496658249158244,19.953292994883906,19.082933884297518,19.74238292011019,20.521074380165288,20.33679522497704,19.740286960514236,22.014110750360757,20.477828282828284,19.500050505050503,20.820109026775693,20.681096681096683,21.047015151515147,20.35676479076479,21.62008417508417,22.849366110080396,23.33095959595959,19.412738095238094,20.64444444444445,20.152840909090905,19.91272727272727,22.35,19.80117845117845,19.268917748917747,20.16527272727273,20.76321212121212,21.718545454545456,21.80359848484849,22.240909090909085,22.54272727272728,24.17976190476191
5,MO,,,,,,,,,,,,,,,,,,,,,,,,28.9,30.86666666666667,,31.23,29.54545454545455,27.2375,27.581818181818186,28.13636363636364,27.92727272727272,28.22727272727273,23.915151515151514,25.322601010101014,27.06590909090909,26.72608225108225,27.293520923520926,27.997643097643103,26.601453423120088,26.86949494949495,25.65062049062049,28.18497217068645,27.675584415584417,26.84502164502164,27.60787878787879,28.02333333333333,26.622121212121204,26.73030303030303,25.90909090909091,27.27090909090909,26.700000000000006,26.659090909090914,26.90909090909091,25.10909090909091,26.263636363636362,29.700000000000006,30.29090909090909,26.56363636363637,25.05454545454546,24.90909090909091,27.842857142857127
6,WI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,GA,,,,,,,,,,,,,,,,,,,,,,,28.64090909090909,26.98272727272727,27.7,28.76060606060605,29.30454545454545,27.08579545454545,26.92676767676768,27.28806397306397,28.04545454545455,27.256249999999994,26.58618181818181,27.282626262626266,26.860080808080806,27.309090909090905,27.149158249158248,22.48690909090909,28.937695707070702,28.210568181818186,29.143369408369413,28.29158249158249,28.350909090909084,26.75363636363636,27.76424242424243,28.21038961038961,28.805,28.74444444444444,28.98875,27.67272727272727,27.120000000000005,29.880000000000006,29.95,29.06,27.99,28.33636363636364,26.655555555555548,27.144444444444453,,,,
8,SD,,,,,,,,,,,,,,,,,,,,,,,12.890909090909094,15.909090909090908,15.6,15.218181818181815,15.963636363636367,21.28888888888889,11.225,23.33333333333333,19.875,8.299999999999999,9.78,4.533333333333334,19.4,,,,,,,,,,,,,,,,,18.533333333333328,13.3,11.1,,,,,,,,
9,WV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.05,21.154545454545453,19.447474747474747,21.248484848484843,21.38787878787879,20.86848484848485,21.409090909090907,20.55454545454545,21.427272727272733,20.80606060606061,21.290909090909096,21.954545454545453,20.61515151515152,20.454112554112555,20.224242424242426,21.711255411255408,19.954545454545453,17.972727272727273,17.71818181818182,19.154545454545453,19.854545454545452,19.89090909090909,18.97142857142857,20.67,19.33636363636364,19.37142857142857
