,State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,CO,,,,22.44611111111111,25.413906349206343,23.28849579831933,24.847328431372556,24.447118055555553,24.388183673469392,24.980156349206357,25.98443055555556,26.024751984126983,24.49378354978355,24.817476190476192,24.87110317460317,25.70386904761905,25.5317316017316,25.727116402116398,25.959380952380954,25.141031746031747,27.05373809523809,25.293129251700677,24.78969387755102,23.981805555555553,25.392797619047624,24.56219047619048,24.125892857142855,26.108482142857145,25.04333333333333,22.46253968253968,23.40761904761905,23.021904761904764,23.669821428571428,22.90190476190476,24.450952380952387,22.888714285714286,24.80742857142857,24.811805555555555,24.133142857142854,21.694628571428577,24.376547619047624,23.69833333333333,25.039523809523807,24.723452380952377,25.31333333333333,22.81,26.66666666666667,24.6225,24.43666666666667,26.4146,25.97183333333333,25.14725,25.211722222222217,25.204166666666666,25.180000000000003,22.15,22.655,,,,27.735833333333336,28.26233333333333
1,SC,,,,,27.708571428571428,28.56258928571428,29.278000000000002,26.834444444444443,28.625000000000004,29.42375,31.14,31.034285714285712,30.58142857142857,30.012857142857147,29.325714285714287,29.69833333333333,27.728571428571428,28.654285714285717,29.75,22.09,27.19,,15.83,,,,28.255,,,,25.3,,,,19.78,,26.790000000000006,29.721666666666664,27.57,31.715999999999998,30.54,29.351999999999997,27.6825,26.706,29.1225,,,,,,,,,,,,,22.9575,23.47090909090909,20.48,23.021818181818183,
2,IA,,,,25.135,28.98466666666667,26.802523809523805,26.999693877551017,25.035793650793646,25.74007936507937,27.009888888888888,26.64033333333333,26.823892857142855,26.057523809523808,26.384047619047614,25.092202380952376,26.10494047619048,24.020452380952378,25.188369047619048,26.3208253968254,26.27,28.29546666666667,28.6896,27.3936,27.337277777777768,27.29138888888889,25.745142857142852,26.476857142857128,27.239841269841275,27.92768253968254,26.395773809523806,26.38909523809524,25.86238095238095,25.87066666666667,25.073412698412696,27.77222222222223,26.688547619047608,26.201214285714286,27.929166666666664,28.117089285714286,27.129166666666666,28.24166666666667,28.061190476190475,25.65142857142857,26.808333333333334,27.62614285714286,29.628750000000004,28.705714285714286,29.667500000000004,28.302857142857146,25.6025,,,,,,,,,,,,
3,NE,,,,24.64033333333333,26.792075630252103,25.918879365079366,26.61570684523809,26.297392063492065,27.078803030303035,27.640957482993198,27.075261904761906,27.336880952380948,27.2028537414966,27.17400170068027,26.673623809523807,27.743257142857143,28.36255555555556,28.15240306122449,27.95803174603175,26.601944444444445,27.432261904761905,26.28809259259259,26.524185185185186,28.348523809523808,26.452720238095235,28.39623809523809,28.0008492063492,28.246444444444442,28.961861111111112,28.561444444444447,27.82488888888889,31.896,26.53238888888889,28.312305555555554,27.908,31.305100000000003,28.24033333333333,28.423333333333336,28.885,31.299800000000005,33.489583333333336,27.22866666666667,32.064722222222215,29.058166666666665,23.319000000000006,28.850666666666665,28.96125,30.7315,29.713125,28.17733333333333,28.864,31.71533333333333,27.974,27.43,,,,,,,,
4,KY,,,,26.825,28.9125,27.83457142857143,27.550261904761907,26.95583333333333,28.07041666666667,28.96083333333333,30.055476190476192,30.322678571428572,26.985619047619046,27.768809523809534,28.054190476190477,28.691746031746028,27.75087301587301,29.340714285714284,27.64142857142857,26.63642857142857,26.66866666666667,28.595952380952387,28.63916666666667,28.32007936507937,27.69051587301588,27.87722222222222,28.98614285714286,29.12942857142857,27.766904761904765,27.73,27.51928571428572,31.06125,27.81946428571429,31.748214285714283,39.1,29.51,29.016666666666666,26.974285714285713,,,,,,28.9825,28.75,28.710000000000004,28.349000000000004,30.517142857142854,30.21,28.322857142857146,30.648571428571444,29.86285714285714,30.004285714285718,27.89428571428572,28.00142857142857,29.272857142857127,31.44857142857143,31.376666666666665,29.825,30.457142857142863,29.712857142857146,32.204
5,MO,,,,24.852222222222217,26.493,28.220595238095235,26.47934523809524,26.82857142857143,28.340000000000003,27.982888888888887,28.41821428571428,28.430571428571433,29.90203333333334,28.975365079365076,27.414859523809522,29.067222222222213,27.79725,28.19242857142857,28.914603174603176,,27.70333333333333,25.964285714285715,27.84166666666667,27.321666666666665,29.525,20.696666666666673,28.028666666666666,27.39833333333333,28.574,26.535999999999998,29.916500000000006,30.44375,29.30333333333333,29.599,28.407630952380963,29.17857142857143,27.699666666666666,27.68998571428572,30.25141666666667,29.535818452380948,28.915972222222226,29.444875,24.75125,28.686,23.827625,25.322404761904764,28.88585714285714,29.15458333333333,,26.92625,,24.243125,24.712962962962962,17.84,26.52,27.49288888888889,26.240190476190477,25.159523809523808,17.557767857142856,27.29714285714286,22.10416666666667,19.1125
6,WI,,,,18.8,,24.788333333333334,25.535999999999998,24.748,23.72041666666667,24.495,24.463166666666666,24.531666666666666,25.3395,26.968000000000004,25.754,26.331999999999997,25.62983333333333,25.42466666666667,25.66875,25.44,23.421,23.35883333333333,22.62333333333333,24.063,22.75708333333333,24.08283333333333,24.08775,24.865,27.97625,25.70625,28.805,27.70625,24.204666666666668,25.71733333333333,24.403333333333336,27.86541666666667,26.2525,25.59,29.425,27.3825,26.320000000000004,29.286666666666665,28.61,25.59333333333333,22.7,24.76,27.040000000000006,26.106666666666666,,,,,,,,,,,,,,
7,GA,,,,25.207777777777782,28.39357142857143,27.034444444444446,30.33160714285714,26.747070707070712,28.18125,25.91909090909091,21.74413636363636,26.066161904761906,25.922090909090908,26.152929292929286,24.10159090909091,25.801565656565657,25.29789141414141,28.32948412698413,29.908188888888887,26.11846428571429,26.835,27.296777777777773,28.30289682539683,27.819630952380948,28.687276190476194,28.880912698412693,28.854086850649352,28.68334415584416,27.00638798701298,26.459776785714283,27.373293650793656,27.015625,24.936262626262625,26.390476190476193,29.214533333333332,29.32428571428572,28.696785714285717,28.081999999999997,26.221999999999998,24.74,29.355,,,,,,,,,,,,,,,,,,,,,
8,SD,,,,22.445999999999998,24.683888888888887,24.28322222222223,26.306653061224488,24.93081632653061,24.981863095238094,28.1648125,28.16452083333333,27.00294940476191,27.04933333333333,26.68739417989418,25.86468253968254,26.03625925925926,27.043809523809525,27.098452380952377,25.645,25.423875,26.6054,26.678285714285714,27.240200000000005,25.40425238095238,24.923333333333336,26.461357142857146,25.409349206349212,27.54405555555555,27.16426666666667,27.20490476190476,27.510539682539683,28.02744444444444,25.136111111111113,25.355277777777772,26.427277777777782,27.368777777777783,26.98873015873016,27.32633333333333,28.067142857142862,27.95119047619048,29.05083333333333,29.263333333333332,29.27333333333333,26.425,31.60142857142857,35.575,35.70533333333333,34.651,30.827,33.014,26.93666666666667,25.32144444444444,31.69,24.99666666666667,29.8625,,,,,,,
9,WV,,,,,,26.736547619047624,24.937142857142852,24.943452380952376,25.483571428571423,28.230357142857148,26.46666666666667,24.08,25.38333333333333,27.94,29.9,25.965,,,24.051666666666666,26.31388888888889,28.32420833333334,26.29944444444445,26.053880952380954,25.46642857142857,23.790000000000006,25.218253968253965,26.407142857142862,27.101507936507932,27.79761904761905,25.156,27.66666666666667,28.54833333333333,27.28,31.3475,32.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,AL,,,,,,,,,,,,,,,,,25.2425,22.5225,27.95133333333333,24.709027777777774,22.386742424242424,24.20346590909091,25.219777777777782,25.26136363636364,26.86772727272727,26.448454545454545,26.127272727272725,25.53909090909091,25.298181818181813,26.38444444444445,26.768181818181823,27.058000000000003,26.95,27.914444444444445,27.28100000000001,29.959,25.445,,20.4,33.83,28.61,,,,,,,,,,,,,,,,,,,,,
11,NY,,,,17.810000000000006,24.34729166666667,24.47752083333333,23.71485416666667,24.14208333333333,24.701904761904764,26.896428571428572,25.58333333333333,25.289960317460324,24.88613333333333,24.35906802721089,23.381309523809534,24.54885714285714,22.62080272108844,23.84725,22.687703703703704,23.273369047619052,24.071,23.06358843537415,24.203666666666663,24.69333333333333,23.528142857142853,23.993761904761907,23.35621693121693,24.05008333333333,23.96483333333333,23.313523809523808,22.49285714285714,24.16975,26.019375,23.818285714285718,25.94816666666667,24.28258333333333,23.1835,24.393166666666666,24.4845,23.40916666666667,22.78708333333333,21.112166666666667,26.61133333333333,26.49325,25.248,25.3985,24.118000000000002,26.078000000000003,26.438000000000002,30.77,,,23.71666666666667,26.97,26.332000000000004,27.134,29.244,27.784000000000002,25.99,24.92,25.163333333333334,28.01
12,RI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,MT,,,,20.8325,22.56,24.88366666666667,24.999,22.53175,23.28325,26.011111111111113,25.922375,24.00466666666667,21.9605,24.788222222222217,23.490111111111123,25.09953333333333,24.52,23.11833333333333,24.496166666666664,25.0236,25.4515,27.172976190476195,25.446714285714286,26.594166666666666,26.611125,25.456291666666665,22.520875,26.2405,25.37,26.5225,26.065119047619053,25.6865,24.40625,23.95625,25.30920833333333,26.75666666666667,24.91,24.475277777777773,25.076166666666666,24.28433333333333,25.15908333333334,24.71233333333333,24.77333333333333,26.743333333333336,19.075,16.89,25.39,24.426666666666666,25.6,,,,26.79666666666667,27.7675,25.27,25.275,23.694000000000003,25.255,26.934,27.9625,26.828000000000003,31.315
14,IL,,,,25.87,30.9,28.430000000000003,27.26475,26.55616666666667,26.457142857142852,27.516571428571428,26.900253968253967,28.030555555555555,27.593888888888888,27.22714285714286,26.69440476190476,27.589666666666666,27.08166666666667,27.16107142857143,27.294642857142854,28.89,26.835,26.660416666666666,29.165555555555557,28.040555555555557,28.287269841269847,27.108976190476195,28.881999999999998,27.038333333333334,29.203125,27.76958333333333,25.614285714285717,29.865,27.8975,,18.95,27.09,29.66025,27.10533333333333,29.47039285714286,26.511968253968263,26.722222222222214,26.575714285714284,26.737619047619052,26.913,23.5185,23.6225,24.89,26.673,25.724166666666665,22.65232142857143,26.36,25.94875,28.20208333333333,26.80883333333333,26.26083333333333,25.86642857142857,27.05559523809524,24.834166666666665,25.82133333333333,22.723333333333336,,
15,MA,,,,,,,,,,,,,,21.83333333333333,25.56333333333333,25.98333333333333,25.676,24.504,27.466666666666665,27.112,27.835,23.89,24.91666666666667,,,,,,,,,24.910000000000004,,,,19.02,,,,,,,,,,,,,,22.000416666666666,23.15666666666667,22.65333333333333,22.368333333333336,22.53,21.94333333333333,22.50666666666667,22.46,21.97166666666667,22.96333333333333,21.70666666666667,22.445000000000004,23.65
16,FL,,,,26.14166666666667,29.77636363636363,30.631029220779208,29.31754545454545,30.040990909090908,29.49266363636364,28.067590318772133,29.471380165289254,30.806386363636364,30.251262626262626,29.901590909090906,29.6479393939394,30.86842873176207,29.710841750841755,30.32290796857464,29.471107744107748,28.03448606601732,27.14962436868686,27.963695346320343,29.90649350649351,30.703077922077924,29.906565656565657,31.132847866419286,31.15065127465128,31.11487445887446,30.347581168831173,31.276896103896103,31.100306818181814,30.959244318181817,30.214653409090914,30.161399711399714,30.17126136363636,30.61561647727273,29.64527272727273,31.42807407407407,29.107181818181814,29.90534632034632,31.623696969696976,32.345454545454544,31.175,,,,15.52,26.605,,,,,,,,,,,,,,
17,TN,,,,22.75333333333333,26.85763636363636,28.995277777777765,27.90013888888889,28.057407407407414,28.261999999999997,27.71612373737374,28.617083333333333,27.637952380952377,27.142777777777773,25.130595238095246,24.6488125,26.94313888888889,26.10183333333333,28.268006944444448,26.209678571428572,26.56100793650794,25.385555555555552,26.25232142857143,28.5336875,28.279553571428572,27.875416666666666,29.009434523809524,29.17892857142857,26.214305555555555,25.965854166666666,27.047785714285716,28.427232142857147,29.604047619047613,26.18771428571429,27.65957142857143,,,,,,,,,,,,,,,,,,,33.18625,29.964666666666666,32.266000000000005,33.34,,,,,,
18,NH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,ME,,,,17.8175,24.2605,26.2975,29.17,25.8675,25.21,,,,20.97,,20.6,23.10333333333333,27.64,,25.572,27.07,25.44,25.39,,26.13,,,,,,,,,,,,,,16.62,23.454,24.412,22.234,23.43200000000001,22.855999999999998,27.674,29.85,25.56333333333333,22.526,21.605999999999998,23.608,,,,21.243333333333336,18.802,19.42,,,,,,,
20,KS,,,,25.56375,28.06559523809524,27.08508503401361,27.44976984126984,25.759598639455785,26.688531746031746,26.85211111111111,27.597976190476192,27.000684523809525,26.348815476190477,26.080505952380953,25.414357142857146,26.92355357142857,24.90431216931217,25.647928571428572,28.098074829931974,28.57625,26.40916666666667,27.008714285714287,29.290194444444452,30.12266666666667,28.258404761904764,26.58777777777777,32.379999999999995,26.871666666666666,30.19233333333333,29.271809523809534,29.879047619047622,29.68044444444445,29.109365079365077,28.089440476190475,30.763600000000004,29.8319,30.7725,32.83,27.671,27.058809523809533,29.58333333333333,30.12333333333333,31.136000000000006,,,,,,,,,32.330000000000005,27.925833333333333,36.925,24.26,,,36.0075,35.361999999999995,21.301666666666666,29.74,36.865
21,OK,,,,27.83142857142857,29.949964285714287,27.98353395061729,27.57904541446208,28.037203869047623,27.95903968253968,30.515866402116398,27.22933035714286,28.78998324514991,28.820497354497352,29.566396825396822,29.164761904761896,27.785999999999998,29.627257142857147,31.960639880952385,31.34971428571429,30.000625000000007,26.137500000000006,27.59972222222223,27.292619047619052,29.83658333333333,25.19271428571429,27.20888888888889,28.169107142857147,28.59267857142857,24.512222222222217,30.92196428571428,27.782057142857145,30.30386111111111,28.825047619047623,29.67730555555555,28.761492063492064,28.71566666666667,28.91535238095239,25.871875000000006,30.646785714285716,28.636875,26.90142857142857,29.72357142857143,30.7075,29.642976190476194,29.755714285714284,29.978571428571428,30.335,28.12516666666667,28.780714285714282,30.43257142857142,28.067500000000006,30.00542857142857,,,31.460000000000004,,,,32.248000000000005,34.372,,
22,LA,,,,25.65833333333333,27.93600000000001,26.913636363636364,26.46654545454545,26.24909090909091,28.904242424242426,27.915,27.36772727272727,27.573181818181826,27.18727272727273,26.46275,25.51085227272727,27.77630681818182,26.674,27.297142857142862,27.85272727272727,25.434444444444445,22.831999999999997,26.3425,29.861,16.65633333333333,28.325,31.256666666666675,31.22125,25.69,,,,,,,,,,,,,,,,24.6475,26.68200000000001,29.337777777777767,27.468888888888888,25.015,29.521166666666666,29.72811688311689,36.18333333333333,33.385714285714286,,,,,,,,,,
23,AZ,,,,22.16833333333333,24.372647907647906,25.99761458333333,26.8093125,25.408214285714287,26.47900264550265,26.567647907647906,26.704065656565657,25.40776666666667,26.570203703703708,26.10990750915751,26.091997252747248,27.289712301587304,27.032881944444448,27.113077441077444,27.045484415584422,26.80854497354497,26.563320512820514,27.993684981684986,26.633896890987803,27.653327272727275,27.3655,28.731522921522927,27.764636363636367,28.12078696051424,30.38156198347107,27.88251515151515,27.45735606060606,28.983854545454545,27.610196969696965,28.88608787878788,29.143262626262626,28.346457070707068,30.110434343434342,27.92382424242424,29.314519480519486,28.445704545454547,24.55954545454545,28.826500000000006,27.62454545454545,27.94181818181818,27.281818181818174,27.39454545454545,27.04181818181818,27.179090909090906,26.175454545454546,25.78090909090909,25.475454545454546,24.08363636363636,25.555,26.32,25.23909090909091,30.203000000000003,29.91,29.135,,,,
24,CT,,,,,,,,26.258000000000003,26.85,27.653333333333336,27.6075,28.4725,,27.5875,,26.72,,,28.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,OH,,,,24.1825,26.384285714285717,26.334523809523805,25.39833333333333,25.47273809523809,27.288,26.490357142857146,25.528095238095247,26.437142857142852,24.74315476190476,25.133571428571425,24.805,25.280476190476193,25.06142857142857,26.856904761904758,25.64916666666667,27.768,27.723214285714285,25.52917460317461,27.1269387755102,27.265047619047614,26.36289795918368,25.526452380952378,25.905297619047623,24.454523809523806,24.64142857142857,27.47642857142857,22.934285714285718,24.934285714285718,22.24571428571429,23.74571428571429,23.85,24.54714285714286,24.866666666666664,24.63666666666667,25.78,25.062857142857148,23.021428571428572,23.547142857142855,23.67142857142857,23.56571428571429,,,,,,,,,,,,,,,,,,
26,DE,32.065,32.42,,29.36,32.4025,33.156666666666666,31.5875,32.473333333333336,33.00333333333333,32.06333333333333,31.025,32.625,28.16333333333333,32.5225,31.835,33.45,29.515,30.083000000000002,29.362857142857145,28.465,29.27482142857143,26.527285714285718,24.959047619047624,28.41428571428571,27.730000000000004,28.40142857142857,27.955714285714286,28.99333333333333,26.85,27.467142857142854,28.315999999999995,,22.77,23.53,25.43,27.285999999999998,27.36333333333333,20.88,,,,,,,,,,,,,,,,,,,,,,,,
27,MS,,,,,,,,,,,,,,,,,,,29.71,,,25.55666666666667,26.72,26.631,28.366363636363634,24.15888888888889,27.180555555555554,28.538888888888888,20.33,24.275,21.0,,,,30.5,23.048181818181813,25.79,,,17.118333333333332,30.85833333333333,30.06875,25.081999999999997,30.898000000000003,30.621875000000006,34.39309523809524,31.33,29.350416666666664,27.972222222222218,27.81,34.81928571428571,32.57714285714285,29.57428571428572,24.45,,,,,,,,
28,CA,,,,22.197202380952387,23.874895887445888,23.644160123966948,24.214961093073594,24.666713131313127,24.12371387790953,24.498643458393456,23.85066355866356,23.673916464646464,24.472066484955374,24.49462139917696,25.09381790431791,24.370776666666664,24.533741106719365,24.670722451790628,24.58287121212121,24.617590476190475,21.064124579124577,23.80214802789803,23.936649991983323,22.657582887700528,24.121379679144386,24.59537554112554,24.616275365259746,24.82054065205628,24.07709040404041,24.226148200757574,25.39851740089975,24.575162089646458,24.760115355233,23.907398565486805,23.30035531788473,23.950267045454535,24.333851010101014,25.069425505050503,25.033772885101012,22.595665800865802,24.42020303030303,23.32164817821068,23.931935683364248,23.759143434343443,24.958951221397648,25.012578512396693,24.149801652892567,23.88178145087236,23.722223484848485,23.837043434343432,24.77027272727273,23.769612794612797,25.479725829725822,26.43728535353535,25.53875,28.91465909090909,25.478084415584416,21.46252813852814,23.861327561327567,24.021974025974032,24.150577200577196,26.69091836734693
29,AK,,,,,18.185,18.257777777777783,20.69444444444445,20.19055555555556,19.251666666666665,16.593541666666667,17.939999999999994,17.983333333333334,18.906666666666673,17.374333333333333,20.299000000000003,18.821000000000005,19.593333333333334,21.145625,18.371833333333328,20.150444444444442,20.085,19.896666666666672,18.55,20.93,18.951,17.6705,20.377,21.101333333333333,17.105,24.8675,20.4515,16.7,19.598333333333336,21.495,20.17875,19.67525,20.346666666666668,19.54,,,,,,,,,,,,,,,,,,,,,,,,
30,TX,,,,26.632444444444445,27.383129292929297,28.256874777183604,27.83574361259656,27.226478121551647,26.85298849607183,26.68686688311688,26.98191622103387,27.065904280904284,28.20447811447812,27.60884090909091,27.009281043517884,27.669556353003717,27.045419588744586,28.37058181818182,27.86637916666667,26.504256012506012,24.463665015540013,25.83801250601251,27.708611712361716,27.69611625874126,27.27626584813655,28.823706722396373,27.956357297464443,26.43912012987013,27.766073461891647,29.062503520923524,29.06513797313797,26.92923941336441,26.595898212898213,26.01036636363636,27.703846445824713,28.335668078298518,27.47211288600289,26.568717584003306,28.80402249770432,28.012798611111112,29.486968855218848,28.076610959216218,28.27330756545043,28.865809363476032,27.559290704665703,30.37678537252222,28.306144300144297,29.05646011904762,27.71798593073593,27.71358189033189,27.523469393179926,29.16632186948853,29.205437421837424,27.405,28.58766003787879,23.110186688311693,29.174042632204394,29.186707900432896,29.22600282234105,28.69883008658009,29.617164975649352,31.64915343915344
