,State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,CO,17.19720141895142,16.903086683668366,18.487423600735546,18.64105542929293,16.801245562770564,16.700301554232805,18.17226608296076,17.252619579572972,16.418477529128356,16.591825799315473,16.45959873081464,15.876292475536616,16.49321121351766,15.577838162537745,17.131786877394635,16.695460555813238,17.386430596926008,17.829939301269576,16.590593981910946,16.375206873934147,17.629441759206976,17.883812089145426,15.803040704160454,15.295942367220595,15.525059418025586,14.278575031621328,13.602008667452385,14.664084302048769,14.601811129842377,14.47727772714615,14.413867603089006,14.406238352506282,14.134469281385284,13.379754574712253,14.762073497249274,14.011935960444784,14.744772165955935,14.053119881694352,14.634785920784195,15.05526461475856,15.532775727838228,15.59021884018759,15.166044088348926,15.138256150793653,14.440814084036633,15.066218927440081,15.058627278111606,15.130669143397212,14.282652303497155,13.89160045860908,14.459869316433029,14.319392023719587,16.09660216788109,14.073909594750376,14.330950817700815,14.88621678936499,15.282620915480106,15.618505636181085,14.849014376569931,13.974851601641975,15.434390109803394,13.752755362848015
1,SC,23.245950084637585,24.159228127839235,23.71770413961039,23.73258441558442,22.94555113636364,23.874630382775127,23.37596772268136,23.268251187196647,23.610151869342776,23.087248367129952,25.13924705070757,24.133476394674517,23.83378383036716,24.217948820212712,24.61016225598301,24.456589062049066,23.761937777777767,24.954098232323236,24.435721428571423,24.115909812409807,24.335597643097643,24.51190578643579,24.675970707070714,24.402605,24.977231206293713,25.02506216006216,25.351016676195922,24.372999354811853,23.90998680198209,23.70217293555501,25.835688202782546,24.76618186769657,23.60439627759072,24.14618608159517,24.378029063360877,23.879208275477144,23.52180051137946,23.94099869664386,24.850115445841638,24.697769424628586,24.237174263644853,24.522664868220016,24.302761101272463,23.491618692173837,23.428150005696054,23.791371888528143,24.483147816318702,25.06004641350211,24.38653528399312,23.40575434521783,24.07252363127069,25.08232570018365,24.80122705040437,22.702007054673718,23.80133317550505,24.447032693001447,24.964298058423058,24.789449746104808,24.683791245791245,25.05179365992657,24.02482689462436,23.943620855937315
2,IA,16.21764007260101,16.423473214285714,16.409471794871795,17.552175213675213,17.193914647541508,16.566052874157354,16.860372359963264,16.366238423192964,16.451284537684536,16.21342833092833,16.737815498737373,17.29367568542569,15.378239458072793,17.0293555903422,16.780871933621935,16.296980397192264,17.153454713804713,17.692452723960923,16.49154247692343,15.384840854061196,16.49129251035703,16.95654374699375,16.675927680162975,16.298083770396268,16.591248129442572,16.30896667108402,16.873464015151516,17.426296315928973,18.386554874894497,16.188195286195285,16.654904601571268,17.249129788450542,16.281457322551663,14.541786809897921,17.088065751858206,15.548088772338774,14.25468554396423,15.473195802895019,17.220711805555556,17.50998386058386,16.979046386946386,16.532000612182433,16.26966063698207,16.59410374875516,16.36575290577003,17.735275042900042,17.56506057239057,16.835811802232854,15.260692151780967,15.351148688450058,16.753717791598074,16.684926443926447,19.264420653907496,14.929303116883116,14.878189393939396,17.224001482001484,17.641733222637328,17.38027314814815,15.647186147186147,15.33398224670952,15.98994898989899,17.900487394957985
3,NE,17.428042029490303,17.3178803239771,18.015524895696085,19.29606040834166,18.71157187950938,17.65615645021645,18.23152727272727,18.53056313131313,18.48125802159057,17.373188070020593,18.462668006596576,17.931429398148147,17.127980794337937,17.462678316781258,19.370407908648005,17.63857872413455,18.763734529763656,19.338137960224604,17.005311831911346,16.293019536019536,18.737455443722943,18.99227406520125,17.095090526253788,16.918020107277687,17.310142892510537,16.578123179850454,17.862764603316073,18.701471390778533,19.14254601421424,16.94003948362126,17.901340886340886,18.827273530762167,17.20927201877202,15.508165304915307,18.177476423527306,17.222782805935463,16.024634923799397,18.006708410214554,18.410614650441424,19.058037065002186,18.598424649634875,18.271119130869128,18.45569968667696,17.554147036448054,18.095158824583322,19.169174814814813,18.930894451908244,18.399043526309367,16.684384426456347,16.200642133119405,17.669486335606834,17.577544503710573,20.44178378843379,16.814049263123035,16.599351340536213,18.59330264226903,19.593322257074377,18.866074121541224,16.627882536853125,15.468027037487975,18.70684332573042,17.635660173160176
4,KY,19.96582655559929,20.602895299938158,20.559798901173906,20.881759203880915,21.20724789486182,21.218288787878784,20.333902644869756,20.26129004329004,20.45627380471381,20.12140473817119,20.58235555555556,21.10433259259259,20.216451624378703,21.163309684143016,20.547375701459032,20.771335177168513,20.46836661382436,21.103756899985765,20.357703378026297,19.57493486333928,20.79632624201196,20.859006164587047,20.71395399886309,20.86335120140802,20.87003395493395,20.92616794999172,22.096398192450827,22.219512626262627,21.52942307931532,19.83102367123617,21.5546534906892,21.57106201357841,20.505582618052443,20.06250753778385,21.678920852614823,20.97429417609681,20.000837428166374,19.722661840075634,21.877903878688358,22.04201693722944,20.527129876349704,21.333875830908614,20.896451178451176,20.90563515436051,20.783750243750244,21.257901972101976,20.802387973137968,21.03307446669796,20.772351276369136,20.077280406746034,20.783326298701297,20.580326717097336,21.749002068881587,19.529154115193744,19.93570709881749,20.933972943722946,21.592257720057727,21.350246489996486,20.44282723665224,21.21641311667399,20.50201867021867,19.735450819672135
5,MO,19.64710468319559,19.60676093900313,20.70358630441885,21.243048096169066,20.423718835177173,20.710900925925923,20.577237812235662,19.738942214634022,19.805129435379435,19.271947949320797,20.550410333493666,21.091423904220783,19.63343135704875,20.15657245974282,20.618643939393934,20.15616022942399,20.549299367047094,21.329125365625366,20.143945286195287,19.75115921717172,20.555419329195878,20.68356298126652,20.176711455828126,19.914532904230274,20.526463288802,19.83353778659612,21.096283707865172,21.633118080152176,21.650821189422306,18.728010334903196,20.660373316498315,21.124831156532863,19.591815188779474,18.687712016995352,20.400917423458182,19.78305082070707,18.654044884939626,18.99973047210926,20.715848984348987,20.964554755778813,20.412767987513035,20.70066071775447,19.968446750669962,19.624695148203347,19.93484873094176,20.83044214160943,20.770428560818264,20.78118531230674,18.895018109173925,19.118611697931694,20.637721809225255,20.48769676007176,22.756487246712595,18.609308207339925,18.467149188173995,20.191569772528435,21.241633011782614,21.12762211846923,19.898588347460198,19.445610990860988,20.03178785624098,19.491335758377424
6,WI,13.759954061974684,14.609202292605353,13.660489084622743,15.057968912425224,14.758672494172494,13.407384630619926,14.386601893433669,13.14371991762283,14.590836270385795,13.990663437772348,14.180329275784722,13.932253217601705,12.675657080513876,14.386950930512786,13.707694236176195,14.16320500559531,14.225056247607267,15.21017367553082,13.789751724837663,12.549620583597386,13.674464516594515,14.174068077684055,13.059089447102606,13.315477075954346,14.290941021324356,14.375351704737346,14.745702775174424,16.74995676038418,16.37429428786344,13.898592676767676,14.987572336393766,15.286393274260464,13.668529397473275,13.115650793650794,14.701900533108866,12.574035414384811,11.700302795395821,12.754398518148514,15.765513766369901,15.16826229614201,13.924819194450775,15.068795223665225,13.859623952747086,13.752763385174498,13.526815835643172,14.586982853589197,14.926868391948686,14.542425663780662,13.018891411813991,13.125556870696116,14.99214554744457,13.698572550659973,16.17045804195804,12.34542543147642,12.161472116696606,14.553170948616602,15.207533456153689,14.582283676609848,13.893504241635098,13.035266997708176,14.443582448415782,16.116153813737885
7,GA,24.646083412247478,25.086319362099253,25.091645497528482,24.90694060058715,24.83162433862434,24.769369904931676,24.405860724896016,24.78523338031478,24.635609820426488,23.45172959850607,25.458083657083648,25.201047447922445,25.026091956146843,25.317721771284276,25.32404051041551,25.416195609152755,24.76460625876471,25.519820879824405,25.500708912938908,24.892971973253665,25.50815431869718,25.32512222831941,25.62264236045758,24.642842470624608,26.02431422402075,25.965612669134412,26.622636217244917,25.460057474329208,24.75070331996435,24.488574542695872,26.566496861471858,25.097918516800657,24.089440099755315,24.64748397536441,24.669325579741074,24.623470789831085,24.297397525984483,23.548606564668212,25.771391419016414,25.077586953876114,24.889269504569512,24.829464520986253,24.750667245612807,24.611097887744442,24.67492661524704,24.34898985654868,25.323784461152886,25.678260390703567,24.937966422678254,24.026238059438445,24.4977498057498,25.95026233822164,25.66988196662172,23.641639822069568,24.209570033037142,25.60817331523253,26.083858651449557,25.32094924776869,24.837044007786197,25.85571009486967,24.775982470635697,23.63782413419914
8,SD,15.685153423931904,16.720638203463203,16.303464773547162,17.90545557833979,16.51181224478831,15.756162995280185,16.150719347376562,15.934072780435939,16.105655058099796,16.063045484607986,16.071869613997116,15.626369528619527,14.935896111738506,17.218985870610872,17.272708537235705,14.987056588613406,17.82766387085137,17.352645590520588,15.029523148872547,15.718990033670034,17.355521649896648,17.195924508240296,14.778342539682539,15.252201571701569,16.090321103896102,14.618906904869592,16.10044499341239,18.25673997698998,17.58754847345637,15.399895100270099,17.057331102840248,17.055355999014534,15.388968737701692,13.873948741382074,16.17441600790514,14.493011061704,13.452978307923956,15.87782675056902,16.48577812927813,17.628845323150202,16.173240813450114,15.778742993998947,16.013222854966905,16.25574006458023,16.118503670113174,17.00820198895593,16.368599541930937,16.117936490893182,14.22534756657484,13.679637899061456,15.201236834208071,14.596487484737484,18.469255591630596,13.986935779816516,14.330722610722614,16.367758600860085,17.206631174661478,16.444198518372758,14.1380804547686,12.837509905910414,16.367241624317714,15.583971532091098
9,WV,17.756096275252524,18.80641554893194,18.56298158482143,17.627742983151432,19.633466371792462,19.44589600004373,18.654998125191305,18.194073195725366,18.681787727168164,18.30633895679484,19.381697931697925,18.708462903684737,17.572153135835972,18.496825158093547,18.85984070544152,18.343654401154406,17.914692333167746,19.228462836493012,18.228872802971164,17.272882575757578,16.82780750477121,16.39853957544192,18.8732170846395,18.214106017067227,18.467511600972127,18.08078281584316,18.495369336219333,19.450260630110627,18.769628060263656,16.631868234402134,19.45585941309648,19.254511684643038,17.502933008658008,17.934587595737593,18.377892414932735,16.876276724157677,16.74902732267732,17.142306266894295,18.51236964742085,18.902600131567773,17.859108017780432,18.89424244064017,18.338013518005084,17.797953338945003,18.434969733450075,18.34578154515938,18.121642438340718,18.754093283331656,18.25287329200292,17.657402201022574,17.372384974747476,18.7712370301656,18.741629769667746,17.438307198973867,17.648911752096534,18.535737018292167,19.408466698232324,18.76404752442457,18.442118033786137,19.519002015226157,18.619774563234387,18.937768077601408
