,State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.0,282.72727272727275,233.63636363636363,225.8996856318285,234.07142857142856,229.54545454545453,241.23376623376618,230.64935064935062,244.2077922077922,236.1038961038961,232.2077922077922,233.52380952380955,229.2727272727273,221.61645021645023,240.26623376623382,235.91515151515148,222.46969696969697,221.96094276094277,227.30303030303028,255.19480519480518,222.75757575757575,232.4181818181818,224.5878787878788,236.60606060606065,237.3131313131313,254.67532467532467,220.59523809523807
1,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.77777777777774,246.3636363636364,247.55050505050502,138.6184573002755,200.31068931068933,210.62937062937058,204.82517482517486,206.4242424242424,238.1298701298701,232.63347763347764,217.66233766233762,205.6493506493507,210.8225108225108,222.922077922078,212.0779220779221,206.23376623376626,228.70129870129875,180.5194805194805,210.84415584415584,215.91558441558442,215.5194805194805,206.57142857142853,203.79870129870133,214.9350649350649,233.0519480519481,216.73469387755105
2,IA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.3232323232324,238.26446280991738,260.08264462809916,242.0661157024793,251.40495867768595,253.80165289256198,262.31404958677695,244.54545454545453,246.28099173553719,225.900826446281,260.8925619834711,267.5206611570248,257.76859504132227,239.77272727272728,265.21487603305786,245.53719008264463,270.92561983471074,264.7107438016529,256.3636363636364,229.3305785123967,194.79338842975204,241.48760330578511,256.9586776859504,241.92640692640686
3,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268.3333333333333,226.3636363636364,273.56060606060606,250.9090909090909,299.0909090909091,245.9518259518259,256.61038961038963,253.5858585858586,246.010101010101,256.66666666666663,253.33333333333331,247.13131313131316,250.40404040404042,270.8585858585859,265.35353535353545,284.9444444444444,272.6262626262626,261.8686868686869,239.74747474747468,264.24242424242425,237.89772727272728,258.7012987012987,247.0808080808081,270.37878787878793,247.5757575757576,263.6262626262626,280.20707070707067,285.80808080808083,256.8571428571429
4,KY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.0,242.72727272727272,260.90909090909093,259.09090909090907,255.45454545454544,260.45454545454544,257.8787878787878,255.45454545454547,272.1212121212122,281.5151515151516,274.8484848484848,280.0,266.6666666666667,262.12121212121207,262.12121212121207,259.09090909090907,266.96969696969694,264.24242424242425,258.4848484848485,267.87878787878793,277.2727272727273,271.2121212121212,265.7575757575757,239.6969696969697,242.4242424242424,239.6969696969697,220.47619047619045
5,MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.83333333333331,207.27272727272725,209.54545454545456,230.90848965848969,234.385026737968,235.8636363636364,243.0681818181818,253.43434343434345,232.99465240641712,232.6042780748663,254.81283422459893,244.63636363636363,229.57219251336898,255.0053475935829,241.92513368983958,217.16577540106957,232.83422459893046,252.79679144385025,239.35294117647058,234.48863636363637,219.8395721925134,233.85026737967914,247.9679144385027,239.24064171123,231.35249554367203,256.6149732620321,226.45658263305324
6,WI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.03472222222217,214.17249417249425,198.755980861244,235.26315789473685,244.44976076555022,231.72248803827756,238.46889952153114,237.32057416267943,226.2121212121212,227.87878787878788,213.40067340067338,232.1834130781499,193.30143540669846,194.6411483253589,230.3349282296651,222.200956937799,221.4976076555024,244.3636363636364,239.61722488038276,222.5358851674641,209.76076555023917,222.73684210526315,227.41626794258374,246.85714285714292
7,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.09259259259258,255.74242424242425,235.92532467532467,229.0,207.2181818181818,239.1818181818182,229.4090909090909,230.6363636363636,229.72727272727275,238.3181818181818,206.3181818181818,214.68181818181816,196.77272727272728,217.5909090909091,258.1363636363636,188.8636363636364,250.86363636363637,217.04545454545456,235.54545454545456,238.01818181818183,218.2136363636364,218.6818181818182,241.1363636363636,244.08333333333331
8,SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.47089947089947,278.8914141414141,273.030303030303,278.90909090909093,280.6060606060606,271.27272727272725,275.81818181818187,272.1090909090909,275.7792207792208,250.9696969696969,268.45454545454544,276.73333333333335,276.3636363636364,261.830303030303,267.5878787878788,264.0808080808081,275.75324675324674,287.79220779220776,278.96103896103904,253.5779220779221,266.03896103896096,278.2467532467532,274.12121212121207,257.61904761904765
9,WV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.9090909090909,215.45454545454544,251.2554112554112,249.09090909090904,249.26136363636363,253.97727272727275,241.3636363636364,253.4090909090909,241.3636363636364,270.90909090909093,250.6818181818182,258.06818181818187,266.02272727272725,247.27272727272725,254.43181818181813,261.02272727272725,252.95454545454547,249.0909090909091,242.95454545454547,270.52272727272725,273.9772727272727,267.84090909090907,233.75,256.7045454545455,244.0909090909091,270.1785714285715
