,State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,CO,274.3636363636364,222.375,217.66666666666663,206.8181818181818,223.33333333333331,239.0909090909091,212.8333333333333,226.3,258.22727272727275,264.22727272727275,263.62121212121207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.45,242.7110389610389,258.3766233766234,247.58522727272728,271.9488636363636,252.32954545454552,251.43939393939397,241.70454545454544,279.8674242424242,266.09090909090907,288.8888888888889
1,SC,249.5060606060606,245.5873015873016,214.8636363636364,249.74837662337663,208.24242424242425,232.5757575757576,243.6439393939394,221.87878787878793,210.49696969696967,182.7818181818182,222.12727272727267,263.3333333333333,223.63636363636363,213.63636363636363,251.0,228.80808080808083,232.48917748917748,250.90909090909088,226.81818181818176,234.54545454545453,246.5909090909091,221.3636363636364,253.63636363636363,214.77272727272725,223.63636363636363,195.80808080808083,220.9090909090909,265.1363636363636,257.55050505050497,242.72727272727275,223.63636363636363,238.63636363636363,214.77272727272725,241.3636363636364,206.22727272727275,201.13636363636363,213.29545454545456,240.0,231.8181818181818,,,235.45454545454547,181.8181818181818,216.3636363636364,256.3636363636364,250.0,,,,,,,,,,,,,,,,
2,IA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,NE,240.5649350649351,274.5,280.55303030303025,246.12285714285716,263.25,265.45454545454544,311.8181818181818,264.54545454545456,246.3636363636364,246.0,300.90909090909093,,292.5,212.72727272727272,278.1818181818182,276.39204545454544,233.18181818181816,270.0,290.45454545454544,265.90909090909093,265.90909090909093,257.72727272727275,286.3636363636364,265.90909090909093,290.45454545454544,268.83116883116884,281.68831168831167,287.5324675324675,247.7922077922078,270.0,261.23376623376623,260.64935064935065,316.7532467532468,216.23376623376618,,,,,,,,,,,,,,,,,,209.3,199.27272727272728,301.42857142857144,,,,,,,,
4,KY,270.27272727272725,244.72727272727275,281.74747474747466,264.1363636363636,222.27272727272728,250.45454545454544,206.3636363636364,247.95454545454544,204.3181818181818,268.5454545454545,245.9090909090909,,,,,,,,,,,,180.0,245.45454545454547,229.0909090909091,208.63636363636363,250.0,245.45454545454547,216.8181818181818,274.09090909090907,235.0,233.1818181818182,253.63636363636363,253.63636363636363,241.3636363636364,230.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5,MO,248.72727272727275,195.45454545454544,258.15909090909093,257.45454545454544,188.1818181818182,253.1818181818182,247.1439393939394,268.1142857142857,241.02954545454543,260.3808080808081,254.36363636363637,241.3636363636364,224.77272727272725,239.3181818181818,222.95454545454544,249.54545454545453,257.72727272727275,248.52272727272725,253.63636363636368,276.1363636363636,241.3636363636364,270.0,253.63636363636363,241.3636363636364,233.1818181818182,231.13636363636363,245.45454545454547,251.5909090909091,257.72727272727275,276.75,249.54545454545456,255.6818181818182,243.4090909090909,241.3636363636364,261.8181818181818,271.92857142857144,,,,,,,,,,,,,,,,200.45454545454547,242.27272727272725,255.0,241.3636363636364,274.09090909090907,233.6534090909091,224.38636363636363,193.0909090909091,230.3232323232324,225.45454545454547,193.5
6,WI,,,,,,,,285.3333333333333,240.1,282.0,270.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,GA,247.45575757575756,261.23915343915337,239.5590909090909,266.4513636363636,242.3468013468013,264.4458874458875,228.35454545454544,261.13599632690546,216.74081726354453,193.10123966942143,235.7785123966942,222.27272727272725,203.5858585858586,210.9090909090909,264.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,SD,298.72727272727275,320.3333333333333,315.1818181818182,294.72727272727275,295.45454545454544,293.6363636363636,307.27272727272725,329.90909090909093,302.54545454545456,316.0,328.1818181818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.72727272727275,257.27272727272725,250.0,230.9090909090909,276.8181818181818,269.54545454545456,217.27272727272728,227.27272727272728,256.3636363636364,289.77272727272725,244.2142857142857
9,WV,,,,,,,,,,,,,,,221.25,229.09090909090912,270.0,244.02272727272725,261.8181818181818,235.22727272727275,253.63636363636363,263.8636363636364,249.54545454545456,225.0,267.95454545454544,242.1818181818182,267.95454545454544,243.4090909090909,253.63636363636363,288.4090909090909,255.6818181818182,281.6590909090909,253.63636363636363,267.95454545454544,280.22727272727275,237.95454545454547,251.42857142857144,,,,,,,,,,,,,,,279.0,220.9090909090909,267.27272727272725,289.09090909090907,272.72727272727275,287.27272727272725,252.72727272727272,269.09090909090907,240.0,293.6363636363636,274.0
