,State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,CO,2895.472510822511,3186.979895104895,2703.7422867063488,2567.071875,2780.3369336219343,2651.1829704609117,2561.012184873949,2740.633015873016,2782.5110544217687,2562.7075132275136,2601.287301587301,3130.8771062271057,3272.745743145743,3069.9030303030304,3167.565707671958,3119.748809523809,2934.897435897436,2993.248015873016,3188.541666666667,2702.732142857143,2695.808994708995,2620.1964285714284,2785.120670995671,2957.333214285715,3271.1131746031742,3498.6831168831172,3892.512755102041,3237.261224489796,3407.5510204081634,4039.044217687075,3888.755102040816,4085.869387755102,3670.06462585034,3831.683673469388,3718.9455782312925,3813.047619047619,3821.566666666667,3503.8030303030305,3857.9079365079356,3871.697142857143,4681.207936507937,3707.020535714286,4323.079166666666,3530.613095238096,3574.353741496598,3028.1904761904775,3159.1851851851848,3332.316964285714,3633.930555555556,3870.385185185185,3806.860000000001,6087.537037037037,5339.1625,5176.159090909091,6332.636363636364,5840.575757575757,5739.5218855218845,5286.181818181818,5787.187878787879,4962.083333333334,5795.909090909091,5516.25
1,SC,1290.8181818181818,1248.090909090909,1076.4545454545455,1792.4681818181814,2303.260909090909,1611.0261904761905,1663.5250120250118,1722.2465909090909,1748.2979797979801,1608.3530303030304,1617.8920153920153,1410.6329004329004,1442.9489177489181,1398.7166666666665,1311.9393939393938,1078.0378787878788,1201.1883116883118,1154.6060606060607,1469.2494949494949,1790.2638218923933,1734.3578849721707,1812.0463821892392,1465.8100185528756,1666.3982065553494,1561.0756957328388,1579.5475417439707,1476.2658627087199,1647.3153988868273,1436.2738095238094,1493.0431251288392,1342.6413729128014,1239.199628942486,1305.7042929292932,1323.6303030303031,1326.1623376623374,1088.9396464646463,1323.994276094276,1179.4419191919192,1657.8977272727273,1211.6333333333334,750.61875,852.375,1260.25,990.5,1410.875,2939.4,,2467.2,2075.0,1868.833333333333,1887.916666666667,3182.5,,,,,,,,,,
2,IA,3325.264880952381,3733.9761904761895,3761.9875,3403.21875,4176.208333333333,4035.826428571429,3374.952380952381,4248.31746031746,4466.4114285714295,3278.3466666666664,4295.36111111111,3635.49007936508,3497.5682539682543,3494.081746031746,3807.0634920634916,3674.0555555555547,3803.0396825396833,3522.833333333333,3501.1214285714286,3574.246666666667,3470.6800000000007,3562.7485714285717,3190.304761904762,3373.6722222222224,3462.4095238095238,3352.936190476191,3304.331428571428,3808.944444444444,3940.441666666666,3925.5952380952394,3909.5535714285716,3828.448214285714,3325.4595238095235,2971.6785714285716,3128.872619047619,2869.142857142857,2992.682142857143,3461.8125,2935.589285714286,3094.020833333333,3041.988095238096,3317.7579365079364,3209.2428571428572,2841.416666666666,3121.166666666666,2656.0857142857144,2929.509523809524,3201.955555555556,3390.55,3985.875,,3081.4,,,,,,,,,,
3,NE,4046.780753968254,4143.582539682539,3789.6761904761906,4211.863318452381,4490.004910714286,4290.1397321428585,3999.995238095238,3894.506031746032,4575.2234432234445,4336.756802721088,4306.39455782313,4154.638775510204,3394.755442176871,3758.3784013605436,3843.204603174604,3905.268412698413,3659.775238095238,3280.8090476190473,3539.6958201058205,3735.858571428571,4038.1761904761906,3997.143353174604,3518.8666666666663,3527.876666666666,3929.423333333333,3784.762142857143,3791.6561507936512,2725.245238095238,3383.8125,3531.7882936507926,3380.729629629629,2778.2972222222224,2520.069444444445,2794.116666666667,2687.1875,2467.957142857143,2044.0166666666669,2071.4666666666667,1846.56,1596.2611111111112,2539.4904761904763,2977.4,4302.86111111111,2651.5333333333333,2532.1,3739.3,3521.3,2753.8,3073.5333333333333,3005.2666666666664,3802.833333333334,4614.083333333333,2101.0,3665.0,253.5,233.3636363636364,,,,,,
4,KY,1083.7936507936508,1285.2422619047618,1013.7916666666665,1441.28125,1496.7047619047619,1499.063333333333,1300.6271428571429,1453.4333333333334,1287.1333333333332,1149.9961904761906,1047.4114285714286,1392.2619047619046,1355.9523809523812,1244.6785714285716,1295.6607142857147,1181.4226190476188,1111.654761904762,1053.5202380952383,1148.202380952381,1140.0392857142854,1388.875,1418.25,1009.1821428571428,949.1041666666667,1175.959523809524,1368.345238095238,1243.3869047619048,1144.3738095238095,1360.357142857143,1349.9761904761906,1360.8492063492065,1044.4619047619046,1180.240476190476,1117.5714285714284,1314.9960317460318,1490.65,1820.0119047619046,1342.1785714285716,1305.175,1293.428571428571,1347.3333333333333,1243.5,,1920.732142857143,1711.7857142857142,1409.7666666666669,2369.5,1568.857142857143,1550.5,2133.1666666666665,3373.0,3826.0,,,,,,,,,,2499.0
5,MO,2739.232142857143,3100.333333333333,2806.831349206349,2634.5,3293.513888888889,2996.511904761905,2430.488095238095,2913.3809523809527,2669.206349206349,2356.547619047619,2578.804166666667,2672.537142857143,2605.6285714285714,2676.3792857142857,2376.530793650793,2619.2,2241.1985714285715,2166.1285714285714,2170.02,1099.5555555555557,2917.409090909091,2709.2428571428572,2659.2804232804237,2828.8518518518517,2573.8166666666666,3294.566666666666,2676.7555555555555,2652.4,2576.825,2227.491666666667,2729.2266666666665,2861.6875,2508.1111111111113,2551.227777777777,2011.806349206349,2191.3291666666664,2025.9571428571426,1860.1479166666666,2045.581632653061,2306.2541666666666,2509.7942176870747,1866.4,1586.9333333333334,2319.622222222222,2474.7333333333336,2097.8380952380953,2361.4666666666667,2249.266666666667,2163.1666666666665,1844.0,,2930.25,,,,,562.5,13679.119047619048,2255.4464285714284,1792.6571428571426,1996.8642857142856,2242.6
6,WI,2281.333333333333,2077.6666666666665,2044.833333333333,1807.666666666667,2149.0,3467.5476190476197,3321.2,2610.55,3187.5,2320.1666666666665,2704.1666666666665,2504.333333333333,2310.833333333333,2815.0,2922.1571428571424,2962.904761904762,3144.0535714285716,2722.6285714285714,2956.964285714286,2446.433333333333,2802.414285714286,2828.726190476191,2917.816666666666,2889.5,2649.75,3149.666666666666,2467.75,2296.75,2712.6,1915.3,2076.35,1982.5,2055.0,2178.4,1969.9,1701.9666666666665,1679.1,2491.6666666666665,2145.5,2487.5,2545.0,1819.0,2247.0,2170.6666666666665,20280.0,21663.33333333333,17713.666666666668,17347.0,19689.0,,,,,,,,,,,,,
7,GA,2077.2113636363642,2377.8875,2071.0613636363632,2281.317613636364,1944.7327272727273,1595.2280303030304,1552.469696969697,1664.7386363636365,1673.4545454545455,1664.8159090909091,1757.9631313131315,1770.4817717996286,2093.3978354978353,1705.1250505050507,1798.3222222222225,1875.217845117845,1715.5196969696972,1775.438912938913,1628.6040816326529,2209.101851851852,2235.589797979798,2243.158787878788,1830.2854545454545,2274.1047619047617,2137.1708333333336,2014.2935606060607,1989.6641113516116,1843.803451178451,2021.9989177489176,1745.8333333333335,1842.3654761904763,1616.6622655122653,1840.7478458049886,1856.2821480107195,2038.0870370370371,1318.3998015873015,2280.454545454545,2031.2964646464648,1493.8973665223666,1375.2666666666669,1375.4776785714284,777.3185185185185,1166.4375,1206.9375,1600.607142857143,594.2,555.0,,,,,,,,,,,,,,,
8,SD,4255.857142857143,3799.371428571428,3833.164285714285,3518.942857142857,4466.237103174603,4127.246428571429,3848.3673469387763,4660.707482993197,4528.014880952383,4027.366666666667,4103.973214285715,3879.869345238095,3692.5486772486765,4141.822448979592,3508.599206349207,3457.083333333333,3998.273809523809,3676.6785714285716,3111.166666666666,3212.9,3753.74,3874.41761904762,3085.6800000000007,3553.164285714285,3361.49,3943.4066666666663,3539.097619047619,3050.18,3596.853333333333,3399.7942857142853,1709.0238095238094,2030.6944444444446,2005.18253968254,2416.305555555555,2170.194444444445,2016.416666666667,2431.644444444445,1896.25,2141.333333333333,2275.428571428572,1596.428571428571,1198.3333333333335,1543.25,2234.833333333333,1356.714285714286,1405.083333333333,1298.1666666666665,1430.6,2109.5,1942.1,1969.0,4233.133333333333,2348.333333333333,2114.9,2016.125,1698.4,2016.4,1900.5,2004.6,1793.6,2006.4,1929.5
9,WV,,,,,,1787.7261904761906,1819.428571428572,1730.571428571429,1487.4285714285716,1309.8392857142858,1337.232142857143,984.25,1227.517857142857,931.8,1619.5,1703.6071428571427,1917.428571428572,2136.8571428571427,1607.0,1358.4642857142858,1442.1148809523809,1335.9494047619044,1201.3392857142858,1360.6253968253968,1320.611111111111,1360.4841269841272,1592.2857142857142,1340.4682539682542,1248.1619047619051,1221.904761904762,1149.0,1398.333333333333,681.0,655.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
