,State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.79,19.13636363636364,20.79090909090909,20.132586064728923,20.41922077922078,21.20194805194805,21.09948051948052,21.03831168831169,22.373376623376625,21.444155844155848,21.244155844155845,22.800519480519487,24.385606060606055,23.30222510822511,24.48188311688312,23.8210303030303,27.85833333333333,23.28594612794613,22.105151515151515,22.84675324675325,22.27478787878788,23.75878787878788,22.911636363636365,23.84484848484849,24.377272727272725,24.607142857142854,23.67891156462585
1,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.688888888888883,15.981818181818184,22.84141414141414,17.00417355371901,18.61485403485404,18.265734265734263,16.645454545454545,16.627272727272725,17.989860139860138,15.501398601398606,16.024675324675325,16.903896103896106,17.73917748917749,18.32532467532468,16.897402597402596,19.86688311688312,20.04805194805195,16.675974025974025,16.705844155844158,17.627337662337663,18.06298701298701,17.992532467532467,17.494155844155845,17.733116883116885,18.412987012987013,17.19795918367347
2,IA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.070580808080805,23.15289256198347,22.212396694214878,22.818181818181817,21.748760330578513,23.637190082644626,22.35123966942148,20.550247933884297,21.222314049586775,22.809504132231407,24.02280991735537,24.928925619834715,23.00165289256199,24.159090909090914,22.479752066115704,19.98595041322314,21.082479338842976,21.091735537190086,22.394214876033054,21.35586776859504,22.65702479338843,23.19090909090909,23.350413223140496,22.01233766233766
3,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.383333333333333,19.018181818181816,20.31818181818182,21.947727272727274,21.18181818181818,21.877311577311573,21.86642857142857,22.207878787878784,22.030808080808075,20.954545454545453,21.919191919191913,22.38151515151516,22.900505050505053,21.658080808080808,24.985353535353532,24.512828282828284,25.24747474747475,25.815656565656568,25.25909090909091,23.91262626262626,22.57272727272727,23.248051948051945,21.927424242424244,23.711161616161622,23.489898989898997,23.998232323232326,24.187222222222218,25.935555555555553,24.802857142857146
4,KY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,16.436363636363634,17.163636363636364,17.207575757575754,16.804545454545455,17.51969696969697,17.21818181818182,17.35484848484849,16.421212121212122,23.52424242424243,16.993939393939396,18.17878787878788,19.484848484848484,20.3030303030303,18.53030303030303,17.669696969696968,19.684848484848487,17.790909090909096,17.721212121212126,17.175757575757576,17.43939393939394,18.248484848484846,17.712121212121215,19.803030303030305,19.37272727272727,18.293939393939397,18.342857142857145
5,MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.025,20.03636363636364,19.268181818181816,21.458184022767355,18.98770053475936,19.56613636363636,20.986363636363638,19.592038027332144,18.85133689839572,19.664705882352944,20.22780748663101,19.137005347593586,19.98930481283422,21.383048128342246,21.729946524064168,22.311764705882354,22.674866310160432,20.55818181818182,19.54866310160428,20.056988636363638,18.91176470588235,20.0572192513369,21.058823529411768,20.1775935828877,22.144206773618542,21.274759358288765,21.458823529411767
6,WI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.592394179894182,19.82205905205905,17.48851674641148,18.908133971291868,19.50526315789474,18.52966507177033,18.786124401913877,20.09186602870813,17.87575757575758,20.232323232323235,20.31919191919192,19.314896331738442,19.004784688995212,20.345454545454547,19.579473684210527,18.687990430622005,18.445693779904307,19.268133971291867,20.15885167464115,19.552153110047847,19.656746411483255,20.499808612440194,20.63971291866029,20.72892230576441
7,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.217592592592588,15.550606060606064,15.669805194805196,15.690454545454545,16.328136363636364,16.18409090909091,48.22318181818181,21.564227272727276,21.50272727272728,18.665,19.90090909090909,18.76636363636364,18.84727272727273,20.585454545454546,19.273636363636363,19.985454545454548,17.571499999999997,17.551363636363636,17.544545454545457,17.043227272727272,17.533227272727274,16.722727272727273,17.77090909090909,18.49142857142857
8,SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.269361772486768,23.705904040404054,23.381212121212126,23.575151515151514,23.33636363636363,23.49515151515152,23.541818181818186,22.293515151515145,22.476103896103893,25.01727272727273,26.10636363636364,26.88151515151516,24.675454545454546,24.572848484848485,24.076242424242427,24.89696969696969,23.25545454545454,23.735714285714284,24.681168831168836,23.525844155844158,23.892337662337667,24.595454545454544,25.09139393939393,24.850000000000005
9,WV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.22727272727273,16.057727272727274,20.994552669552668,17.12207792207792,18.65852272727273,17.98181818181818,18.981818181818184,20.08636363636364,21.420454545454547,17.928409090909096,18.65681818181818,18.71477272727273,19.981818181818184,20.014772727272728,19.33409090909091,21.172727272727283,21.003636363636364,21.30770202020202,20.47306818181818,19.3925,20.17954545454546,19.77727272727273,18.1770202020202,19.653409090909093,19.451136363636362,19.694642857142853
10,AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.425396825396824,18.26590909090909,16.515488215488222,18.217012987012986,17.00090909090909,16.07818181818182,24.09909090909091,20.70181818181818,17.009577922077924,17.14045454545455,17.365866355866356,18.670579420579426,18.16892424242424,18.634884559884558,17.611701631701628,17.901548821548825,20.328952922077924,17.84308905380334,17.75524350649351,17.26575577200577,17.062655122655126,17.556493506493506,18.67904761904762,18.345238095238095
11,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.02698412698413,19.896060606060608,17.426406926406926,18.81837121212121,19.309734848484847,18.53446969696969,19.75537878787879,19.881893939393933,18.926515151515147,20.429991341991343,20.045,20.38359848484848,20.692945075757574,20.66818181818182,20.482074915824914,20.17579966329966,18.96022727272727,18.326641414141413,19.390744949494948,19.381060606060604,19.002462121212126,19.85,20.136893939393943,19.12619047619048
12,RI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.28888888888889,20.237272727272728,16.845454545454544,17.995454545454542,16.94090909090909,16.195454545454545,14.995454545454544,17.018181818181823,17.32272727272727,18.27727272727273,20.938181818181818,18.777272727272727,20.095454545454547,19.136363636363637,17.78181818181818,19.85909090909091,17.327272727272728,17.577272727272728,17.32272727272727,18.58636363636364,17.322727272727274,17.97272727272727,19.390909090909094,17.507142857142853
13,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.75,20.763636363636362,20.93636363636364,21.290909090909096,20.070012626262624,22.245340909090913,21.332479338842976,20.327272727272728,21.823966942148765,20.447107438016527,20.81136363636364,20.266666666666673,21.74515151515152,22.32045454545454,22.796212121212122,21.50037878787879,21.75098484848485,23.391742424242423,23.51439393939394,22.172727272727276,22.45719696969697,22.723966942148763,23.096694214876038,22.02809917355372,21.212396694214878,20.711570247933892,23.52223140495868,24.766233766233768
