,State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,CO,18.69090909090909,19.0125,20.37777777777778,18.972727272727283,21.3,20.454545454545453,20.89,20.09,20.39363636363636,21.949090909090906,21.35727272727273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.192045454545454,20.297532467532466,20.669584415584414,20.140636363636368,20.62272727272727,21.89621212121212,20.09646464646465,24.48181818181818,21.60606060606061,20.999696969696974,19.905555555555555
1,SC,15.961212121212125,18.206111111111113,17.16093073593074,17.072240259740262,17.05151515151515,17.489393939393945,16.200757575757578,16.184848484848487,15.512727272727275,16.81090909090909,16.67636363636364,17.3,17.281818181818185,18.263636363636362,14.09,17.793131313131315,17.614983164983162,17.860606060606067,18.442424242424238,15.844545454545456,16.472727272727276,16.813636363636366,15.65,17.43181818181818,19.972727272727283,17.076767676767677,17.03636363636364,18.302272727272726,17.13787878787879,18.759090909090904,19.97272727272727,16.963636363636365,16.581818181818186,17.16818181818182,15.719090909090912,18.404545454545453,18.263636363636362,16.863636363636367,17.05454545454546,,,15.318181818181815,15.69090909090909,14.872727272727273,17.018181818181816,16.88888888888889,,,,,,,,,,,,,,,,
2,IA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.251111111111108,16.272000000000002,14.62166666666667,15.55,9.4,15.660000000000002,15.580000000000002,15.579999999999998,20.566666666666666,17.34,9.15
3,NE,18.03636363636364,18.18125,20.215909090909093,21.307428571428574,22.6,19.61818181818182,21.16363636363636,20.05454545454545,21.49090909090909,20.64,22.60909090909091,,18.125,21.12727272727273,21.018181818181816,22.461931818181814,22.09090909090909,23.09090909090909,21.10909090909091,20.200000000000006,20.236363636363638,21.481818181818184,20.618181818181817,19.345454545454547,20.744155844155845,23.109090909090906,23.306493506493503,18.972727272727273,20.564935064935067,21.016883116883115,19.149350649350648,20.4,20.468831168831173,21.02857142857143,,,,,,,,,,,,,,,,,,24.26833333333333,28.78181818181818,17.614285714285714,18.35,,,,,,,
4,KY,18.231818181818184,18.409090909090914,18.35303030303031,16.53636363636364,15.904545454545458,17.395454545454545,15.7,15.818181818181818,16.027272727272727,19.520909090909093,19.93181818181818,,,,,,,,,,,,23.1,19.41818181818182,16.590909090909093,18.790909090909096,17.022222222222226,17.33636363636364,18.590909090909093,17.163636363636364,20.033333333333328,16.863636363636367,15.745454545454548,20.145454545454548,15.93636363636364,16.555555555555557,,,,,,,,,,,,,,,,,,,16.0,15.763636363636365,18.166666666666668,15.3,15.9,15.70909090909091,18.6,14.616666666666667
5,MO,16.504545454545454,19.62727272727273,19.225568181818183,19.90681818181818,21.796022727272724,19.62727272727273,18.877424242424237,19.808051948051947,19.87227272727273,19.293777777777773,18.98,21.21818181818182,20.94040404040404,20.436363636363637,19.672727272727272,19.31818181818182,17.922727272727272,20.135,19.272727272727273,19.950000000000006,19.731818181818184,20.51590909090909,22.127272727272725,18.872727272727282,21.809090909090905,20.736363636363638,19.254545454545454,21.12727272727273,20.5,18.990909090909085,21.231818181818177,20.331818181818182,20.10909090909091,19.83181818181818,20.072727272727274,21.897142857142857,,,,,,,,,,,,,,,,21.161818181818184,20.36363636363636,21.13611111111111,20.072564935064932,19.027272727272727,19.673092532467532,24.98259740259741,18.882727272727273,20.47156565656565,20.082323232323233,23.785000000000004
6,WI,,,,,,,,18.166666666666668,18.77,17.270000000000003,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,GA,17.271828282828285,19.388311688311685,17.63306818181818,15.8255,17.77683501683502,16.978541125541128,16.241000000000003,16.426423324150598,16.938170339761253,16.525185950413228,16.00553719008265,17.35,17.38939393939394,18.69090909090909,20.265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,SD,23.263636363636362,21.633333333333336,24.25454545454545,25.47272727272728,29.42727272727273,24.145454545454545,25.181818181818183,25.66363636363637,24.15454545454545,24.97,25.827272727272724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.818181818181817,20.681818181818183,18.454545454545453,19.681818181818183,20.209090909090904,20.61818181818182,18.86363636363636,18.9,20.081818181818182,20.86363636363636,19.535714285714285
9,WV,,,,,,,,,,,,,,,18.508333333333333,18.759090909090915,18.245454545454546,20.48318181818182,16.631818181818186,16.995454545454546,19.527272727272727,17.004545454545458,16.800000000000004,18.43636363636364,16.145454545454545,17.45909090909091,16.540909090909093,17.240909090909092,16.82272727272727,16.227272727272727,17.81818181818182,16.029545454545456,15.490909090909092,18.381818181818193,17.03181818181818,17.195454545454545,16.34285714285714,,,,,,,,,,,,,,,21.18,21.83636363636364,18.61818181818182,23.57272727272728,19.672727272727283,21.827272727272724,21.42727272727273,17.8,20.236363636363638,20.59090909090909,20.640000000000004
