"Natural gas marketed production, million cubic feet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,246,631,2184,4498,6272,7255,11267,14438,17343,50864,111576,121618,125596,131007,128935,160270,166072,187889,203088,220754,230588,242564,264364,276691,289129,321346,304841,359837,378638,393729,402907,437822,443597,430350,555402,469550,480828,468311,466648,462967,458995,471440,463301,489757,471899,487282,444724,433485,398442,397077,374226,356225,351259,338182,345310,343625,332749,344385,341315,329361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,57,56,128,177,166,203,252,248,230,180,627,355,3644,11271,27865,37814,41427,57227,85599,85815,65294,79244,75003,90801,101822,107342,107184,117241,129524,128411,135276,170847,275805,301509,394770,375958,378786,388596,392394,381701,363467,356810,356061,346145,316021,296528,286220,270407,257884,236029,222932,195581,215710,196326,181060,168246,164815,150038,139477,130065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,55451,59547,66213,76101,76167,82831,105174,116522,156627,169257,181351,172154,166522,157529,123975,116237,109533,104096,106792,109452,111808,92986,124611,127561,135161,155099,131075,141151,166573,174158,174956,164702,202479,196370,187673,187242,221822,208514,188372,170006,171642,166804,161871,169599,187069,190533,270293,269886,446457,679952,926639,1072212,1146168,1139654,1122733,1010382,823196,694676,589985,524705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,0,0,230,1334,2025,3106,3161,1255,881,1136,1101,868,442,125,224,208,262,240,286,247,214,187,99,132,45,85,63,60,56,1360,2125,1225,771,597,752,558,463,452,457,474,368,307,301,443,331,233,611,655,523,712,183,168,117,72,106,95,47,56,42,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,517535,556241,564220,646486,664051,660384,689607,681080,714893,677689,649117,612629,487278,449369,365354,318308,354334,311462,311084,248206,309434,380359,383977,415324,476333,491283,462218,424621,399663,362860,362748,378384,365632,315851,309427,279555,286494,285690,315277,382715,376580,377824,360205,337216,319919,317637,315209,307160,296469,276575,286841,250177,246822,252310,238988,236648,205025,212458,202617,196823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,107404,108142,101826,105705,114312,126381,136667,116857,121424,118754,105804,108537,116949,137725,144629,171629,183972,188792,183693,191239,188001,195706,209892,163545,173257,178233,163684,164557,191544,216737,242997,285961,323041,400985,453207,523084,572071,637374,696321,722738,752985,817206,937245,1011285,1079235,1133086,1202821,1242571,1389399,1499070,1578379,1637576,1709376,1604860,1643487,1688733,1685756,1706364,1847402,1988714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,30,29,29,35,40,107,212,123,108,50,0,903,15521,33857,38137,44383,43165,48171,51595,50190,40638,32470,22515,21056,12585,10545,8833,8281,7484,7534,6483,4884,6657,7085,7486,6463,6006,6114,5796,5933,6491,5710,3353,3087,3123,2616,2540,1778,2436,257,12409,15125,773,292,496,764,716,708,788,756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
